Time frequency,Country of citizenship,Age class,Unit of measure,Sex,Geopolitical entity (reporting)\Time,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Foreign country and stateless,Total,Number,Total,Austria,946610.0,999095.0,1060446.0,1139736.0,1260188.0,1333239.0,1385823.0,1427105.0,1473453.0,1517372.0,1572316.0,1714698.0
Annual,Foreign country and stateless,Total,Number,Total,Belgium,1197598.0,1222741.0,1237696.0,1272751.0,1327421.0,1346358.0,1366070.0,1400238.0,1437580.0,1454039.0,1488896.0,1589004.0
Annual,Foreign country and stateless,Total,Number,Total,Bulgaria,39432.0,44506.0,53253.0,63879.0,71491.0,76562.0,82370.0,91243.0,100768.0,108438.0,63861.0,83715.0
Annual,Foreign country and stateless,Total,Number,Total,Switzerland,1815063.0,1869070.0,1936412.0,1997179.0,2047200.0,2099319.0,2124540.0,2146381.0,2173429.0,2208864.0,2242343.0,2294345.0
Annual,Foreign country and stateless,Total,Number,Total,Cyprus,172427.0,170076.0,159336.0,144599.0,139606.0,140384.0,149168.0,155610.0,161005.0,165561.0,170061.0,183505.0
Annual,Foreign country and stateless,Total,Number,Total,Czechia,422966.0,422280.0,434581.0,457323.0,476345.0,510841.0,515422.0,557458.0,586646.0,488532 b,538237.0,855088.0
Annual,Foreign country and stateless,Total,Number,Total,Germany,6342394.0,6643699.0,7015236.0,7539774.0,8651958.0,9219989.0,9678868.0,10089292.0,10398022.0,10585053.0,10893053.0,12324195.0
Annual,Foreign country and stateless,Total,Number,Total,Denmark,358714.0,374569.0,397221.0,422492.0,463088.0,484934.0,505934.0,525849.0,537071.0,539443.0,562205.0,621118.0
Annual,Foreign country and stateless,Total,Number,Total,Estonia,206558.0,197141.0,194917.0,197611 b,197638.0,196344.0,197160.0,199158.0,199674.0,200450.0,202689.0,236757.0
Annual,Foreign country and stateless,Total,Number,Total,Greece,921447.0,886450.0,854998.0,821969.0,798357.0,810034.0,816059.0,831692.0,906345.0,921485.0,747867 b,764786.0
Annual,Foreign country and stateless,Total,Number,Total,Spain,5236030.0,5064584.0,4676352.0,4453985.0,4419334.0,4417653.0,4577322.0,4850762.0,5241278.0,5402702.0,5509134.0,6089620.0
Annual,Foreign country and stateless,Total,Number,Total,European Union - 27 countries (from 2020),:,:,:,29542079 be,31162014 e,32215985 be,33591066 e,34963579 b,36405654 e,37185923 bep,37460917 ep,41367447 ep
Annual,Foreign country and stateless,Total,Number,Total,Finland,181697.0,194250.0,206651.0,218803.0,228224.0,242003.0,247848.0,256026.0,266079.0,277217.0,294638.0,321992.0
Annual,Foreign country and stateless,Total,Number,Total,France,3944725 b,4092106.0,4227226 b,4431376.0,4544793.0,4605669.0,4950717.0,5042171.0,5173605.0,5302510.0,5325512 p,5613788 p
Annual,Foreign country and stateless,Total,Number,Total,Croatia,:,24142.0,23801.0,24125.0,24231.0,24102.0,24024.0,23878.0,24631.0,26259.0,35919 b,70195.0
Annual,Foreign country and stateless,Total,Number,Total,Hungary,143125.0,141122.0,140301.0,145727.0,156366.0,150885.0,161549.0,180525.0,199707.0,194240.0,202299.0,226073.0
Annual,Foreign country and stateless,Total,Number,Total,Ireland,551314 b,537183.0,529055.0,532196.0,546050.0,565822.0,583419.0,612579.0,641536.0,644241.0,657934.0,759091.0
Annual,Foreign country and stateless,Total,Number,Total,Iceland,20957.0,21446.0,22744.0,24294.0,26485.0,30275.0,37830.0,44269.0,49391.0,51283.0,54959.0,65033.0
Annual,Foreign country and stateless,Total,Number,Total,Italy,4319201.0,4610493.0,4787166.0,4835245.0,4831042.0,4818633.0,4883451.0,4996158 b,5039637.0,5171894.0,5030716.0,5141341.0
