Time frequency,National accounts indicator (ESA 2010),Unit of measure,Geopolitical entity (reporting)\Time,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0
Annual,Gross fixed capital formation,"Current prices, million euro",Albania,2510.3,2408.3,2505.8,2612.2,2840.8,3061.1,3424.5 b,3371.3,4147.8,4644.3,5238.6 p,:
Annual,Gross fixed capital formation,"Current prices, million euro",Austria,74876.6,75817.8,78323.3,82948.0,87584.9,93178.0,99243.7,95590.1,105115.7,114126.2,117839.3,:
Annual,Gross fixed capital formation,"Current prices, million euro",Bosnia and Herzegovina,2878.5,3202.4,3087.6 b,3167.6,3520.8,3890.9,4156.4,3929.3,4294.3,5154.2,5889.4,:
Annual,Gross fixed capital formation,"Current prices, million euro",Belgium,87430.6,92496.2,96205.3,100774.7,104219.1,109244.1,116175.3,111457.3,121003.2,134415.2,145789.8 p,:
Annual,Gross fixed capital formation,"Current prices, million euro",Bulgaria,8908.6,9061.4,9553.3,8975.5,9609.8,10544.9,11455.1,11750.2,11616.6,14637.2,17703.4,:
Annual,Gross fixed capital formation,"Current prices, million euro",Switzerland,139459.8,144775.5,165210.7,164766.6,167176.4,163421.5,171565.0,175660.9,180950.3,201972.8 p,213554.0 p,:
Annual,Gross fixed capital formation,"Current prices, million euro",Cyprus,2540.0,2326.0,2302.8,3429.1,4223.9,4052.0,4372.2,4657.8,4934.9,5851.8,6659.3 p,:
Annual,Gross fixed capital formation,"Current prices, million euro",Czechia,39757.0,39335.8,43785.4,43549.2,46681.0,53046.8,59122.8,56257.1,64546.1,79457.5,86645.4,:
Annual,Gross fixed capital formation,"Current prices, million euro",Germany,561175.0,590405.0,609619.0,640443.0,671086.0,714880.0,748216.0,736476.0,779205.0 p,858253.0 p,899880.0 p,897220.0 p
Annual,Gross fixed capital formation,"Current prices, million euro",Denmark,48808.8,51358.7,53902.1,59233.0,62492.7,65510.2,65885.1,69241.6,77763.6,87221.3,84964.2,:
Annual,Gross fixed capital formation,"Current prices, million euro",Euro area - 19 countries  (2015-2022),1934751.6,1976790.6,2089657.0,2180394.4,2301341.9,2422702.2,2648947.9,2522335.2,2722198.9,3002905.3,3177602.5,:
Annual,Gross fixed capital formation,"Current prices, million euro",Euro area – 20 countries (from 2023),1943362.3,1985112.2,2098340.2,2189699.0,2311117.9,2433297.0,2661167.0,2533672.6,2734429.4,3017512.3,3195130.4,:
Annual,Gross fixed capital formation,"Current prices, million euro",Estonia,5276.2,5161.2,5053.5,5313.1,6177.3,7026.3,7577.9,8685.2,9032.2,9396.6,10664.7,:
Annual,Gross fixed capital formation,"Current prices, million euro",Greece,20547.6,19779.5,19572.4,19832.1,21372.8,20465.7,20315.2,20607.1,25455.7,31042.5 p,34152.1 p,:
Annual,Gross fixed capital formation,"Current prices, million euro",Spain,180498.0,187322.0,198930.0,204287.0,221207.0,238502.0,254566.0,232798.0,249560.0,280382.0 p,295318.0 p,:
Annual,Gross fixed capital formation,"Current prices, million euro",European Union - 27 countries (from 2020),2267003.1,2325957.9,2463366.0,2552269.6,2699748.5,2849200.2,3105885.8,2974613.7,3223260.3,3566317.9,3791162.0,:
Annual,Gross fixed capital formation,"Current prices, million euro",Finland,45444.0,44705.0,45023.0,49728.0,53231.0,57033.0,58248.0,58284.0,60750.0,65640.0,63412.0,:
Annual,Gross fixed capital formation,"Current prices, million euro",France,450989.6,451387.7,452605.3,466924.7,490887.9,515244.8,545205.8,520133.8,588983.4,628021.8 p,651791.9 p,:
Annual,Gross fixed capital formation,"Current prices, million euro",Croatia,8610.7,8321.6,8683.2,9304.6,9775.9,10594.8,12219.2,11337.4,12230.5,14607.0,17527.8 p,:
Annual,Gross fixed capital formation,"Current prices, million euro",Hungary,21320.3,23500.5,25159.3,22867.2,28392.9,33977.5,39974.0,36840.5,42240.6,47209.4,51098.8 p,:
Annual,Gross fixed capital formation,"Current prices, million euro",Ireland,33427.6,40503.5,66114.6,94123.4,100143.2,93499.2,193555.2,157987.0,99006.9,110306.0,118231.1,:
Annual,Gross fixed capital formation,"Current prices, million euro",Iceland,1893.0,2311.7,3053.7,3936.8,4772.0,4856.2,4596.1,4020.4,4981.3,6603.4,7006.5,:
Annual,Gross fixed capital formation,"Current prices, million euro",Italy,280671.0,275476.2,284103.1,294828.8,306672.5,319499.8,327062.5,303972.5,382698.4,436346.5,478960.6,:
Annual,Gross fixed capital formation,"Current prices, million euro",Lithuania,6511.2,6957.1,7337.3,7732.7,8513.0,9507.5,10438.9,10773.6,12744.9,15163.9,17476.4,:
