Time frequency,Unit of measure,n_room,geo\TIME_PERIOD,1991.0,2001.0
Annual,Number,1.0,AT,345657.0,157827.0
Annual,Number,1.0,BE,37522.0,161670.0
Annual,Number,1.0,BG,:,297829.0
Annual,Number,1.0,CH,64759.0,152667.0
Annual,Number,1.0,CY,:,1356.0
Annual,Number,1.0,CZ,:,465381.0
Annual,Number,1.0,DE,576831.0,:
Annual,Number,1.0,DK,47323.0,31714.0
Annual,Number,1.0,EE,:,75329.0
Annual,Number,1.0,ES,48135.0,76748.0
Annual,Number,1.0,FI,205533.0,210795.0
Annual,Number,1.0,FR,1330103.0,1550777.0
Annual,Number,1.0,HU,:,428150.0
Annual,Number,1.0,IE,14976.0,18081.0
Annual,Number,1.0,IT,218687.0,340718.0
Annual,Number,1.0,LI,376.0,553.0
Annual,Number,1.0,LT,:,181241.0
Annual,Number,1.0,LU,3422.0,4548.0
Annual,Number,1.0,LV,:,145274.0
Annual,Number,1.0,NL,57000.0,:
Annual,Number,1.0,NO,100101.0,98964.0
Annual,Number,1.0,PL,:,340086.0
Annual,Number,1.0,PT,50183.0,36912.0
Annual,Number,1.0,RO,:,794029.0
Annual,Number,1.0,SE,111297.0,:
Annual,Number,1.0,SI,:,6611.0
Annual,Number,1.0,SK,:,119595.0
Annual,Number,1.0,UK,200464.0,206756.0
Annual,Number,2.0,AT,737787.0,316899.0
Annual,Number,2.0,BE,381781.0,312108.0
Annual,Number,2.0,BG,:,904949.0
Annual,Number,2.0,CH,148962.0,376307.0
Annual,Number,2.0,CY,:,7380.0
Annual,Number,2.0,CZ,:,1075337.0
Annual,Number,2.0,DE,1459551.0,:
Annual,Number,2.0,DK,68553.0,86638.0
Annual,Number,2.0,EE,:,194317.0
Annual,Number,2.0,ES,292542.0,345659.0
Annual,Number,2.0,FI,265177.0,310878.0
Annual,Number,2.0,FR,2846480.0,3093297.0
Annual,Number,2.0,HU,:,1527128.0
Annual,Number,2.0,IE,36328.0,47512.0
Annual,Number,2.0,IT,1465301.0,1909328.0
Annual,Number,2.0,LI,480.0,1160.0
Annual,Number,2.0,LT,:,443150.0
Annual,Number,2.0,LU,4414.0,6446.0
Annual,Number,2.0,LV,:,333098.0
Annual,Number,2.0,NL,563000.0,145958.0
Annual,Number,2.0,NO,255784.0,258335.0
Annual,Number,2.0,PL,:,1656783.0
Annual,Number,2.0,PT,221007.0,191124.0
Annual,Number,2.0,RO,:,2922651.0
Annual,Number,2.0,SE,337156.0,:
Annual,Number,2.0,SI,:,75161.0
Annual,Number,2.0,SK,:,323981.0
Annual,Number,2.0,UK,826755.0,634815.0
Annual,Number,3.0,AT,843480.0,694040.0
Annual,Number,3.0,BE,795963.0,489090.0
Annual,Number,3.0,BG,:,923686.0
Annual,Number,3.0,CH,360226.0,792057.0
Annual,Number,3.0,CY,:,16098.0
Annual,Number,3.0,CZ,:,1362957.0
Annual,Number,3.0,DE,5346103.0,:
Annual,Number,3.0,DK,393808.0,442961.0
Annual,Number,3.0,EE,:,170189.0
Annual,Number,3.0,ES,1340615.0,1360526.0
Annual,Number,3.0,FI,485876.0,521526.0
Annual,Number,3.0,FR,5154724.0,5435652.0
Annual,Number,3.0,HU,:,1185774.0
Annual,Number,3.0,IE,83869.0,94864.0
