Time frequency,Classification of individual consumption by purpose (COICOP),Unit of measure,Geopolitical entity (reporting)\Time,Janvier 2024,Février 2024,Mars 2024,Avril 2024,Mai 2024,Juin 2024,Juillet 2024,Août 2024,Septembre 2024,Octobre 2024,Novembre 2024,Décembre 2024
Monthly,Communications,"Index, 2015=100",Albania,106.25 d,106.27 d,106.24 d,106.31 d,106.39 d,106.41 d,106.51 d,106.94 d,107.17 d,107.14 d,107.09 d,107.47 d
Monthly,Communications,"Index, 2015=100",Austria,82.47,82.92,82.58,83.24,82.53,81.8,81.61,80.99,80.4,80.22,79.56,78.76
Monthly,Communications,"Index, 2015=100",Belgium,111.18,111.56,111.56,111.34,111.36,112.4,112.36,112.24,112.02,112.22,111.97,112.11
Monthly,Communications,"Index, 2015=100",Bulgaria,94.11,94.43,95.27,93.29,91.87,90.5,89.99,90.21,90.05,90.33,90.66,90.93
Monthly,Communications,"Index, 2015=100",Switzerland,95.16,95.04,95.22,95.16,94.97,94.87,94.83,95.35,95.22,95.23,94.7,94.72
Monthly,Communications,"Index, 2015=100",Cyprus,90.65,90.44,90.63,90.7,90.85,91.01,90.17,90.17,89.85,89.98,89.43,89.23
Monthly,Communications,"Index, 2015=100",Czechia,96.6,96.5,96.6,96.6,96.9,97.0,96.8,96.8,97.0,97.1,96.8,97.0
Monthly,Communications,"Index, 2015=100",Germany,95.3,95.3,95.0,94.6,94.7,94.5,94.4,94.2,94.1,93.9,93.8,93.7
Monthly,Communications,"Index, 2015=100",Denmark,84.9,83.8,83.8,84.4,85.2,84.0,84.2,84.8,84.9,84.9,84.3,86.0
Monthly,Communications,"Index, 2015=100","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",91.92,92.07,91.62,91.62,91.42,91.08,90.51,90.33,89.42,88.91,88.91,88.6
Monthly,Communications,"Index, 2015=100",Euro area - 19 countries  (2015-2022),91.89,92.04,91.59,91.59,91.39,91.07,90.46,90.28,89.38,88.89,88.9,88.59
Monthly,Communications,"Index, 2015=100",Euro area – 20 countries (from 2023),92.0,92.15,91.7,91.7,91.5,91.16,90.59,90.41,89.5,88.99,88.99,88.68
Monthly,Communications,"Index, 2015=100",Estonia,87.18,87.04,93.57,94.02,91.93,93.66,93.81,93.7,92.96,94.2,94.07,92.06
Monthly,Communications,"Index, 2015=100",Greece,99.36,99.35,99.01,99.5,99.34,99.42,99.5,99.76,99.82,100.29,100.32,100.42
Monthly,Communications,"Index, 2015=100",Spain,105.27,105.19,105.1,105.21,105.12,105.14,104.65,104.57,104.48,103.49,103.49,103.47
Monthly,Communications,"Index, 2015=100","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",96.75,96.9,96.73,96.64,96.47,96.09,95.6,95.47,94.77,94.23,94.27,94.03
Monthly,Communications,"Index, 2015=100",European Union - 27 countries (from 2020),94.87,95.01,94.85,94.76,94.59,94.22,93.74,93.61,92.92,92.4,92.43,92.2
Monthly,Communications,"Index, 2015=100",Finland,112.7,111.81,111.68,112.43,113.31,113.34,113.38,112.74,114.51,115.45,115.56,115.57
Monthly,Communications,"Index, 2015=100",France,87.32,88.35,87.0,86.84,86.85,85.73,83.31,83.12,78.95,77.44,78.56,77.39
Monthly,Communications,"Index, 2015=100",Croatia,103.12,102.75,102.57,102.59,102.56,100.42,103.11,102.72,100.57,98.51,97.93,97.84
Monthly,Communications,"Index, 2015=100",Hungary,101.3,100.83,109.25,110.19,110.48,110.11,110.32,110.34,110.21,103.78,103.45,103.8
Monthly,Communications,"Index, 2015=100",Ireland,90.1,89.8,89.7,91.7,91.7,91.1,91.1,91.3,91.3,91.3,91.3,91.1
Monthly,Communications,"Index, 2015=100",Iceland,44.28,43.71,45.16,45.6,46.74,46.1,47.03,46.93,46.94,47.03,46.99,46.96
Monthly,Communications,"Index, 2015=100",Italy,76.5,75.7,75.3,74.9,74.1,73.9,73.6,73.3,73.3,73.1,72.2,72.3
Monthly,Communications,"Index, 2015=100",Lithuania,103.52,103.54,103.44,103.45,103.58,103.66,104.74,104.73,104.36,104.15,104.75,104.89
Monthly,Communications,"Index, 2015=100",Luxembourg,91.51,91.69,91.83,92.05,93.58,94.38,90.66,89.25,89.44,89.78,90.42,90.39
Monthly,Communications,"Index, 2015=100",Latvia,121.27,122.57,125.51,125.7,125.53,126.65,127.07,126.64,127.28,127.48,128.16,127.69
Monthly,Communications,"Index, 2015=100",Montenegro,101.05 d,101.10 d,105.52 d,105.51 d,105.48 d,105.40 d,105.35 d,106.84 d,107.29 d,107.29 d,107.21 d,107.29 d
Monthly,Communications,"Index, 2015=100",North Macedonia,117.26 d,117.26 d,117.30 d,119.16 d,118.91 d,118.53 d,118.47 d,119.04 d,120.03 d,120.09 d,120.09 d,119.71 d
Monthly,Communications,"Index, 2015=100",Malta,86.84,85.98,85.49,84.25,84.0,83.43,83.18,83.14,83.28,83.19,83.13,82.72
Monthly,Communications,"Index, 2015=100",Netherlands,74.99,74.44,73.4,75.25,74.28,73.6,74.38,73.88,73.87,73.98,73.66,73.3
Monthly,Communications,"Index, 2015=100",Norway,125.8,125.3,125.2,125.4,124.7,125.0,125.6,126.1,124.7,127.6,127.3,130.2
Monthly,Communications,"Index, 2015=100",Poland,121.4,122.2,123.4,122.4,123.0,121.9,122.7,122.5,123.8,123.8,126.0,125.9
