Time frequency,Live animals,Month,Unit of measure,Geopolitical entity (reporting)\Time,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Live bovine animals,December,Thousand heads (animals),Albania,:,:,499.69,505.77 e,496.99 p,475.22,467.32,415.61,362.58,336.78,297.66,263.39
Annual,Live bovine animals,December,Thousand heads (animals),Austria,1955.62,1958.28,1961.2,1957.61,1954.39,1943.48,1912.81,1879.52,1855.43,1870.1,1861.07,1835.47
Annual,Live bovine animals,December,Thousand heads (animals),Bosnia and Herzegovina,446.00 e,447.00 e,444.00 e,455.00 e,455.00 e,445.00 e,438.0,430.00 e,427.00 e,339.51,339.15,330.11
Annual,Live bovine animals,December,Thousand heads (animals),Belgium,2438.18,2441.32,2477.24,2503.26,2501.35,2385.99,2398.09,2373.1,2335.44,2310.44,2286.11,2245.71
Annual,Live bovine animals,December,Thousand heads (animals),Bulgaria,535.32,585.55,562.36,561.04,570.14,552.92 p,542.12,527.19,588.91,611.2,579.86,574.3
Annual,Live bovine animals,December,Thousand heads (animals),Switzerland,:,:,:,1567.14,1560.09,1560.73,1540.24,1528.92,1518.16,1529.76,1536.19,1535.35
Annual,Live bovine animals,December,Thousand heads (animals),Cyprus,56.92,57.08,59.54,58.86,63.14,67.03,70.82,73.97,83.03,84.61,81.44,82.27
Annual,Live bovine animals,December,Thousand heads (animals),Czechia,1321.06,1332.08,1373.07,1366.33,1339.6,1366.36,1365.24,1367.05,1340.04,1359.42,1390.49,1369.59
Annual,Live bovine animals,December,Thousand heads (animals),Germany,12506.77,12685.99,12742.19,12635.46,12466.59,12281.2,11949.09,11639.53,11301.86,11039.66,10996.96,10836.2
Annual,Live bovine animals,December,Thousand heads (animals),Denmark,1607.0,1583.0,1553.0,1566.0,1554.0,1558.0,1530.0,1500.0,1500.0,1480.0,1466.0,1434.87
Annual,Live bovine animals,December,Thousand heads (animals),Estonia,246.0,261.4,264.7,256.2,248.2,250.9,251.9,254.0,253.3,250.8,249.62,241.36
Annual,Live bovine animals,December,Thousand heads (animals),Greece,685.0,653.0,659.0,582.0,554.0,556.0,542.0,530.0,631.5,614.1,581.6,622.40 p
Annual,Live bovine animals,December,Thousand heads (animals),Spain,5812.61,5802.22,6078.73,6182.91,6317.64,6465.75,6510.59,6600.33,6636.43 p,6576.30 p,6455.13,6294.64
Annual,Live bovine animals,December,Thousand heads (animals),European Union - 27 countries (from 2020),77547.95,78019.23,78690.25,79302.79,79697.54,79009.94,77840.1,77161.16,76551.1,75705.30 p,74807.63,73745.03
Annual,Live bovine animals,December,Thousand heads (animals),Finland,901.39,903.36,907.4,903.41,887.25,874.52,859.38,840.74,835.38,829.98,821.97,798.64
Annual,Live bovine animals,December,Thousand heads (animals),France,19052.0,19095.8,19248.63,19386.52,19373.38,18953.58,18613.04,18172.97 d,17815.67 d,17330.08 p,16986.19,16806.90 p
Annual,Live bovine animals,December,Thousand heads (animals),Croatia,452.0,442.0,441.0,441.0,444.0,451.0,414.00 b,420.0,423.0,428.0,422.00 b,415.0
Annual,Live bovine animals,December,Thousand heads (animals),Hungary,760.0,782.0,802.0,821.0,852.0,870.0,885.0,909.0,932.90 b,909.9,894.0,869.7
Annual,Live bovine animals,December,Thousand heads (animals),Ireland,6253.24,6309.05,6243.05,6422.23,6613.43,6673.59,6593.49,6559.65,6529.44,6649.31,6551.83,6525.96
Annual,Live bovine animals,December,Thousand heads (animals),Iceland,72.8,73.2,73.7,75.9,79.9,80.9,81.4,80.9,81.4,:,79.93,78.73
Annual,Live bovine animals,December,Thousand heads (animals),Italy,6251.93,6249.29,6125.42,6155.81,6314.89,6349.81,6311.16,6377.23,6400.04,6280.28,6049.00 b,5999.0
Annual,Live bovine animals,December,Thousand heads (animals),Lithuania,729.2,713.5,736.6,722.6,694.8,676.9,653.5,634.6,629.5,628.7,641.92,623.52
Annual,Live bovine animals,December,Thousand heads (animals),Luxembourg,188.3,198.24,201.15,200.64,202.41,198.07,194.39,192.1,190.69,187.2,186.13,183.56
Annual,Live bovine animals,December,Thousand heads (animals),Latvia,393.1,406.49,422.02,419.08,412.31,405.82,395.33,395.32,398.99,393.47,391.35,368.06
Annual,Live bovine animals,December,Thousand heads (animals),Montenegro,85.0,89.0,94.0,92.0,89.00 p,87.00 p,83.30 p,81.40 p,77.89 p,71.17 p,70.77 p,68.83 p
Annual,Live bovine animals,December,Thousand heads (animals),North Macedonia,251.0,238.0,242.0,253.0,255.0,255.0,256.0,219.0,222.0,178.0,165.0,149.0
Annual,Live bovine animals,December,Thousand heads (animals),Malta,15.59,15.22,14.88,15.02,14.36,14.18,14.12,14.0,14.29,14.02,14.2,14.23
Annual,Live bovine animals,December,Thousand heads (animals),Netherlands,3985.0,4090.0,4169.0,4315.0,4294.0,4030.0,3690.0,3721.0,3691.0,3705.0,3751.0,3739.0
Annual,Live bovine animals,December,Thousand heads (animals),Poland,5520.35,5589.54,5660.27,5762.5,5970.2,6035.7,6183.3,6261.6,6278.9,6378.7,6448.29,6267.46
Annual,Live bovine animals,December,Thousand heads (animals),Portugal,1497.55,1470.5,1548.61,1605.86,1635.01,1670.02,1632.42,1674.97,1691.32,1640.65 p,1579.14,1527.72
Annual,Live bovine animals,December,Thousand heads (animals),Romania,2009.1,2022.4,2068.9,2092.4,2049.7,2011.1,1977.2,1923.3,1875.2,1826.8,1833.7,1814.7
Annual,Live bovine animals,December,Thousand heads (animals),Serbia,921.00 e,913.0,920.0,916.0,893.0,899.0,878.0,898.0,886.0,860.0,799.84,725.41
Annual,Live bovine animals,December,Thousand heads (animals),Sweden,1443.58,1443.52,1436.49,1428.4,1436.05,1448.59,1435.45,1404.67,1390.96,1389.89,1390.55,1369.0
Annual,Live bovine animals,December,Thousand heads (animals),Slovenia,460.06,460.58,468.25,484.19,488.6,479.61,476.81,483.07,485.61,482.62,464.91,456.05
Annual,Live bovine animals,December,Thousand heads (animals),Slovakia,471.08,467.82,465.54,457.46,446.11,439.83,438.86,432.25,442.29,434.09,433.18,429.72
Annual,Live bovine animals,December,Thousand heads (animals),Türkiye,14022.35,14532.85,14244.67,14127.84,14222.23 p,16105.03 p,17220.90 p,17872.33,18157.97,18036.12,17023.79,16583.01
Annual,Live bovine animals,December,Thousand heads (animals),United Kingdom,9749.0,9682.0,9693.0,9816.0,9806.0,9787.0,9610.0,9459.0,:,:,:,:
Annual,Live bovine animals,December,Thousand heads (animals),Kosovo*,:,:,261.69,258.5,264.97,259.73,259.73,257.73,261.39,260.53,250.9,247.49
