Time frequency,Unit of measure,Sex,International Standard Classification of Education (ISCED 1997),Classification of activities for time use,Geopolitical entity (reporting)\Time,2000.0,2010.0
Annual,Participation rate (%),Total,All ISCED 1997 levels,"Leisure, social and associative life",Austria,:,97.7
Annual,Participation rate (%),Total,All ISCED 1997 levels,"Leisure, social and associative life",Belgium,99.6,98.9
Annual,Participation rate (%),Total,All ISCED 1997 levels,"Leisure, social and associative life",Bulgaria,97.3,:
Annual,Participation rate (%),Total,All ISCED 1997 levels,"Leisure, social and associative life",Germany,99.4,99.3
Annual,Participation rate (%),Total,All ISCED 1997 levels,"Leisure, social and associative life",Estonia,97.2,97.8
Annual,Participation rate (%),Total,All ISCED 1997 levels,"Leisure, social and associative life",Greece,:,99.3
Annual,Participation rate (%),Total,All ISCED 1997 levels,"Leisure, social and associative life",Spain,97.5,97.4
Annual,Participation rate (%),Total,All ISCED 1997 levels,"Leisure, social and associative life",Finland,99.2,99.2
Annual,Participation rate (%),Total,All ISCED 1997 levels,"Leisure, social and associative life",France,96.6,97.1
Annual,Participation rate (%),Total,All ISCED 1997 levels,"Leisure, social and associative life",Hungary,:,97.8
Annual,Participation rate (%),Total,All ISCED 1997 levels,"Leisure, social and associative life",Italy,98.1,97.9
Annual,Participation rate (%),Total,All ISCED 1997 levels,"Leisure, social and associative life",Lithuania,96.9,:
Annual,Participation rate (%),Total,All ISCED 1997 levels,"Leisure, social and associative life",Luxembourg,:,98.0
Annual,Participation rate (%),Total,All ISCED 1997 levels,"Leisure, social and associative life",Latvia,95.8,:
Annual,Participation rate (%),Total,All ISCED 1997 levels,"Leisure, social and associative life",Netherlands,:,97.8
Annual,Participation rate (%),Total,All ISCED 1997 levels,"Leisure, social and associative life",Norway,99.2,99.3
Annual,Participation rate (%),Total,All ISCED 1997 levels,"Leisure, social and associative life",Poland,98.5,98.1
Annual,Participation rate (%),Total,All ISCED 1997 levels,"Leisure, social and associative life",Romania,:,97.6
Annual,Participation rate (%),Total,All ISCED 1997 levels,"Leisure, social and associative life",Serbia,:,99.0
Annual,Participation rate (%),Total,All ISCED 1997 levels,"Leisure, social and associative life",Slovenia,98.2,:
Annual,Participation rate (%),Total,All ISCED 1997 levels,"Leisure, social and associative life",Türkiye,:,98.1
Annual,Participation rate (%),Total,All ISCED 1997 levels,"Leisure, social and associative life",United Kingdom,98.9,97.9
Annual,Participation time (hh:mm),Total,All ISCED 1997 levels,"Leisure, social and associative life",Austria,:,5:01
