Time frequency,Unit of measure,Duration,International Standard Classification of Education (ISCED 2011),Sex,Age class,Geopolitical entity (reporting)\Time,2014.0,2019.0
Annual,Percentage,Zero minutes,All ISCED 2011 levels,Total,Total,Austria,25.1,32.1
Annual,Percentage,Zero minutes,All ISCED 2011 levels,Total,Total,Bulgaria,82.7,80.9
Annual,Percentage,Zero minutes,All ISCED 2011 levels,Total,Total,Cyprus,60.2,64.5
Annual,Percentage,Zero minutes,All ISCED 2011 levels,Total,Total,Czechia,47.4,51.9
Annual,Percentage,Zero minutes,All ISCED 2011 levels,Total,Total,Germany,28.8,27.5
Annual,Percentage,Zero minutes,All ISCED 2011 levels,Total,Total,Denmark,18.7,17.5
Annual,Percentage,Zero minutes,All ISCED 2011 levels,Total,Total,Estonia,52.3,48.1
Annual,Percentage,Zero minutes,All ISCED 2011 levels,Total,Total,Greece,74.1,67.8
Annual,Percentage,Zero minutes,All ISCED 2011 levels,Total,Total,Spain,51.0,48.3
Annual,Percentage,Zero minutes,All ISCED 2011 levels,Total,Total,European Union - 27 countries (from 2020),49.8,47.3
Annual,Percentage,Zero minutes,All ISCED 2011 levels,Total,Total,European Union - 28 countries (2013-2020),48.8 e,:
Annual,Percentage,Zero minutes,All ISCED 2011 levels,Total,Total,Finland,23.0,:
Annual,Percentage,Zero minutes,All ISCED 2011 levels,Total,Total,France,49.0,48.8
Annual,Percentage,Zero minutes,All ISCED 2011 levels,Total,Total,Croatia,58.6,63.1
Annual,Percentage,Zero minutes,All ISCED 2011 levels,Total,Total,Hungary,43.4,40.6
Annual,Percentage,Zero minutes,All ISCED 2011 levels,Total,Total,Ireland,52.5,48.9
Annual,Percentage,Zero minutes,All ISCED 2011 levels,Total,Total,Iceland,28.0,27.1
Annual,Percentage,Zero minutes,All ISCED 2011 levels,Total,Total,Italy,65.0,63.8
Annual,Percentage,Zero minutes,All ISCED 2011 levels,Total,Total,Lithuania,63.7,59.1
Annual,Percentage,Zero minutes,All ISCED 2011 levels,Total,Total,Luxembourg,36.5,33.4
Annual,Percentage,Zero minutes,All ISCED 2011 levels,Total,Total,Latvia,51.4,53.4
Annual,Percentage,Zero minutes,All ISCED 2011 levels,Total,Total,Malta,47.3,71.6
Annual,Percentage,Zero minutes,All ISCED 2011 levels,Total,Total,Norway,26.9,14.1
Annual,Percentage,Zero minutes,All ISCED 2011 levels,Total,Total,Poland,58.8,56.1
Annual,Percentage,Zero minutes,All ISCED 2011 levels,Total,Total,Portugal,62.8,65.6
Annual,Percentage,Zero minutes,All ISCED 2011 levels,Total,Total,Romania,84.4,84.0
Annual,Percentage,Zero minutes,All ISCED 2011 levels,Total,Total,Sweden,24.6,23.8
Annual,Percentage,Zero minutes,All ISCED 2011 levels,Total,Total,Slovenia,39.1,48.2 u
Annual,Percentage,Zero minutes,All ISCED 2011 levels,Total,Total,Slovakia,47.7,48.1
Annual,Percentage,Zero minutes,All ISCED 2011 levels,Total,Total,Türkiye,88.2,87.7
Annual,Percentage,Zero minutes,All ISCED 2011 levels,Total,Total,United Kingdom,41.2,:
Annual,Percentage,From 1 to 149 minutes,All ISCED 2011 levels,Total,Total,Austria,24.6,24.1
Annual,Percentage,From 1 to 149 minutes,All ISCED 2011 levels,Total,Total,Bulgaria,7.3,7.8
Annual,Percentage,From 1 to 149 minutes,All ISCED 2011 levels,Total,Total,Cyprus,14.6,13.1
Annual,Percentage,From 1 to 149 minutes,All ISCED 2011 levels,Total,Total,Czechia,24.2,23.0
Annual,Percentage,From 1 to 149 minutes,All ISCED 2011 levels,Total,Total,Germany,22.9,23.5
Annual,Percentage,From 1 to 149 minutes,All ISCED 2011 levels,Total,Total,Denmark,26.7,27.1
Annual,Percentage,From 1 to 149 minutes,All ISCED 2011 levels,Total,Total,Estonia,24.5,26.1
Annual,Percentage,From 1 to 149 minutes,All ISCED 2011 levels,Total,Total,Greece,9.2,12.6
Annual,Percentage,From 1 to 149 minutes,All ISCED 2011 levels,Total,Total,Spain,15.0,16.3
Annual,Percentage,From 1 to 149 minutes,All ISCED 2011 levels,Total,Total,European Union - 27 countries (from 2020),20.2,20.0
Annual,Percentage,From 1 to 149 minutes,All ISCED 2011 levels,Total,Total,European Union - 28 countries (2013-2020),20.4 e,:
Annual,Percentage,From 1 to 149 minutes,All ISCED 2011 levels,Total,Total,Finland,22.4,:
Annual,Percentage,From 1 to 149 minutes,All ISCED 2011 levels,Total,Total,France,26.0,23.8
Annual,Percentage,From 1 to 149 minutes,All ISCED 2011 levels,Total,Total,Croatia,22.0,17.0
Annual,Percentage,From 1 to 149 minutes,All ISCED 2011 levels,Total,Total,Hungary,27.9,27.1
Annual,Percentage,From 1 to 149 minutes,All ISCED 2011 levels,Total,Total,Ireland,18.5,13.8
Annual,Percentage,From 1 to 149 minutes,All ISCED 2011 levels,Total,Total,Iceland,11.2,17.0
