Time frequency,Degree of urbanisation,Unit of measure,Geopolitical entity (reporting)\Time,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Cities,Percentage,Albania,:,61.4,52.3,44.7,41.5,37.1,41.8,:,:
Annual,Cities,Percentage,Austria,22.9,24.0,24.7,24.8,25.4,24.8,24.6,26.6,27.3
Annual,Cities,Percentage,Belgium,30.2,31.8,31.6,29.8,29.3 b,28.3,28.0,29.2,28.5
Annual,Cities,Percentage,Bulgaria,32.7,30.8 b,27.8,23.8,24.0,24.0,24.4,23.7,22.0
Annual,Cities,Percentage,Switzerland,19.2,21.3,21.6,19.1,20.3,18.2,19.6,18.2,20.6
Annual,Cities,Percentage,Cyprus,19.8,20.4,18.4,16.5,15.2,15.4,14.6,15.6,15.7
Annual,Cities,Percentage,Czechia,13.0,13.2,12.7,11.7,11.6,10.4,10.8,11.7,12.8
Annual,Cities,Percentage,Germany,23.7,23.7,22.1,21.9,20.4,24.3 b,25.0,24.7,24.7
Annual,Cities,Percentage,Denmark,24.7,23.9,23.4,21.4,21.0,21.1 b,20.4,20.9,21.7
Annual,Cities,Percentage,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",:,:,:,:,22.8,23.6,23.6,:,:
Annual,Cities,Percentage,Euro area - 18 countries (2014),:,:,:,:,22.9,23.7,:,:,:
Annual,Cities,Percentage,Euro area - 19 countries  (2015-2022),23.8,23.9,22.8,22.6,22.8,23.7,23.7,:,:
Annual,Cities,Percentage,Euro area – 20 countries (from 2023),23.7,23.8,22.7,22.5,22.8,23.6 b,23.6,23.4,23.1
Annual,Cities,Percentage,Estonia,21.7,21.2,20.9,21.3,22.4,21.0,21.0,24.3,22.6
Annual,Cities,Percentage,Greece,30.2,30.8,30.1,29.4,27.0,25.1,24.9,23.0,24.1
Annual,Cities,Percentage,Spain,25.6,26.8,24.9,24.2,24.3,25.5,26.6,24.2,24.4
Annual,Cities,Percentage,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",:,:,:,:,22.0 e,:,:,:,:
Annual,Cities,Percentage,European Union - 27 countries (2007-2013),:,:,:,:,22.1 e,:,:,:,:
Annual,Cities,Percentage,European Union - 27 countries (from 2020),23.3,23.2,21.9,21.4,21.4,21.9 b,21.9,21.7,21.6
Annual,Cities,Percentage,European Union - 28 countries (2013-2020),:,:,:,:,22.0 e,:,:,:,:
Annual,Cities,Percentage,Finland,16.8,16.9,16.8,16.8,15.0,14.5,14.3,17.9 b,17.4
Annual,Cities,Percentage,France,19.2,19.8,18.9,19.8,23.1,23.4 b,22.1,24.1 b,23.1
Annual,Cities,Percentage,Croatia,16.0,17.2,16.1,15.7,15.5,16.7,15.6,14.5,13.8 b
Annual,Cities,Percentage,Hungary,23.8,20.8,20.6,16.0,16.1,15.0,14.3,13.9,13.7
Annual,Cities,Percentage,Ireland,23.2,19.6,19.3,17.1,16.8 b,17.3 b,15.6,15.0,16.6
Annual,Cities,Percentage,Iceland,13.0,11.4,13.0,10.5,11.1,:,:,:,:
Annual,Cities,Percentage,Italy,28.1 b,28.1,27.3,27.2,26.9,26.8,25.5,24.8,23.7
Annual,Cities,Percentage,Lithuania,21.0,19.6,19.7,19.4,18.7,17.7,18.1,19.0,17.6
Annual,Cities,Percentage,Luxembourg,17.7,20.5 b,17.6,23.1,18.6,16.5 b,20.6 b,15.4 b,15.7
Annual,Cities,Percentage,Latvia,23.9,22.2,22.6,23.7,22.4,21.5,22.4,20.4,20.3
Annual,Cities,Percentage,North Macedonia,:,37.3,33.9,34.7,33.2,30.7,:,:,:
Annual,Cities,Percentage,Malta,22.7,20.5,19.3,19.7,20.9,20.2,23.5,25.1,19.7
Annual,Cities,Percentage,Netherlands,20.0,19.1 b,19.1,19.5,19.5,19.0,18.8,19.2,17.7
Annual,Cities,Percentage,Norway,16.7,18.7,18.8,20.7,18.8,18.0,20.9 b,20.1,18.0 b
Annual,Cities,Percentage,Poland,15.4,14.6,13.8,12.6,12.4,10.8,12.1,10.5,10.8
Annual,Cities,Percentage,Portugal,26.4,24.1,23.5,20.0,19.8,16.6,19.6,16.9,18.2
Annual,Cities,Percentage,Romania,31.5,30.8,26.7,24.5,20.9,19.9,16.1,18.9,18.5
Annual,Cities,Percentage,Serbia,31.2,23.0,32.4,25.5,22.9,21.6,20.4,22.1,:
Annual,Cities,Percentage,Sweden,20.0,19.1,17.0,16.7,17.6,15.9,17.4,18.0,19.4
Annual,Cities,Percentage,Slovenia,18.7,18.1,17.4,15.9,16.0,17.0,14.1,15.7,14.5
Annual,Cities,Percentage,Slovakia,14.0,11.1,10.8,9.8,9.9,7.5,11.1,11.0,16.1
Annual,Cities,Percentage,United Kingdom,26.3,23.8,24.4 b,24.6,:,:,:,:,:
Annual,Cities,Thousand persons,Albania,:,607.0,502.0,433.0,402.0,375.0,443.0,:,:
Annual,Cities,Thousand persons,Austria,580.0,620.0,653.0,666.0,688.0,671.0,672.0,735.0,775.0
Annual,Cities,Thousand persons,Belgium,973.0,992.0,955.0,935.0,976 b,964.0,964.0,993.0,986.0
Annual,Cities,Thousand persons,Bulgaria,1032.0,977 b,874.0,763.0,752.0,749.0,747.0,710.0,636.0
Annual,Cities,Thousand persons,Switzerland,416.0,484.0,520.0,479.0,490.0,456.0,495.0,454.0,527.0
Annual,Cities,Thousand persons,Cyprus,83.0,86.0,79.0,72.0,69.0,81.0,78.0,84.0,87.0
Annual,Cities,Thousand persons,Czechia,406.0,411.0,395.0,363.0,363.0,331.0,347.0,365.0,405.0
Annual,Cities,Thousand persons,Germany,6837.0,6966.0,6625.0,6496.0,6070.0,7794 b,7946.0,7914.0,8189.0
Annual,Cities,Thousand persons,Denmark,475.0,432.0,430.0,396.0,454.0,452 b,439.0,447.0,454.0
Annual,Cities,Thousand persons,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",:,:,:,:,:,31996.0,32563.0,:,:
Annual,Cities,Thousand persons,Euro area - 18 countries (2014),:,:,:,:,:,31592.0,:,:,:
Annual,Cities,Thousand persons,Euro area - 19 countries  (2015-2022),31059.0,31981.0,30827.0,30774.0,29425.0,31800.0,32371.0,:,:
Annual,Cities,Thousand persons,Euro area – 20 countries (from 2023),31223.0,32169.0,31008.0,30961.0,29630.0,31996 b,32563.0,32095.0,32265.0
Annual,Cities,Thousand persons,Estonia,124.0,122.0,119.0,166.0,179.0,167.0,123.0,141.0,135.0
Annual,Cities,Thousand persons,Greece,1239.0,1285.0,1225.0,1229.0,1048.0,958.0,996.0,947.0,1029.0
Annual,Cities,Thousand persons,Spain,6019.0,6344.0,5914.0,5675.0,5598.0,6040.0,6920.0,6180.0,6283.0
Annual,Cities,Thousand persons,European Union - 27 countries (from 2020),38397.0,38894.0,37267.0,36616.0,35173.0,37133 b,37755.0,37228.0,37470.0
Annual,Cities,Thousand persons,Finland,335.0,343.0,345.0,354.0,319.0,312.0,311.0,392 b,385.0
Annual,Cities,Thousand persons,France,5200.0,5473.0,5399.0,5780.0,5007.0,5602 b,5226.0,5810 b,5606.0
Annual,Cities,Thousand persons,Croatia,164.0,187.0,181.0,187.0,186.0,196.0,192.0,173.0,163 b
Annual,Cities,Thousand persons,Hungary,715.0,620.0,632.0,503.0,507.0,461.0,442.0,461.0,450.0
Annual,Cities,Thousand persons,Ireland,362.0,318.0,334.0,299.0,292 b,284 b,268.0,270.0,293.0
Annual,Cities,Thousand persons,Iceland,27.0,24.0,28.0,23.0,24.0,:,:,:,:
Annual,Cities,Thousand persons,Italy,5791 b,5858.0,5620.0,5625.0,5712.0,5692.0,5446.0,5107.0,4928.0
Annual,Cities,Thousand persons,Lithuania,265.0,244.0,241.0,237.0,226.0,208.0,215.0,227.0,216.0
Annual,Cities,Thousand persons,Luxembourg,12.0,19 b,16.0,20.0,22.0,19 b,23 b,19 b,19.0
Annual,Cities,Thousand persons,Latvia,200.0,183.0,189.0,197.0,186.0,175.0,180.0,160.0,138.0
Annual,Cities,Thousand persons,North Macedonia,:,206.0,204.0,225.0,224.0,218.0,:,:,:
Annual,Cities,Thousand persons,Malta,88.0,82.0,79.0,83.0,91.0,91.0,58.0,61.0,51.0
Annual,Cities,Thousand persons,Netherlands,1517.0,1745 b,1802.0,1857.0,1859.0,1821.0,1813.0,1881.0,1763.0
Annual,Cities,Thousand persons,Norway,230.0,261.0,281.0,316.0,286.0,291.0,337 b,323.0,298 b
Annual,Cities,Thousand persons,Poland,1868.0,1785.0,1748.0,1596.0,1592.0,1377.0,1578.0,1311.0,1362.0
Annual,Cities,Thousand persons,Portugal,1202.0,1103.0,1054.0,918.0,907.0,773.0,948.0,810.0,895.0
Annual,Cities,Thousand persons,Romania,2024.0,1859.0,1523.0,1388.0,1174.0,1133.0,921.0,1088.0,1079.0
Annual,Cities,Thousand persons,Serbia,780.0,562.0,772.0,613.0,549.0,510.0,489.0,504.0,:
Annual,Cities,Thousand persons,Sweden,663.0,647.0,669.0,667.0,720.0,642.0,718.0,751.0,820.0
Annual,Cities,Thousand persons,Slovenia,72.0,72.0,68.0,62.0,63.0,67.0,56.0,62.0,57.0
Annual,Cities,Thousand persons,Slovakia,169.0,131.0,124.0,110.0,113.0,87.0,130.0,130.0,176.0
Annual,Cities,Thousand persons,United Kingdom,9461.0,9009.0,9420 b,9480.0,:,:,:,:,:
Annual,Towns and suburbs,Percentage,Albania,:,68.4,53.3,50.7,49.3,43.8,43.4,:,:
Annual,Towns and suburbs,Percentage,Austria,16.4,14.9,16.1,13.1,14.6,15.8,16.6,15.1,14.1
Annual,Towns and suburbs,Percentage,Belgium,17.7,17.6,17.3,16.1,15.3 b,16.3,13.5,13.2,13.8
Annual,Towns and suburbs,Percentage,Bulgaria,42.9,39.6 b,35.8,29.8,29.2,31.6,31.0,33.4,32.7
Annual,Towns and suburbs,Percentage,Switzerland,17.8,16.2,16.9,17.6,19.3,18.7,16.4,19.2,18.9
Annual,Towns and suburbs,Percentage,Cyprus,26.2,24.3,24.2,22.2,21.9,18.2,17.9,16.0,17.2
Annual,Towns and suburbs,Percentage,Czechia,14.4,13.3,12.6,12.3,13.6,12.8,11.8,13.0,11.9
Annual,Towns and suburbs,Percentage,Germany,18.2,17.9,16.7,16.0,15.4,17.9 b,19.0,19.7,20.4
Annual,Towns and suburbs,Percentage,Denmark,11.5,14.8,16.1,15.2,13.7,14.8 b,14.7,15.2,14.1
