Time frequency,Unit of measure,Age class,Sex,Geopolitical entity (reporting)\Time,2005.0,2010.0,2015.0
Annual,Percentage,From 15 to 24 years,Females,Austria,48.0,36.1,45.8
Annual,Percentage,From 15 to 24 years,Females,Belgium,52.1,61.2,51.1
Annual,Percentage,From 15 to 24 years,Females,Bulgaria,48.6 u,60.9,61.7 u
Annual,Percentage,From 15 to 24 years,Females,Cyprus,20.9 u,36.7 u,53.1
Annual,Percentage,From 15 to 24 years,Females,Czechia,56.3,51.4 u,58.9 u
Annual,Percentage,From 15 to 24 years,Females,Germany,40.9,42.1,32.0
Annual,Percentage,From 15 to 24 years,Females,Denmark,54.0,64.0,58.1
Annual,Percentage,From 15 to 24 years,Females,Estonia,40.0 u,50.4 u,56.8
Annual,Percentage,From 15 to 24 years,Females,Greece,44.6,29.2 u,43.7 u
Annual,Percentage,From 15 to 24 years,Females,Spain,37.9,44.3,54.9
Annual,Percentage,From 15 to 24 years,Females,European Union - 27 countries (from 2020),47.5,48.9,47.3
Annual,Percentage,From 15 to 24 years,Females,European Union - 28 countries (2013-2020),48.9,49.5,46.7
Annual,Percentage,From 15 to 24 years,Females,Finland,60.0,76.1,56.3 u
Annual,Percentage,From 15 to 24 years,Females,France,48.2,62.4,40.2
Annual,Percentage,From 15 to 24 years,Females,Croatia,43.8,52.8 u,51.6 u
Annual,Percentage,From 15 to 24 years,Females,Hungary,46.9 u,45.2 u,75.1 u
Annual,Percentage,From 15 to 24 years,Females,Ireland,43.6,66.3,55.6
Annual,Percentage,From 15 to 24 years,Females,Italy,66.7,54.9,55.0 u
Annual,Percentage,From 15 to 24 years,Females,Lithuania,30.3,42.4 u,45.2
Annual,Percentage,From 15 to 24 years,Females,Luxembourg,22.9 u,65.2,39.5 u
Annual,Percentage,From 15 to 24 years,Females,Latvia,46.4,53.1 u,61.7
Annual,Percentage,From 15 to 24 years,Females,Malta,64.2,57.1,49.0
Annual,Percentage,From 15 to 24 years,Females,Netherlands,51.4 u,38.8,51.5
Annual,Percentage,From 15 to 24 years,Females,Poland,47.8,58.9,51.7
Annual,Percentage,From 15 to 24 years,Females,Portugal,63.7,47.9 u,75.0 u
Annual,Percentage,From 15 to 24 years,Females,Romania,45.6,24.5 u,76.3 u
Annual,Percentage,From 15 to 24 years,Females,Sweden,49.8 u,46.7 u,52.2
Annual,Percentage,From 15 to 24 years,Females,Slovenia,43.2 u,44.1,53.3 u
Annual,Percentage,From 15 to 24 years,Females,Slovakia,52.6,44.1 u,61.9 u
Annual,Percentage,From 15 to 24 years,Females,United Kingdom,54.7,52.1,44.6
