Time frequency,Statistical information,Geopolitical entity (reporting)\Time,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0
Annual,"Country weights for the euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",Lithuania,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,4.34,4.46,4.54,4.8,4.89,5.03,5.51,5.96,6.18,5.95
Annual,"Country weights for the euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",Luxembourg,2.17,2.17,2.17,1.98,1.99,2.46,2.56,2.6,2.73,2.79,2.68,2.41,2.72,2.6,2.76,3.12,2.76,2.9,2.96,3.07,3.22,3.13,3.22,3.21,3.3,3.44,3.46,3.51,3.83
Annual,"Country weights for the euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",Latvia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,2.42,2.47,2.54,2.58,2.6,2.63,2.75,2.76,2.89,3.38,3.21
Annual,"Country weights for the euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",Malta,:,:,:,:,:,:,:,:,:,:,:,:,0.77,0.81,0.81,0.91,0.85,0.88,0.92,0.96,1.01,1.04,1.03,1.07,1.11,0.97,1.03,1.24,1.17
Annual,"Country weights for the euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",Netherlands,53.21,53.1,53.47,51.27,56.54,52.52,52.0,53.7,52.95,51.53,52.18,52.85,50.24,50.94,50.76,48.29,49.41,49.46,49.53,50.96,51.22,50.73,50.96,51.18,53.21,55.45,53.91,56.07,56.71
Annual,"Country weights for the euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",Portugal,16.71,16.73,16.83,18.21,18.13,20.94,20.45,21.07,21.45,21.29,21.89,20.79,22.32,21.99,22.18,21.76,23.78,22.61,21.32,21.07,21.9,22.13,22.31,22.63,23.19,23.09,22.61,24.45,24.91
Annual,"Country weights for the euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",Slovenia,:,:,:,:,:,:,:,:,:,:,:,3.35,3.43,3.71,3.9,4.11,3.91,4.03,3.91,3.75,3.78,3.74,3.89,3.92,4.09,4.08,4.24,4.6,4.5
Annual,"Country weights for the euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",Slovakia,:,:,:,:,:,:,:,:,:,:,:,:,:,6.77,7.22,7.38,7.34,7.3,7.41,7.46,7.55,7.44,7.61,7.84,7.75,8.75,8.34,8.73,8.86
Annual,Country weights for EA19 (euro area 2015-2022),Austria,29.55,29.56,29.38,27.92,28.1,32.21,31.36,31.04,30.96,30.59,30.6,30.72,30.54,29.96,30.13,31.59,31.25,33.53,33.24,34.27,34.49,33.84,34.43,34.27,34.66,33.92,32.75,34.67,35.03
Annual,Country weights for EA19 (euro area 2015-2022),Belgium,37.0,37.05,36.79,38.54,38.53,32.99,33.45,32.96,32.68,32.85,33.02,33.31,33.13,33.55,32.19,32.81,34.92,34.88,35.7,36.11,37.51,37.87,37.57,37.69,38.18,38.25,40.72,40.15,38.65
Annual,Country weights for EA19 (euro area 2015-2022),Cyprus,1.73,1.75,1.79,1.92,1.99,2.27,2.45,2.45,2.41,2.21,2.27,2.4,2.43,2.47,2.76,2.95,2.49,2.45,2.42,2.33,2.33,2.36,2.37,2.46,2.48,2.42,2.22,2.47,2.6
Annual,Country weights for EA19 (euro area 2015-2022),Germany,335.97,334.75,334.05,333.5,334.62,304.4,300.9,294.13,287.41,284.75,282.55,277.27,266.67,258.43,259.79,257.1,263.18,266.87,276.29,282.96,277.72,279.61,280.76,279.57,276.09,291.52,282.78,279.07,273.07
Annual,Country weights for EA19 (euro area 2015-2022),Euro area - 19 countries  (2015-2022),1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
Annual,Country weights for EA19 (euro area 2015-2022),Estonia,0.67,0.68,0.74,0.86,0.88,0.94,1.0,0.99,1.04,1.12,1.2,1.34,1.63,1.84,1.72,1.49,1.47,1.56,1.72,1.8,1.93,1.97,2.03,2.1,2.17,2.3,2.52,2.75,2.7
Annual,Country weights for EA19 (euro area 2015-2022),Greece,19.52,20.05,20.63,21.04,20.83,23.91,24.31,25.26,26.14,26.99,28.21,30.13,33.26,34.24,36.02,38.19,33.22,28.78,25.61,23.52,23.78,23.08,22.17,22.16,22.22,20.53,21.76,22.98,22.84
Annual,Country weights for EA19 (euro area 2015-2022),Spain,85.55,85.92,86.15,88.36,87.72,102.86,101.85,107.06,109.15,112.49,117.57,121.01,125.06,126.79,125.34,125.91,122.83,123.27,119.69,110.95,110.19,112.61,115.06,116.15,117.48,105.61,111.09,110.46,115.54
Annual,Country weights for EA19 (euro area 2015-2022),Finland,15.1,15.03,15.03,14.33,14.55,15.65,15.7,15.42,15.41,15.63,15.56,15.91,16.02,16.67,17.1,16.47,17.64,18.38,19.04,19.27,19.23,19.04,18.94,18.87,18.7,19.65,19.56,18.8,17.78
Annual,Country weights for EA19 (euro area 2015-2022),France,212.9,212.55,211.68,203.41,201.9,202.36,200.99,201.46,203.86,203.51,199.5,204.24,202.58,204.14,205.81,206.31,204.84,203.33,204.66,206.11,207.22,205.62,201.64,201.97,201.8,201.9,205.01,197.3,197.29
