Time frequency,Unit of measure,Age class,Sex,Geopolitical entity (reporting)\Time,2005.0,2010.0,2015.0
Annual,Percentage,From 15 to 24 years,Females,Austria,9.8,12.4,19.0
Annual,Percentage,From 15 to 24 years,Females,Belgium,7.2,24.3,28.7
Annual,Percentage,From 15 to 24 years,Females,Bulgaria,30.5 u,39.5 u,3.7 u
Annual,Percentage,From 15 to 24 years,Females,Cyprus,24.7 u,21.8 u,17.0
Annual,Percentage,From 15 to 24 years,Females,Czechia,32.1,39.1 u,2.6 u
Annual,Percentage,From 15 to 24 years,Females,Germany,19.7,5.1,13.3
Annual,Percentage,From 15 to 24 years,Females,Denmark,6.4,9.1,20.6
Annual,Percentage,From 15 to 24 years,Females,Estonia,20.4 u,53.8 u,10.1 u
Annual,Percentage,From 15 to 24 years,Females,Greece,28.0,37.9 u,27.2 u
Annual,Percentage,From 15 to 24 years,Females,Spain,21.6,26.6,47.5
Annual,Percentage,From 15 to 24 years,Females,European Union - 27 countries (from 2020),21.0,19.7,25.0
Annual,Percentage,From 15 to 24 years,Females,European Union - 28 countries (2013-2020),17.5,19.1,22.4
Annual,Percentage,From 15 to 24 years,Females,Finland,16.9,27.1,26.7 u
Annual,Percentage,From 15 to 24 years,Females,France,10.5,23.3,32.7
Annual,Percentage,From 15 to 24 years,Females,Croatia,20.8,32.2 u,11.0 u
Annual,Percentage,From 15 to 24 years,Females,Hungary,20.9 u,33.9 u,16.5 u
Annual,Percentage,From 15 to 24 years,Females,Ireland,20.1,33.9,44.6 u
Annual,Percentage,From 15 to 24 years,Females,Italy,20.6,20.7,53.1 u
Annual,Percentage,From 15 to 24 years,Females,Lithuania,38.6,42.9 u,15.4
Annual,Percentage,From 15 to 24 years,Females,Luxembourg,0.0 u,27.4,26.3 u
Annual,Percentage,From 15 to 24 years,Females,Latvia,20.2,7.6 u,11.1 u
Annual,Percentage,From 15 to 24 years,Females,Malta,26.0,16.9,7.2
Annual,Percentage,From 15 to 24 years,Females,Netherlands,23.7 u,11.4,34.0
Annual,Percentage,From 15 to 24 years,Females,Poland,32.3,33.6,26.8
Annual,Percentage,From 15 to 24 years,Females,Portugal,30.1,27.5 u,0.0 u
Annual,Percentage,From 15 to 24 years,Females,Romania,30.1,36.2 u,14.3 u
Annual,Percentage,From 15 to 24 years,Females,Sweden,33.9 u,46.7 u,21.7 u
Annual,Percentage,From 15 to 24 years,Females,Slovenia,33.5 u,38.1,37.3 u
Annual,Percentage,From 15 to 24 years,Females,Slovakia,14.3 u,5.5 u,13.2 u
Annual,Percentage,From 15 to 24 years,Females,United Kingdom,2.7,16.1,13.1
Annual,Percentage,From 15 to 24 years,Males,Austria,12.5,16.9,12.7
Annual,Percentage,From 15 to 24 years,Males,Belgium,23.4,21.7,18.6
Annual,Percentage,From 15 to 24 years,Males,Bulgaria,25.1,30.5 u,8.3 u
Annual,Percentage,From 15 to 24 years,Males,Cyprus,36.6 u,16.0 u,3.4
Annual,Percentage,From 15 to 24 years,Males,Czechia,48.5,28.1 u,26.9 u
Annual,Percentage,From 15 to 24 years,Males,Germany,6.8,16.9,3.2
Annual,Percentage,From 15 to 24 years,Males,Denmark,14.5,17.6,13.4
Annual,Percentage,From 15 to 24 years,Males,Estonia,13.1,19.8 u,16.2 u
Annual,Percentage,From 15 to 24 years,Males,Greece,29.3,22.8,10.6 u
Annual,Percentage,From 15 to 24 years,Males,Spain,32.1,24.1,42.1
Annual,Percentage,From 15 to 24 years,Males,European Union - 27 countries (from 2020),22.5,23.8,19.9
Annual,Percentage,From 15 to 24 years,Males,European Union - 28 countries (2013-2020),20.9,22.1,17.6
Annual,Percentage,From 15 to 24 years,Males,Finland,30.9,17.2,27.3 u
Annual,Percentage,From 15 to 24 years,Males,France,18.3,31.2,23.5
Annual,Percentage,From 15 to 24 years,Males,Croatia,27.1,38.5,29.8 u
Annual,Percentage,From 15 to 24 years,Males,Hungary,17.7,36.6 u,30.8 u
Annual,Percentage,From 15 to 24 years,Males,Ireland,9.9,47.0,12.8
Annual,Percentage,From 15 to 24 years,Males,Italy,18.1,18.3,14.6 u
Annual,Percentage,From 15 to 24 years,Males,Lithuania,29.7,51.7 u,17.0 u
Annual,Percentage,From 15 to 24 years,Males,Luxembourg,19.7 u,16.5,28.1 u
Annual,Percentage,From 15 to 24 years,Males,Latvia,18.9,41.2,16.6 u
Annual,Percentage,From 15 to 24 years,Males,Malta,8.3,25.3,23.6
Annual,Percentage,From 15 to 24 years,Males,Netherlands,22.3,14.8,38.6
Annual,Percentage,From 15 to 24 years,Males,Poland,48.4,23.3,23.1
Annual,Percentage,From 15 to 24 years,Males,Portugal,30.1,33.7 u,63.2 u
Annual,Percentage,From 15 to 24 years,Males,Romania,27.0,36.0 u,18.2 u
Annual,Percentage,From 15 to 24 years,Males,Sweden,58.1 u,53.3 u,27.6
Annual,Percentage,From 15 to 24 years,Males,Slovenia,50.0,21.9,33.3
Annual,Percentage,From 15 to 24 years,Males,Slovakia,17.7 u,27.1 u,26.2 u
Annual,Percentage,From 15 to 24 years,Males,United Kingdom,11.0,13.7,9.9
Annual,Percentage,From 15 to 24 years,Total,Austria,11.3,14.9,15.6
Annual,Percentage,From 15 to 24 years,Total,Belgium,15.3,22.9,23.5
Annual,Percentage,From 15 to 24 years,Total,Bulgaria,27.0,34.0,6.5
Annual,Percentage,From 15 to 24 years,Total,Cyprus,31.4,18.9,11.1
Annual,Percentage,From 15 to 24 years,Total,Czechia,41.8,32.9,15.5
