Time frequency,Unit of measure,Transport coverage,Geopolitical entity (reporting)\Time,1979.0,1980.0,1981.0,1982.0,1983.0,1984.0,1985.0,1986.0,1987.0,1988.0,1989.0,1990.0,1991.0,1992.0,1993.0,1994.0,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0
Annual,Number,International transport - loaded,Belgium,:,:,:,:,:,:,:,:,:,:,:,:,:,:,7563.0,7331.0,:,:,:,:,:,13805.0,9936.0,10679.0,:,:,:,:,:,:,:,:,:,:
Annual,Number,International transport - loaded,Switzerland,:,:,:,:,:,:,:,:,:,:,:,179984.0,:,:,:,:,1194.0,917.0,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Number,International transport - loaded,Czechia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,568.0,607.0,528.0,991.0,1392.0,2571.0,3420.0,4875.0,5833.0,6761.0,6552.0,6828.0,6726.0
Annual,Number,International transport - loaded,Greece,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,877.0,249.0,214.0,14.0,:,:,:,:,:,: m,: m,: m,: m,: m,:,:,:,:
Annual,Number,International transport - loaded,Spain,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,1835.0,1267.0,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Number,International transport - loaded,Finland,:,:,:,:,:,:,:,:,:,:,189.0,182.0,156.0,60.0,73.0,90.0,102.0,49.0,25.0,46.0,7.0,1.0,:,:,: m,: m,:,: m,: m,: m,: m,: m,: m,: m
Annual,Number,International transport - loaded,Croatia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,644.0,1520.0,509.0,462.0,: m,12.0,19.0
Annual,Number,International transport - loaded,Hungary,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,: m
Annual,Number,International transport - loaded,Lithuania,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,:
Annual,Number,International transport - loaded,Luxembourg,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.0,0.0,:,:,:,:
Annual,Number,International transport - loaded,Latvia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Number,International transport - loaded,Norway,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.0,0.0,0.0,0.0
Annual,Number,International transport - loaded,Poland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,: m,: m,: m,: m,: m,: m,: m
Annual,Number,International transport - loaded,Slovenia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.0,0.0,0.0,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Number,International transport - loaded,Türkiye,:,:,:,:,:,:,:,:,:,:,:,:,:,:,2138.0,2396.0,347.0,2751.0,:,:,:,:,:,:,:,:,5774.0,:,:,:,:,:,:,2650.0
Annual,Number,International transport - unloaded,Belgium,:,:,:,:,:,:,:,:,:,:,:,:,:,:,5783.0,5619.0,:,:,:,:,:,11453.0,8511.0,9342.0,:,:,:,:,:,:,:,:,:,:
Annual,Number,International transport - unloaded,Switzerland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,1178.0,756.0,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Number,International transport - unloaded,Czechia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.0,0.0,400.0,1010.0,1197.0,2233.0,2843.0,5272.0,6105.0,6300.0,6087.0,6437.0,6566.0
Annual,Number,International transport - unloaded,Greece,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,774.0,207.0,217.0,127.0,:,:,:,:,:,: m,: m,: m,: m,: m,:,:,:,:
Annual,Number,International transport - unloaded,Spain,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,2561.0,1694.0,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Number,International transport - unloaded,Finland,:,:,:,:,:,:,:,:,:,:,133.0,164.0,208.0,22.0,23.0,9.0,18.0,20.0,1.0,2.0,2.0,:,:,:,: m,: m,:,: m,: m,: m,: m,: m,: m,: m
Annual,Number,International transport - unloaded,Croatia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,873.0,1790.0,602.0,575.0,: m,12.0,19.0
Annual,Number,International transport - unloaded,Hungary,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,: m
Annual,Number,International transport - unloaded,Lithuania,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,:
