Time frequency,Stock or flow,Unit of measure,Geopolitical entity (reporting)\Time,2010.0,2015.0,2020.0
Annual,Expenditure,Index,Austria,33.5,34.3,33.5
Annual,Expenditure,Index,Belgium,32.8,33.8,34.0
Annual,Expenditure,Index,Bulgaria,31.8,34.2,33.7
Annual,Expenditure,Index,Cyprus,37.0,36.0,36.0
Annual,Expenditure,Index,Czechia,: u,26.8,31.2
Annual,Expenditure,Index,Germany,33.3,32.7,33.3
Annual,Expenditure,Index,Denmark,30.0,31.4,33.9
Annual,Expenditure,Index,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",:,33.8,33.8
Annual,Expenditure,Index,Euro area – 20 countries (from 2023),:,33.8,33.8
Annual,Expenditure,Index,Estonia,40.6,40.5,40.0
Annual,Expenditure,Index,Greece,38.1,37.6,35.6
Annual,Expenditure,Index,Spain,34.7,35.4,35.0
Annual,Expenditure,Index,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",:,33.7,33.0
Annual,Expenditure,Index,European Union - 27 countries (from 2020),:,33.5,33.0
Annual,Expenditure,Index,Finland,36.0,34.2,:
Annual,Expenditure,Index,France,33.8,34.6,34.7
Annual,Expenditure,Index,Croatia,32.9,33.2,34.4
Annual,Expenditure,Index,Hungary,29.4,31.4,32.6
Annual,Expenditure,Index,Ireland,32.8,33.5,:
Annual,Expenditure,Index,Italy,37.2,:,:
Annual,Expenditure,Index,Lithuania,36.0,37.5,39.1
Annual,Expenditure,Index,Luxembourg,32.7,33.2,32.4
Annual,Expenditure,Index,Latvia,37.5,39.7,40.6
Annual,Expenditure,Index,Malta,36.1,36.5,36.5
Annual,Expenditure,Index,Netherlands,:,27.9,28.3
Annual,Expenditure,Index,Poland,34.4,32.9,32.1
Annual,Expenditure,Index,Portugal,40.2,37.1,:
Annual,Expenditure,Index,Romania,30.5,31.1,28.6
Annual,Expenditure,Index,Sweden,31.1,32.3,:
Annual,Expenditure,Index,Slovenia,32.7,32.3,33.8
Annual,Expenditure,Index,Slovakia,29.9,28.0,27.2
Annual,Expenditure,Index,United Kingdom,: u,35.3,:
Annual,Income,Index,Austria,35.4,34.3,34.0
Annual,Income,Index,Belgium,34.8,34.3,33.5
Annual,Income,Index,Bulgaria,41.2,43.2,46.6
Annual,Income,Index,Cyprus,37.7,37.8,35.6
Annual,Income,Index,Czechia,32.5,33.6,32.8
Annual,Income,Index,Germany,36.5,38.2,37.3
Annual,Income,Index,Denmark,37.1,36.7,36.5
Annual,Income,Index,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",:,36.7,36.7
Annual,Income,Index,Euro area – 20 countries (from 2023),:,36.7,36.7
Annual,Income,Index,Estonia,39.6,41.5,40.3
Annual,Income,Index,Greece,38.0,38.0,36.9
Annual,Income,Index,Spain,38.2,38.0,37.3
Annual,Income,Index,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",:,36.8,36.8
Annual,Income,Index,European Union - 27 countries (from 2020),:,36.7,36.8
Annual,Income,Index,Finland,34.7,34.6,:
Annual,Income,Index,France,35.8,34.3,36.4
Annual,Income,Index,Croatia,39.3,38.4,37.9
Annual,Income,Index,Hungary,33.0,34.8,34.8
Annual,Income,Index,Ireland,35.2,36.3,:
Annual,Income,Index,Italy,37.4,:,:
Annual,Income,Index,Lithuania,43.7,45.6,44.3
Annual,Income,Index,Luxembourg,31.9,33.8,32.7
Annual,Income,Index,Latvia,42.1,43.3,43.2
Annual,Income,Index,Malta,34.8,36.3,39.0
Annual,Income,Index,Netherlands,:,35.3,37.1
Annual,Income,Index,Poland,37.0,35.9,34.9
Annual,Income,Index,Portugal,38.5,37.9,:
Annual,Income,Index,Romania,37.9,39.9,40.9
Annual,Income,Index,Sweden,34.4,34.9,:
Annual,Income,Index,Slovenia,34.1,34.4,34.5
Annual,Income,Index,Slovakia,34.4,32.3,29.0
Annual,Income,Index,United Kingdom,39.2,37.7,:
Annual,Savings,Index,Austria,67.9,65.7,64.7
Annual,Savings,Index,Belgium,72.8,67.3,61.1
Annual,Savings,Index,Bulgaria,57.8,71.4,69.3
Annual,Savings,Index,Cyprus,74.1,74.7,63.5
Annual,Savings,Index,Czechia,59.3,58.7,59.4
Annual,Savings,Index,Germany,69.4,70.3,67.6
Annual,Savings,Index,Denmark,75.2,66.7,62.5
Annual,Savings,Index,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",:,67.0,64.8
Annual,Savings,Index,Euro area – 20 countries (from 2023),:,67.1,64.8
Annual,Savings,Index,Estonia,61.4,62.3,59.6
Annual,Savings,Index,Greece,81.3,80.8,70.6
Annual,Savings,Index,Spain,70.1,68.3,61.6
Annual,Savings,Index,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",:,67.2,63.9
Annual,Savings,Index,European Union - 27 countries (from 2020),:,66.4,63.9
Annual,Savings,Index,Finland,65.0,66.6,:
Annual,Savings,Index,France,63.9,59.3,62.7
Annual,Savings,Index,Croatia,75.6,75.2,66.4
Annual,Savings,Index,Hungary,66.7,68.7,64.6
Annual,Savings,Index,Ireland,65.6,63.9,:
Annual,Savings,Index,Italy,68.3,:,:
Annual,Savings,Index,Lithuania,71.4,67.9,62.1
Annual,Savings,Index,Luxembourg,61.1,63.3,61.8
Annual,Savings,Index,Latvia,74.3,67.7,65.3
Annual,Savings,Index,Malta,69.9,69.5,65.4
Annual,Savings,Index,Netherlands,:,68.7,68.2
Annual,Savings,Index,Poland,63.8,59.4,48.5
Annual,Savings,Index,Portugal,72.3,68.6,:
Annual,Savings,Index,Romania,81.4,71.0,77.9
Annual,Savings,Index,Sweden,65.9,63.8,:
Annual,Savings,Index,Slovenia,65.3,63.9,63.7
Annual,Savings,Index,Slovakia,61.2,66.3,58.4
Annual,Savings,Index,United Kingdom,68.6,71.5,:
Annual,Net wealth,Index,Austria,75.0,72.3,69.0
Annual,Net wealth,Index,Belgium,60.7,58.5,61.8
Annual,Net wealth,Index,Cyprus,69.4,68.9,61.4
Annual,Net wealth,Index,Czechia,:,:,55.0
Annual,Net wealth,Index,Germany,74.8,75.1,72.2
Annual,Net wealth,Index,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",:,68.4,67.8
Annual,Net wealth,Index,Euro area – 20 countries (from 2023),:,68.4,67.8
Annual,Net wealth,Index,Estonia,:,68.8,70.7
Annual,Net wealth,Index,Greece,55.8,59.0,57.5
Annual,Net wealth,Index,Spain,59.4,65.5,67.3
Annual,Net wealth,Index,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",:,67.3,67.1
Annual,Net wealth,Index,European Union - 27 countries (from 2020),:,67.3,67.1
Annual,Net wealth,Index,Finland,63.0,63.9,:
Annual,Net wealth,Index,France,67.5,66.7,67.3
Annual,Net wealth,Index,Croatia,:,:,62.0
Annual,Net wealth,Index,Hungary,:,62.9,61.2
Annual,Net wealth,Index,Ireland,:,69.4,:
Annual,Net wealth,Index,Italy,60.9,:,:
Annual,Net wealth,Index,Lithuania,:,:,57.3
Annual,Net wealth,Index,Luxembourg,65.8,64.1,63.5
Annual,Net wealth,Index,Latvia,:,74.0,67.9
Annual,Net wealth,Index,Malta,57.2,56.7,54.6
Annual,Net wealth,Index,Netherlands,:,63.3,65.7
Annual,Net wealth,Index,Poland,:,58.6,:
Annual,Net wealth,Index,Portugal,65.6,67.0,:
Annual,Net wealth,Index,Slovenia,53.2,62.5,59.0
Annual,Net wealth,Index,Slovakia,44.8,48.9,45.6
