Time frequency,Effects,Unit of measure,Geopolitical entity (reporting)\Time,2021.0
Annual,Physical injury,Percentage,Austria,5.9
Annual,Physical injury,Percentage,Belgium,4.8
Annual,Physical injury,Percentage,Bulgaria,2.0
Annual,Physical injury,Percentage,Cyprus,2.2 u
Annual,Physical injury,Percentage,Czechia,1.5 u
Annual,Physical injury,Percentage,Germany,4.3
Annual,Physical injury,Percentage,Denmark,5.8
Annual,Physical injury,Percentage,Estonia,4.9
Annual,Physical injury,Percentage,Greece,4.2
Annual,Physical injury,Percentage,Spain,3.8
Annual,Physical injury,Percentage,European Union (aggregate changing according to the context),4.4 e
Annual,Physical injury,Percentage,Finland,9.4 u
Annual,Physical injury,Percentage,France,: u
Annual,Physical injury,Percentage,Croatia,2.5
Annual,Physical injury,Percentage,Hungary,4.5
Annual,Physical injury,Percentage,Ireland,7.2
Annual,Physical injury,Percentage,Lithuania,3.9
Annual,Physical injury,Percentage,Luxembourg,5.5
Annual,Physical injury,Percentage,Latvia,3.4
Annual,Physical injury,Percentage,Montenegro,: u
Annual,Physical injury,Percentage,Malta,3.6
Annual,Physical injury,Percentage,Netherlands,7.1 u
Annual,Physical injury,Percentage,Poland,: u
Annual,Physical injury,Percentage,Portugal,3.3
Annual,Physical injury,Percentage,Romania,3.5
Annual,Physical injury,Percentage,Serbia,0.9 u
Annual,Physical injury,Percentage,Sweden,5.6
Annual,Physical injury,Percentage,Slovenia,4.0
Annual,Physical injury,Percentage,Slovakia,: u
Annual,Physical injury,Percentage,Kosovo*,: u
Annual,Felt that their life was in danger,Percentage,Austria,4.1
Annual,Felt that their life was in danger,Percentage,Belgium,5.2
Annual,Felt that their life was in danger,Percentage,Bulgaria,0.9 u
Annual,Felt that their life was in danger,Percentage,Cyprus,4.9
Annual,Felt that their life was in danger,Percentage,Czechia,1.6 u
Annual,Felt that their life was in danger,Percentage,Germany,3.2
Annual,Felt that their life was in danger,Percentage,Denmark,4.1 u
Annual,Felt that their life was in danger,Percentage,Estonia,6.0
Annual,Felt that their life was in danger,Percentage,Greece,7.9
Annual,Felt that their life was in danger,Percentage,Spain,4.3
Annual,Felt that their life was in danger,Percentage,European Union (aggregate changing according to the context),3.8 e
Annual,Felt that their life was in danger,Percentage,Finland,5.4 u
Annual,Felt that their life was in danger,Percentage,France,: u
Annual,Felt that their life was in danger,Percentage,Croatia,3.0 u
Annual,Felt that their life was in danger,Percentage,Hungary,2.3 u
Annual,Felt that their life was in danger,Percentage,Ireland,8.2
Annual,Felt that their life was in danger,Percentage,Lithuania,3.3
Annual,Felt that their life was in danger,Percentage,Luxembourg,8.6
Annual,Felt that their life was in danger,Percentage,Latvia,6.3
Annual,Felt that their life was in danger,Percentage,Montenegro,: u
Annual,Felt that their life was in danger,Percentage,Malta,6.1
Annual,Felt that their life was in danger,Percentage,Netherlands,4.5
Annual,Felt that their life was in danger,Percentage,Poland,2.6
Annual,Felt that their life was in danger,Percentage,Portugal,3.4
Annual,Felt that their life was in danger,Percentage,Romania,2.8 u
Annual,Felt that their life was in danger,Percentage,Serbia,2.8
Annual,Felt that their life was in danger,Percentage,Sweden,7.4
Annual,Felt that their life was in danger,Percentage,Slovenia,2.5 u
Annual,Felt that their life was in danger,Percentage,Slovakia,: u
Annual,Felt that their life was in danger,Percentage,Kosovo*,: u
