Time frequency,Income quantile,Unit of measure,Geopolitical entity (reporting)\Time,2020.0
Annual,First quintile,Percentage,Albania,10.7
Annual,First quintile,Percentage,Austria,16.3
Annual,First quintile,Percentage,Belgium,18.6
Annual,First quintile,Percentage,Bulgaria,6.9
Annual,First quintile,Percentage,Switzerland,29.5
Annual,First quintile,Percentage,Cyprus,20.7
Annual,First quintile,Percentage,Czechia,11.0
Annual,First quintile,Percentage,Germany,10.3 u
Annual,First quintile,Percentage,Denmark,29.8
Annual,First quintile,Percentage,Estonia,17.5
Annual,First quintile,Percentage,Greece,18.2
Annual,First quintile,Percentage,Spain,25.7
Annual,First quintile,Percentage,European Union - 27 countries (from 2020),17.9 e
Annual,First quintile,Percentage,Finland,44.6
Annual,First quintile,Percentage,France,24.9
Annual,First quintile,Percentage,Croatia,15.3
Annual,First quintile,Percentage,Hungary,9.0
Annual,First quintile,Percentage,Ireland,29.7
Annual,First quintile,Percentage,Lithuania,10.0
Annual,First quintile,Percentage,Luxembourg,36.7
Annual,First quintile,Percentage,Latvia,11.9
Annual,First quintile,Percentage,Montenegro,27.7
Annual,First quintile,Percentage,North Macedonia,9.6
Annual,First quintile,Percentage,Malta,6.4
Annual,First quintile,Percentage,Netherlands,23.2
Annual,First quintile,Percentage,Norway,44.3
Annual,First quintile,Percentage,Poland,11.2
Annual,First quintile,Percentage,Portugal,7.4
Annual,First quintile,Percentage,Romania,4.8
Annual,First quintile,Percentage,Serbia,17.0
Annual,First quintile,Percentage,Sweden,31.8
Annual,First quintile,Percentage,Slovenia,28.0
Annual,First quintile,Percentage,Slovakia,17.7
Annual,Second quintile,Percentage,Albania,8.5
Annual,Second quintile,Percentage,Austria,21.8
Annual,Second quintile,Percentage,Belgium,25.4
Annual,Second quintile,Percentage,Bulgaria,6.3
Annual,Second quintile,Percentage,Switzerland,36.4
Annual,Second quintile,Percentage,Cyprus,33.0
Annual,Second quintile,Percentage,Czechia,14.9
Annual,Second quintile,Percentage,Germany,15.6 u
Annual,Second quintile,Percentage,Denmark,31.5
Annual,Second quintile,Percentage,Estonia,28.2
Annual,Second quintile,Percentage,Greece,20.9
Annual,Second quintile,Percentage,Spain,30.8
Annual,Second quintile,Percentage,European Union - 27 countries (from 2020),22.4 e
Annual,Second quintile,Percentage,Finland,55.1
Annual,Second quintile,Percentage,France,33.8
Annual,Second quintile,Percentage,Croatia,29.5
Annual,Second quintile,Percentage,Hungary,13.3
Annual,Second quintile,Percentage,Ireland,40.9
Annual,Second quintile,Percentage,Lithuania,14.0
Annual,Second quintile,Percentage,Luxembourg,51.6
Annual,Second quintile,Percentage,Latvia,21.3
Annual,Second quintile,Percentage,Montenegro,32.8
Annual,Second quintile,Percentage,North Macedonia,14.0
Annual,Second quintile,Percentage,Malta,11.8
Annual,Second quintile,Percentage,Netherlands,18.7
Annual,Second quintile,Percentage,Norway,43.0
Annual,Second quintile,Percentage,Poland,12.3
Annual,Second quintile,Percentage,Portugal,12.5
Annual,Second quintile,Percentage,Romania,2.7
Annual,Second quintile,Percentage,Serbia,23.7
Annual,Second quintile,Percentage,Sweden,34.9
Annual,Second quintile,Percentage,Slovenia,45.0
Annual,Second quintile,Percentage,Slovakia,16.8
Annual,Third quintile,Percentage,Albania,6.5
Annual,Third quintile,Percentage,Austria,17.8
Annual,Third quintile,Percentage,Belgium,28.5
Annual,Third quintile,Percentage,Bulgaria,9.7
Annual,Third quintile,Percentage,Switzerland,40.0
Annual,Third quintile,Percentage,Cyprus,40.2
Annual,Third quintile,Percentage,Czechia,17.3
Annual,Third quintile,Percentage,Germany,17.9 u
Annual,Third quintile,Percentage,Denmark,36.3
Annual,Third quintile,Percentage,Estonia,42.0
Annual,Third quintile,Percentage,Greece,28.9
Annual,Third quintile,Percentage,Spain,33.7
Annual,Third quintile,Percentage,European Union - 27 countries (from 2020),26.1 e
Annual,Third quintile,Percentage,Finland,61.9
Annual,Third quintile,Percentage,France,39.9
Annual,Third quintile,Percentage,Croatia,35.8
Annual,Third quintile,Percentage,Hungary,17.7
Annual,Third quintile,Percentage,Ireland,43.9
Annual,Third quintile,Percentage,Lithuania,15.2
Annual,Third quintile,Percentage,Luxembourg,47.6
Annual,Third quintile,Percentage,Latvia,31.2
Annual,Third quintile,Percentage,Montenegro,40.4
