Time frequency,National accounts indicator (ESA 2010),Seasonal adjustment,Unit of measure,Geopolitical entity (reporting)\Time,Octobre-Décembre 2021,Janvier-Mars 2022,Avril-Juin 2022,Jullet-Septembre 2022,Octobre-Décembre 2022,Janvier-Mars 2023,Avril-Juin 2023,Jullet-Septembre 2023,Octobre-Décembre 2023,Janvier-Mars 2024,Avril-Juin 2024,Jullet-Septembre 2024
Quarterly,Gross fixed capital formation,Seasonally and calendar adjusted data,Million euro (SCA),Albania,1031.4,1128.1,1103.7,1198.8,1210.7,1248.1 p,1267.0 p,1354.1 p,1379.4 p,1439.1 p,1458.6 p,1489.7 p
Quarterly,Gross fixed capital formation,Seasonally and calendar adjusted data,Million euro (SCA),Austria,26472.3,27879.6,28179.0,28871.3,29346.5,29787.8,29714.7,29185.2,29455.4,29299.4,29347.7,29667.3
Quarterly,Gross fixed capital formation,Seasonally and calendar adjusted data,Million euro (SCA),Belgium,30738.8,32334.5,32949.4,34164.1,34967.2,35961.3 p,36983.8 p,37683.2 p,35161.5 p,36407.8 p,37997.2 p,37344.1 p
Quarterly,Gross fixed capital formation,Seasonally and calendar adjusted data,Million euro (SCA),Bulgaria,2947.2,3250.9,3635.4,3638.3,3859.6,4255.9,4159.7,4457.3,4603.3,4384.7 p,4278.2 p,4640.6 p
Quarterly,Gross fixed capital formation,Seasonally and calendar adjusted data,Million euro (SCA),Switzerland,47799.5,47990.7,49239.7,52713.9,52292.5,52986.8,52970.7,53850.4,53815.8,54539.7,52945.7,53962.0
Quarterly,Gross fixed capital formation,Seasonally and calendar adjusted data,Million euro (SCA),Cyprus,959.6,1432.2,1868.7,1371.3,1179.5,2225.2,1473.0,1723.1,1238.0,1494.4,1654.5,1654.9
Quarterly,Gross fixed capital formation,Seasonally and calendar adjusted data,Million euro (SCA),Czechia,16903.6,19067.4,19918.6,20041.5,20419.2,21289.9,22252.3,21612.4,21649.5,20178.5,21162.9,20904.9
Quarterly,Gross fixed capital formation,Seasonally and calendar adjusted data,Million euro (SCA),Germany,199279.0 p,206050.0 p,212745.0 p,217112.0 p,218644.0 p,224815.0 p,226117.0 p,225799.0 p,223600.0 p,226032.0 p,223337.0 p,224084.0 p
Quarterly,Gross fixed capital formation,Seasonally and calendar adjusted data,Million euro (SCA),Denmark,20150.5,20629.0,21082.7,21131.0,24379.8,21338.4,21230.2,22046.1,20349.4,20685.8,21250.8,21476.6
Quarterly,Gross fixed capital formation,Seasonally and calendar adjusted data,Million euro (SCA),"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",713121.5,720226.3,743282.8,762478.2,773494.7,791781.1,794087.7,798670.1,814670.8,798981.1,782072.1,801910.1
