Time frequency,Classification of individual consumption by purpose (COICOP),Unit of measure,Geopolitical entity (reporting)\Time,Janvier 2024,Février 2024,Mars 2024,Avril 2024,Mai 2024,Juin 2024,Juillet 2024,Août 2024,Septembre 2024,Octobre 2024,Novembre 2024,Décembre 2024
Monthly,Clothing and footwear,"Index, 2015=100",Norway,99.4,101.7,104.4,105.5,106.5,106.2,101.7,101.4,105.0,105.4,105.9,105.3
Monthly,Clothing and footwear,"Index, 2015=100",Poland,92.3,91.0,94.1,96.4,96.0,94.4,91.4,90.2,91.9,95.1,95.5,94.2
Monthly,Clothing and footwear,"Index, 2015=100",Portugal,78.9,73.55,92.97,94.59,94.37,92.99,81.07,75.33,92.46,93.98,94.37,92.61
Monthly,Clothing and footwear,"Index, 2015=100",Romania,140.73,141.17,142.39,143.33,144.0,144.23,144.56,144.64,145.72,147.86,148.79,149.07
Monthly,Clothing and footwear,"Index, 2015=100",Serbia,110.4 d,109.3 d,109.3 d,111.5 d,112.5 d,113.4 d,113.1 d,112.7 d,112.5 d,114.5 d,115.6 d,116.5 d
Monthly,Clothing and footwear,"Index, 2015=100",Sweden,115.54,118.97,122.01,123.47,124.86,121.13,116.24,121.53,125.15,125.73,125.94,127.56
Monthly,Clothing and footwear,"Index, 2015=100",Slovenia,97.86,99.58,107.22,110.58,111.31,110.34,97.97,90.69,103.7,109.46,111.4,109.37
Monthly,Clothing and footwear,"Index, 2015=100",Slovakia,117.33,116.65,118.08,118.48,119.46,119.44,118.61,118.24,119.14,120.69,121.47,121.45
Monthly,Clothing and footwear,"Index, 2015=100",Türkiye,316.86 d,317.51 d,325.88 d,340.76 d,373.43 d,371.29 d,361.72 d,363.01 d,376.16 d,429.69 d,428.55 d,425.71 d
Monthly,Clothing and footwear,"Index, 2015=100",United States,103.05 d,107.32 d,108.40 d,108.34 d,107.47 d,106.06 d,104.16 d,106.39 d,109.32 d,107.60 d,104.63 d,102.72 d
Monthly,Clothing and footwear,"Index, 2015=100",Kosovo*,107.80 d,107.04 d,108.63 d,108.54 d,108.74 d,108.79 d,109.02 d,109.08 d,109.35 d,109.58 d,109.68 d,109.85 d
Monthly,Clothing and footwear,Percentage change m/m-1,Albania,-0.1 d,0.0 d,0.0 d,0.1 d,0.3 d,0.3 d,0.3 d,0.6 d,0.5 d,0.6 d,0.3 d,0.3 d
Monthly,Clothing and footwear,Percentage change m/m-1,Austria,-10.0,-1.7,9.2,0.9,-0.2,-1.5,-10.5,-3.1,14.5,3.2,0.4,-0.6
Monthly,Clothing and footwear,Percentage change m/m-1,Belgium,-13.4,15.0,1.4,-0.9,0.8,0.3,-27.1,37.6,0.3,0.7,3.4,-2.5
Monthly,Clothing and footwear,Percentage change m/m-1,Bulgaria,-3.8,-2.5,-0.7,6.7,0.7,-1.2,-3.0,-3.1,1.2,7.9,-1.3,-1.1
Monthly,Clothing and footwear,Percentage change m/m-1,Switzerland,-7.8,3.8,3.2,1.0,0.4,-2.6,-6.3,2.4,3.9,2.0,-0.2,-0.4
Monthly,Clothing and footwear,Percentage change m/m-1,Cyprus,-13.7,3.4,6.3,4.4,0.5,-0.2,-11.4,-0.7,5.9,3.1,1.9,0.2
Monthly,Clothing and footwear,Percentage change m/m-1,Czechia,-0.9,-0.4,0.8,-0.3,0.0,-0.5,-1.1,0.1,0.5,0.9,0.5,-0.4
Monthly,Clothing and footwear,Percentage change m/m-1,Germany,-5.2,2.7,3.2,1.2,0.1,-0.8,-4.1,0.4,3.9,1.5,0.7,-0.5
Monthly,Clothing and footwear,Percentage change m/m-1,Denmark,-5.6,0.9,5.3,1.0,0.2,-3.7,-4.3,0.4,7.0,1.3,-1.1,-0.2
Monthly,Clothing and footwear,Percentage change m/m-1,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",-11.9,1.4,9.9,2.2,0.2,-0.6,-11.9,0.8,11.4,2.5,0.3,-0.9
Monthly,Clothing and footwear,Percentage change m/m-1,Euro area - 19 countries  (2015-2022),-11.9,1.4,9.9,2.2,0.2,-0.6,-11.9,0.9,11.4,2.4,0.3,-0.9
Monthly,Clothing and footwear,Percentage change m/m-1,Euro area – 20 countries (from 2023),-11.9,1.4,9.9,2.3,0.2,-0.6,-11.9,0.8,11.4,2.5,0.3,-0.9
Monthly,Clothing and footwear,Percentage change m/m-1,Estonia,-4.9,1.6,3.6,0.8,-0.2,-1.7,-7.2,3.2,5.4,1.8,-0.3,-0.5
Monthly,Clothing and footwear,Percentage change m/m-1,Greece,-22.2,-6.4,34.8,3.5,1.0,1.6,-23.8,-4.6,37.8,1.1,0.2,0.4
Monthly,Clothing and footwear,Percentage change m/m-1,Spain,-15.2,-2.8,18.6,3.0,0.3,-1.5,-16.5,-1.8,19.4,2.9,0.0,-1.3
Monthly,Clothing and footwear,Percentage change m/m-1,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",-10.2,1.1,8.3,2.2,0.2,-0.8,-10.1,0.6,9.4,2.5,0.3,-0.8
Monthly,Clothing and footwear,Percentage change m/m-1,European Union - 27 countries (from 2020),-10.2,1.1,8.3,2.2,0.2,-0.8,-10.1,0.6,9.4,2.4,0.3,-0.8
Monthly,Clothing and footwear,Percentage change m/m-1,Finland,-1.7,2.6,0.8,-1.3,1.0,-1.4,0.3,0.4,1.4,1.5,-0.7,-1.8
Monthly,Clothing and footwear,Percentage change m/m-1,France,-8.9,1.5,6.7,1.2,0.4,0.4,-10.4,6.0,3.9,1.0,0.2,-0.7
Monthly,Clothing and footwear,Percentage change m/m-1,Croatia,-13.9,-0.5,9.5,5.8,0.2,-0.6,-13.7,-4.4,13.5,11.2,1.7,-4.2
Monthly,Clothing and footwear,Percentage change m/m-1,Hungary,-2.0,-0.8,0.7,2.9,-0.1,0.3,-1.2,-1.3,0.6,3.0,0.9,0.1
Monthly,Clothing and footwear,Percentage change m/m-1,Ireland,-10.1,3.5,-1.9,0.6,1.1,-0.2,-6.1,2.8,1.9,0.0,0.5,0.5
Monthly,Clothing and footwear,Percentage change m/m-1,Iceland,-9.6,8.8,2.1,-0.4,0.7,-1.0,-6.6,1.9,5.2,0.8,-0.3,0.6
Monthly,Clothing and footwear,Percentage change m/m-1,Italy,-19.3,-1.4,19.4,5.4,-0.1,0.0,-18.1,-5.2,24.5,4.0,-0.1,0.2
Monthly,Clothing and footwear,Percentage change m/m-1,Lithuania,-7.9,-1.4,5.6,3.5,1.5,-1.8,-7.4,-2.3,8.1,5.1,-1.2,-2.4
Monthly,Clothing and footwear,Percentage change m/m-1,Luxembourg,-13.0,14.9,0.4,-0.2,0.1,0.0,-13.9,16.2,0.0,0.1,0.7,0.0
