Time frequency,Statistical information,Level of activity limitation,Risk of poverty threshold,Unit of measure,Geopolitical entity (reporting)\Time,2023.0
Annual,Average,None,Above 60%,Rating (0-10),Austria,7.8
Annual,Average,None,Above 60%,Rating (0-10),Belgium,7.8
Annual,Average,None,Above 60%,Rating (0-10),Bulgaria,6.3
Annual,Average,None,Above 60%,Rating (0-10),Switzerland,7.9
Annual,Average,None,Above 60%,Rating (0-10),Cyprus,8.0
Annual,Average,None,Above 60%,Rating (0-10),Czechia,7.8
Annual,Average,None,Above 60%,Rating (0-10),Germany,7.4 u
Annual,Average,None,Above 60%,Rating (0-10),Denmark,7.9
Annual,Average,None,Above 60%,Rating (0-10),Euro area – 20 countries (from 2023),7.4
Annual,Average,None,Above 60%,Rating (0-10),Estonia,7.8
Annual,Average,None,Above 60%,Rating (0-10),Greece,7.1
Annual,Average,None,Above 60%,Rating (0-10),Spain,7.4
Annual,Average,None,Above 60%,Rating (0-10),European Union - 27 countries (from 2020),7.5
Annual,Average,None,Above 60%,Rating (0-10),Finland,8.0
Annual,Average,None,Above 60%,Rating (0-10),France,7.3
Annual,Average,None,Above 60%,Rating (0-10),Croatia,7.5
Annual,Average,None,Above 60%,Rating (0-10),Hungary,7.8
Annual,Average,None,Above 60%,Rating (0-10),Ireland,7.6
Annual,Average,None,Above 60%,Rating (0-10),Italy,7.4
Annual,Average,None,Above 60%,Rating (0-10),Lithuania,8.0
Annual,Average,None,Above 60%,Rating (0-10),Luxembourg,7.3
Annual,Average,None,Above 60%,Rating (0-10),Latvia,7.8
Annual,Average,None,Above 60%,Rating (0-10),Malta,7.8
Annual,Average,None,Above 60%,Rating (0-10),Netherlands,7.7
Annual,Average,None,Above 60%,Rating (0-10),Norway,8.1
Annual,Average,None,Above 60%,Rating (0-10),Poland,7.4
Annual,Average,None,Above 60%,Rating (0-10),Portugal,7.4
Annual,Average,None,Above 60%,Rating (0-10),Romania,8.1
Annual,Average,None,Above 60%,Rating (0-10),Sweden,7.7
Annual,Average,None,Above 60%,Rating (0-10),Slovenia,7.9
Annual,Average,None,Above 60%,Rating (0-10),Slovakia,7.7
Annual,Average,None,Above 60%,Rating (0-10),Türkiye,6.1
Annual,Average,None,Below 60%,Rating (0-10),Austria,7.8
Annual,Average,None,Below 60%,Rating (0-10),Belgium,7.7
Annual,Average,None,Below 60%,Rating (0-10),Bulgaria,5.3
Annual,Average,None,Below 60%,Rating (0-10),Switzerland,8.1
Annual,Average,None,Below 60%,Rating (0-10),Cyprus,7.8
Annual,Average,None,Below 60%,Rating (0-10),Czechia,7.5
Annual,Average,None,Below 60%,Rating (0-10),Germany,7.4 u
Annual,Average,None,Below 60%,Rating (0-10),Denmark,7.0
Annual,Average,None,Below 60%,Rating (0-10),Euro area – 20 countries (from 2023),7.1
Annual,Average,None,Below 60%,Rating (0-10),Estonia,7.7
Annual,Average,None,Below 60%,Rating (0-10),Greece,4.9
Annual,Average,None,Below 60%,Rating (0-10),Spain,7.4
Annual,Average,None,Below 60%,Rating (0-10),European Union - 27 countries (from 2020),7.1
Annual,Average,None,Below 60%,Rating (0-10),Finland,7.9
Annual,Average,None,Below 60%,Rating (0-10),France,7.2
Annual,Average,None,Below 60%,Rating (0-10),Croatia,7.1
Annual,Average,None,Below 60%,Rating (0-10),Hungary,7.4
Annual,Average,None,Below 60%,Rating (0-10),Ireland,7.8
Annual,Average,None,Below 60%,Rating (0-10),Italy,6.7
Annual,Average,None,Below 60%,Rating (0-10),Lithuania,7.6
Annual,Average,None,Below 60%,Rating (0-10),Luxembourg,6.8
Annual,Average,None,Below 60%,Rating (0-10),Latvia,7.8
Annual,Average,None,Below 60%,Rating (0-10),Malta,7.9
Annual,Average,None,Below 60%,Rating (0-10),Netherlands,7.7
Annual,Average,None,Below 60%,Rating (0-10),Norway,7.7
Annual,Average,None,Below 60%,Rating (0-10),Poland,7.2
Annual,Average,None,Below 60%,Rating (0-10),Portugal,7.4
Annual,Average,None,Below 60%,Rating (0-10),Romania,7.3
Annual,Average,None,Below 60%,Rating (0-10),Sweden,7.5
Annual,Average,None,Below 60%,Rating (0-10),Slovenia,7.6
Annual,Average,None,Below 60%,Rating (0-10),Slovakia,7.7
Annual,Average,None,Below 60%,Rating (0-10),Türkiye,5.2
Annual,Average,None,Total,Rating (0-10),Austria,7.8
Annual,Average,None,Total,Rating (0-10),Belgium,7.8
Annual,Average,None,Total,Rating (0-10),Bulgaria,6.2
Annual,Average,None,Total,Rating (0-10),Switzerland,7.9
Annual,Average,None,Total,Rating (0-10),Cyprus,8.0
Annual,Average,None,Total,Rating (0-10),Czechia,7.8
Annual,Average,None,Total,Rating (0-10),Germany,7.4 u
Annual,Average,None,Total,Rating (0-10),Denmark,7.9
Annual,Average,None,Total,Rating (0-10),Euro area – 20 countries (from 2023),7.4
Annual,Average,None,Total,Rating (0-10),Estonia,7.8
Annual,Average,None,Total,Rating (0-10),Greece,6.8
Annual,Average,None,Total,Rating (0-10),Spain,7.4
Annual,Average,None,Total,Rating (0-10),European Union - 27 countries (from 2020),7.5
Annual,Average,None,Total,Rating (0-10),Finland,8.0
Annual,Average,None,Total,Rating (0-10),France,7.3
Annual,Average,None,Total,Rating (0-10),Croatia,7.5
Annual,Average,None,Total,Rating (0-10),Hungary,7.8
Annual,Average,None,Total,Rating (0-10),Ireland,7.6
Annual,Average,None,Total,Rating (0-10),Italy,7.3
Annual,Average,None,Total,Rating (0-10),Lithuania,7.9
Annual,Average,None,Total,Rating (0-10),Luxembourg,7.2
Annual,Average,None,Total,Rating (0-10),Latvia,7.8
Annual,Average,None,Total,Rating (0-10),Malta,7.8
Annual,Average,None,Total,Rating (0-10),Netherlands,7.7
Annual,Average,None,Total,Rating (0-10),Norway,8.0
Annual,Average,None,Total,Rating (0-10),Poland,7.4
Annual,Average,None,Total,Rating (0-10),Portugal,7.4
Annual,Average,None,Total,Rating (0-10),Romania,8.0
Annual,Average,None,Total,Rating (0-10),Sweden,7.7
Annual,Average,None,Total,Rating (0-10),Slovenia,7.9
Annual,Average,None,Total,Rating (0-10),Slovakia,7.7
Annual,Average,None,Total,Rating (0-10),Türkiye,6.0
Annual,Average,Severe,Above 60%,Rating (0-10),Austria,6.8
Annual,Average,Severe,Above 60%,Rating (0-10),Belgium,7.2
Annual,Average,Severe,Above 60%,Rating (0-10),Bulgaria,: u
Annual,Average,Severe,Above 60%,Rating (0-10),Switzerland,7.3
Annual,Average,Severe,Above 60%,Rating (0-10),Cyprus,7.7
Annual,Average,Severe,Above 60%,Rating (0-10),Czechia,6.4
Annual,Average,Severe,Above 60%,Rating (0-10),Germany,5.2 u
Annual,Average,Severe,Above 60%,Rating (0-10),Denmark,6.3
Annual,Average,Severe,Above 60%,Rating (0-10),Euro area – 20 countries (from 2023),6.3
Annual,Average,Severe,Above 60%,Rating (0-10),Estonia,7.1
Annual,Average,Severe,Above 60%,Rating (0-10),Greece,6.7
Annual,Average,Severe,Above 60%,Rating (0-10),Spain,6.4
Annual,Average,Severe,Above 60%,Rating (0-10),European Union - 27 countries (from 2020),6.4 e
Annual,Average,Severe,Above 60%,Rating (0-10),Finland,7.7
Annual,Average,Severe,Above 60%,Rating (0-10),France,6.2
Annual,Average,Severe,Above 60%,Rating (0-10),Croatia,5.8
Annual,Average,Severe,Above 60%,Rating (0-10),Hungary,6.7
Annual,Average,Severe,Above 60%,Rating (0-10),Ireland,7.6 u
Annual,Average,Severe,Above 60%,Rating (0-10),Italy,6.8
Annual,Average,Severe,Above 60%,Rating (0-10),Lithuania,7.4 u
Annual,Average,Severe,Above 60%,Rating (0-10),Luxembourg,6.3 u
Annual,Average,Severe,Above 60%,Rating (0-10),Latvia,7.2
Annual,Average,Severe,Above 60%,Rating (0-10),Malta,7.3 u
Annual,Average,Severe,Above 60%,Rating (0-10),Netherlands,6.8
Annual,Average,Severe,Above 60%,Rating (0-10),Norway,7.4
Annual,Average,Severe,Above 60%,Rating (0-10),Poland,7.1
Annual,Average,Severe,Above 60%,Rating (0-10),Portugal,6.7
Annual,Average,Severe,Above 60%,Rating (0-10),Romania,: u
Annual,Average,Severe,Above 60%,Rating (0-10),Sweden,6.8
Annual,Average,Severe,Above 60%,Rating (0-10),Slovenia,7.3
Annual,Average,Severe,Above 60%,Rating (0-10),Slovakia,7.2
Annual,Average,Severe,Above 60%,Rating (0-10),Türkiye,5.6
Annual,Average,Severe,Below 60%,Rating (0-10),Austria,: u
Annual,Average,Severe,Below 60%,Rating (0-10),Belgium,: u
Annual,Average,Severe,Below 60%,Rating (0-10),Bulgaria,: u
Annual,Average,Severe,Below 60%,Rating (0-10),Switzerland,7.7 u
Annual,Average,Severe,Below 60%,Rating (0-10),Cyprus,: u
Annual,Average,Severe,Below 60%,Rating (0-10),Czechia,: u
Annual,Average,Severe,Below 60%,Rating (0-10),Germany,5.3 u
Annual,Average,Severe,Below 60%,Rating (0-10),Denmark,: u
Annual,Average,Severe,Below 60%,Rating (0-10),Euro area – 20 countries (from 2023),: u
Annual,Average,Severe,Below 60%,Rating (0-10),Estonia,5.5 u
Annual,Average,Severe,Below 60%,Rating (0-10),Greece,4.0 u
Annual,Average,Severe,Below 60%,Rating (0-10),Spain,6.9
Annual,Average,Severe,Below 60%,Rating (0-10),European Union - 27 countries (from 2020),: u
Annual,Average,Severe,Below 60%,Rating (0-10),Finland,: u
Annual,Average,Severe,Below 60%,Rating (0-10),France,5.4
Annual,Average,Severe,Below 60%,Rating (0-10),Croatia,: u
Annual,Average,Severe,Below 60%,Rating (0-10),Hungary,: u
Annual,Average,Severe,Below 60%,Rating (0-10),Ireland,: m
Annual,Average,Severe,Below 60%,Rating (0-10),Italy,6.3 u
Annual,Average,Severe,Below 60%,Rating (0-10),Lithuania,: u
Annual,Average,Severe,Below 60%,Rating (0-10),Luxembourg,: u
Annual,Average,Severe,Below 60%,Rating (0-10),Latvia,: u
Annual,Average,Severe,Below 60%,Rating (0-10),Malta,: u
Annual,Average,Severe,Below 60%,Rating (0-10),Netherlands,: u
Annual,Average,Severe,Below 60%,Rating (0-10),Norway,: u
Annual,Average,Severe,Below 60%,Rating (0-10),Poland,: u
Annual,Average,Severe,Below 60%,Rating (0-10),Portugal,6.9 u
Annual,Average,Severe,Below 60%,Rating (0-10),Romania,: u
Annual,Average,Severe,Below 60%,Rating (0-10),Sweden,: u
Annual,Average,Severe,Below 60%,Rating (0-10),Slovenia,: u
Annual,Average,Severe,Below 60%,Rating (0-10),Slovakia,: u
Annual,Average,Severe,Below 60%,Rating (0-10),Türkiye,5.0
Annual,Average,Severe,Total,Rating (0-10),Austria,6.8
Annual,Average,Severe,Total,Rating (0-10),Belgium,7.2
Annual,Average,Severe,Total,Rating (0-10),Bulgaria,: u
Annual,Average,Severe,Total,Rating (0-10),Switzerland,7.3
Annual,Average,Severe,Total,Rating (0-10),Cyprus,7.6
Annual,Average,Severe,Total,Rating (0-10),Czechia,6.5
Annual,Average,Severe,Total,Rating (0-10),Germany,5.2 u
Annual,Average,Severe,Total,Rating (0-10),Denmark,6.3
Annual,Average,Severe,Total,Rating (0-10),Euro area – 20 countries (from 2023),6.3
Annual,Average,Severe,Total,Rating (0-10),Estonia,6.9
Annual,Average,Severe,Total,Rating (0-10),Greece,6.3
Annual,Average,Severe,Total,Rating (0-10),Spain,6.5
Annual,Average,Severe,Total,Rating (0-10),European Union - 27 countries (from 2020),6.3 e
Annual,Average,Severe,Total,Rating (0-10),Finland,7.6
Annual,Average,Severe,Total,Rating (0-10),France,6.1
Annual,Average,Severe,Total,Rating (0-10),Croatia,5.9
Annual,Average,Severe,Total,Rating (0-10),Hungary,6.5
Annual,Average,Severe,Total,Rating (0-10),Ireland,7.6 u
