Time frequency,Country/region of birth,Unit of measure,Sex,Geopolitical entity (reporting)\Time,2021.0,2022.0,2023.0
Annual,Non-EU27 countries (from 2020) nor reporting country,Year,Females,Switzerland,:,42.9,:
Annual,Non-EU27 countries (from 2020) nor reporting country,Year,Females,Cyprus,:,33.9,:
Annual,Non-EU27 countries (from 2020) nor reporting country,Year,Females,Czechia,:,37.1 b,:
Annual,Non-EU27 countries (from 2020) nor reporting country,Year,Females,Germany,:,42.7 e,:
Annual,Non-EU27 countries (from 2020) nor reporting country,Year,Females,Denmark,:,41.0,:
Annual,Non-EU27 countries (from 2020) nor reporting country,Year,Females,Estonia,:,66.1,:
Annual,Non-EU27 countries (from 2020) nor reporting country,Year,Females,Greece,:,47.1,:
Annual,Non-EU27 countries (from 2020) nor reporting country,Year,Females,Spain,:,41.2,:
Annual,Non-EU27 countries (from 2020) nor reporting country,Year,Females,European Union - 27 countries (from 2020),:,43.3 bep,:
Annual,Non-EU27 countries (from 2020) nor reporting country,Year,Females,Finland,:,37.6,:
Annual,Non-EU27 countries (from 2020) nor reporting country,Year,Females,France,46.2,45.6 p,:
Annual,Non-EU27 countries (from 2020) nor reporting country,Year,Females,Croatia,:,59.6 b,:
Annual,Non-EU27 countries (from 2020) nor reporting country,Year,Females,Hungary,:,37.6,:
Annual,Non-EU27 countries (from 2020) nor reporting country,Year,Females,Ireland,:,39.3,:
Annual,Non-EU27 countries (from 2020) nor reporting country,Year,Females,Iceland,:,36.2,:
Annual,Non-EU27 countries (from 2020) nor reporting country,Year,Females,Italy,:,44.1,:
Annual,Non-EU27 countries (from 2020) nor reporting country,Year,Females,Liechtenstein,:,41.4,:
Annual,Non-EU27 countries (from 2020) nor reporting country,Year,Females,Lithuania,:,62.9,:
Annual,Non-EU27 countries (from 2020) nor reporting country,Year,Females,Luxembourg,:,38.7,:
Annual,Non-EU27 countries (from 2020) nor reporting country,Year,Females,Latvia,:,67.8,:
Annual,Non-EU27 countries (from 2020) nor reporting country,Year,Females,Malta,:,38.2 p,:
Annual,Non-EU27 countries (from 2020) nor reporting country,Year,Females,Netherlands,:,44.8,:
Annual,Non-EU27 countries (from 2020) nor reporting country,Year,Females,Norway,:,39.1,:
Annual,Non-EU27 countries (from 2020) nor reporting country,Year,Females,Poland,:,39.9 ep,40.5 ep
Annual,Non-EU27 countries (from 2020) nor reporting country,Year,Females,Portugal,:,44.9 bp,:
Annual,Non-EU27 countries (from 2020) nor reporting country,Year,Females,Romania,:,28.3 e,:
Annual,Non-EU27 countries (from 2020) nor reporting country,Year,Females,Sweden,:,39.3,:
Annual,Non-EU27 countries (from 2020) nor reporting country,Year,Females,Slovenia,:,46.1,:
Annual,Non-EU27 countries (from 2020) nor reporting country,Year,Females,Slovakia,:,31.5,:
Annual,Non-EU27 countries (from 2020) nor reporting country,Year,Males,Austria,:,41.3,:
Annual,Non-EU27 countries (from 2020) nor reporting country,Year,Males,Belgium,:,41.8,:
Annual,Non-EU27 countries (from 2020) nor reporting country,Year,Males,Bulgaria,:,35.6,:
Annual,Non-EU27 countries (from 2020) nor reporting country,Year,Males,Switzerland,:,41.8,:
Annual,Non-EU27 countries (from 2020) nor reporting country,Year,Males,Cyprus,:,34.0,:
Annual,Non-EU27 countries (from 2020) nor reporting country,Year,Males,Czechia,:,37.7 b,:
Annual,Non-EU27 countries (from 2020) nor reporting country,Year,Males,Germany,:,40.5 e,:
Annual,Non-EU27 countries (from 2020) nor reporting country,Year,Males,Denmark,:,40.0,:
Annual,Non-EU27 countries (from 2020) nor reporting country,Year,Males,Estonia,:,57.9,:
Annual,Non-EU27 countries (from 2020) nor reporting country,Year,Males,Greece,:,44.6,:
Annual,Non-EU27 countries (from 2020) nor reporting country,Year,Males,Spain,:,39.6,:
Annual,Non-EU27 countries (from 2020) nor reporting country,Year,Males,European Union - 27 countries (from 2020),:,41.5 bep,:
Annual,Non-EU27 countries (from 2020) nor reporting country,Year,Males,Finland,:,36.1,:
Annual,Non-EU27 countries (from 2020) nor reporting country,Year,Males,France,46.5,45.9 p,:
Annual,Non-EU27 countries (from 2020) nor reporting country,Year,Males,Croatia,:,57.4 b,:
Annual,Non-EU27 countries (from 2020) nor reporting country,Year,Males,Hungary,:,36.0,:
Annual,Non-EU27 countries (from 2020) nor reporting country,Year,Males,Ireland,:,39.2,:
Annual,Non-EU27 countries (from 2020) nor reporting country,Year,Males,Iceland,:,34.3,:
Annual,Non-EU27 countries (from 2020) nor reporting country,Year,Males,Italy,:,40.7,:
Annual,Non-EU27 countries (from 2020) nor reporting country,Year,Males,Liechtenstein,:,40.8,:
Annual,Non-EU27 countries (from 2020) nor reporting country,Year,Males,Lithuania,:,55.5,:
Annual,Non-EU27 countries (from 2020) nor reporting country,Year,Males,Luxembourg,:,38.4,:
Annual,Non-EU27 countries (from 2020) nor reporting country,Year,Males,Latvia,:,62.0,:
Annual,Non-EU27 countries (from 2020) nor reporting country,Year,Males,Malta,:,36.7 p,:
Annual,Non-EU27 countries (from 2020) nor reporting country,Year,Males,Netherlands,:,44.1,:
Annual,Non-EU27 countries (from 2020) nor reporting country,Year,Males,Norway,:,38.1,:
Annual,Non-EU27 countries (from 2020) nor reporting country,Year,Males,Poland,:,34.2 ep,34.5 ep
Annual,Non-EU27 countries (from 2020) nor reporting country,Year,Males,Portugal,:,41.2 bp,:
Annual,Non-EU27 countries (from 2020) nor reporting country,Year,Males,Romania,:,27.8 e,:
Annual,Non-EU27 countries (from 2020) nor reporting country,Year,Males,Sweden,:,37.9,:
Annual,Non-EU27 countries (from 2020) nor reporting country,Year,Males,Slovenia,:,43.9,:
Annual,Non-EU27 countries (from 2020) nor reporting country,Year,Males,Slovakia,:,33.3,:
Annual,Non-EU27 countries (from 2020) nor reporting country,Year,Total,Austria,:,42.2,:
Annual,Non-EU27 countries (from 2020) nor reporting country,Year,Total,Belgium,:,41.7,:
Annual,Non-EU27 countries (from 2020) nor reporting country,Year,Total,Bulgaria,:,38.0,:
Annual,Non-EU27 countries (from 2020) nor reporting country,Year,Total,Switzerland,:,42.4,:
Annual,Non-EU27 countries (from 2020) nor reporting country,Year,Total,Cyprus,:,33.9,:
Annual,Non-EU27 countries (from 2020) nor reporting country,Year,Total,Czechia,:,37.5 b,:
Annual,Non-EU27 countries (from 2020) nor reporting country,Year,Total,Germany,:,41.7 e,:
Annual,Non-EU27 countries (from 2020) nor reporting country,Year,Total,Denmark,:,40.5,:
Annual,Non-EU27 countries (from 2020) nor reporting country,Year,Total,Estonia,:,62.9,:
Annual,Non-EU27 countries (from 2020) nor reporting country,Year,Total,Greece,:,45.8,:
Annual,Non-EU27 countries (from 2020) nor reporting country,Year,Total,Spain,:,40.5,:
Annual,Non-EU27 countries (from 2020) nor reporting country,Year,Total,European Union - 27 countries (from 2020),:,42.4 bep,:
Annual,Non-EU27 countries (from 2020) nor reporting country,Year,Total,Finland,:,36.8,:
Annual,Non-EU27 countries (from 2020) nor reporting country,Year,Total,France,46.3,45.8 p,:
Annual,Non-EU27 countries (from 2020) nor reporting country,Year,Total,Croatia,:,58.6 b,:
Annual,Non-EU27 countries (from 2020) nor reporting country,Year,Total,Hungary,:,36.7,:
Annual,Non-EU27 countries (from 2020) nor reporting country,Year,Total,Ireland,:,39.3,:
Annual,Non-EU27 countries (from 2020) nor reporting country,Year,Total,Iceland,:,35.2,:
Annual,Non-EU27 countries (from 2020) nor reporting country,Year,Total,Italy,:,42.4,:
Annual,Non-EU27 countries (from 2020) nor reporting country,Year,Total,Liechtenstein,:,41.1,:
Annual,Non-EU27 countries (from 2020) nor reporting country,Year,Total,Lithuania,:,60.2,:
Annual,Non-EU27 countries (from 2020) nor reporting country,Year,Total,Luxembourg,:,38.6,:
Annual,Non-EU27 countries (from 2020) nor reporting country,Year,Total,Latvia,:,65.5,:
Annual,Non-EU27 countries (from 2020) nor reporting country,Year,Total,Malta,:,37.3 p,:
Annual,Non-EU27 countries (from 2020) nor reporting country,Year,Total,Netherlands,:,44.5,:
Annual,Non-EU27 countries (from 2020) nor reporting country,Year,Total,Norway,:,38.6,:
Annual,Non-EU27 countries (from 2020) nor reporting country,Year,Total,Poland,:,36.7 ep,37.2 ep
Annual,Non-EU27 countries (from 2020) nor reporting country,Year,Total,Portugal,:,43.2 bp,:
Annual,Non-EU27 countries (from 2020) nor reporting country,Year,Total,Romania,:,28.1 e,:
Annual,Non-EU27 countries (from 2020) nor reporting country,Year,Total,Sweden,:,38.6,:
Annual,Non-EU27 countries (from 2020) nor reporting country,Year,Total,Slovenia,:,44.6,:
Annual,Non-EU27 countries (from 2020) nor reporting country,Year,Total,Slovakia,:,32.5,:
Annual,Non-EU27 countries (from 2020) nor EFTA countries,Year,Females,Austria,:,43.0,:
Annual,Non-EU27 countries (from 2020) nor EFTA countries,Year,Females,Belgium,:,41.6,:
Annual,Non-EU27 countries (from 2020) nor EFTA countries,Year,Females,Bulgaria,:,40.9,:
Annual,Non-EU27 countries (from 2020) nor EFTA countries,Year,Females,Switzerland,:,42.9,:
Annual,Non-EU27 countries (from 2020) nor EFTA countries,Year,Females,Cyprus,:,33.9,:
Annual,Non-EU27 countries (from 2020) nor EFTA countries,Year,Females,Czechia,:,37.1 b,:
Annual,Non-EU27 countries (from 2020) nor EFTA countries,Year,Females,Germany,:,42.7 e,:
Annual,Non-EU27 countries (from 2020) nor EFTA countries,Year,Females,Denmark,:,41.1,:
Annual,Non-EU27 countries (from 2020) nor EFTA countries,Year,Females,Estonia,:,66.1,:
Annual,Non-EU27 countries (from 2020) nor EFTA countries,Year,Females,Greece,:,47.0,:
Annual,Non-EU27 countries (from 2020) nor EFTA countries,Year,Females,Spain,:,41.1,:
Annual,Non-EU27 countries (from 2020) nor EFTA countries,Year,Females,European Union - 27 countries (from 2020),:,43.2 bep,:
Annual,Non-EU27 countries (from 2020) nor EFTA countries,Year,Females,Finland,:,37.7,:
Annual,Non-EU27 countries (from 2020) nor EFTA countries,Year,Females,France,46.2,45.6 p,:
Annual,Non-EU27 countries (from 2020) nor EFTA countries,Year,Females,Croatia,:,59.7 b,:
Annual,Non-EU27 countries (from 2020) nor EFTA countries,Year,Females,Hungary,:,38.0,:
Annual,Non-EU27 countries (from 2020) nor EFTA countries,Year,Females,Ireland,:,39.3,:
Annual,Non-EU27 countries (from 2020) nor EFTA countries,Year,Females,Iceland,:,36.7,:
Annual,Non-EU27 countries (from 2020) nor EFTA countries,Year,Females,Italy,:,43.5,:
Annual,Non-EU27 countries (from 2020) nor EFTA countries,Year,Females,Liechtenstein,:,43.8,:
Annual,Non-EU27 countries (from 2020) nor EFTA countries,Year,Females,Lithuania,:,63.2,:
Annual,Non-EU27 countries (from 2020) nor EFTA countries,Year,Females,Luxembourg,:,38.7,:
Annual,Non-EU27 countries (from 2020) nor EFTA countries,Year,Females,Latvia,:,67.8,:
Annual,Non-EU27 countries (from 2020) nor EFTA countries,Year,Females,Malta,:,38.2 p,:
Annual,Non-EU27 countries (from 2020) nor EFTA countries,Year,Females,Netherlands,:,44.9,:
Annual,Non-EU27 countries (from 2020) nor EFTA countries,Year,Females,Norway,:,39.1,:
Annual,Non-EU27 countries (from 2020) nor EFTA countries,Year,Females,Poland,:,40.3 ep,40.9 ep
Annual,Non-EU27 countries (from 2020) nor EFTA countries,Year,Females,Portugal,:,45.3 bp,:
Annual,Non-EU27 countries (from 2020) nor EFTA countries,Year,Females,Romania,:,28.6 e,:
Annual,Non-EU27 countries (from 2020) nor EFTA countries,Year,Females,Sweden,:,39.1,:
Annual,Non-EU27 countries (from 2020) nor EFTA countries,Year,Females,Slovenia,:,46.1,:
Annual,Non-EU27 countries (from 2020) nor EFTA countries,Year,Females,Slovakia,:,33.0,:
Annual,Non-EU27 countries (from 2020) nor EFTA countries,Year,Males,Austria,:,41.2,:
Annual,Non-EU27 countries (from 2020) nor EFTA countries,Year,Males,Belgium,:,41.8,:
Annual,Non-EU27 countries (from 2020) nor EFTA countries,Year,Males,Bulgaria,:,35.7,:
Annual,Non-EU27 countries (from 2020) nor EFTA countries,Year,Males,Switzerland,:,41.8,:
Annual,Non-EU27 countries (from 2020) nor EFTA countries,Year,Males,Cyprus,:,34.0,:
Annual,Non-EU27 countries (from 2020) nor EFTA countries,Year,Males,Czechia,:,37.7 b,:
Annual,Non-EU27 countries (from 2020) nor EFTA countries,Year,Males,Germany,:,40.5 e,:
Annual,Non-EU27 countries (from 2020) nor EFTA countries,Year,Males,Denmark,:,40.0,:
Annual,Non-EU27 countries (from 2020) nor EFTA countries,Year,Males,Estonia,:,58.1,:
Annual,Non-EU27 countries (from 2020) nor EFTA countries,Year,Males,Greece,:,44.6,:
Annual,Non-EU27 countries (from 2020) nor EFTA countries,Year,Males,Spain,:,39.5,:
Annual,Non-EU27 countries (from 2020) nor EFTA countries,Year,Males,European Union - 27 countries (from 2020),:,41.4 bep,:
Annual,Non-EU27 countries (from 2020) nor EFTA countries,Year,Males,Finland,:,36.1,:
Annual,Non-EU27 countries (from 2020) nor EFTA countries,Year,Males,France,46.6,45.9 p,:
Annual,Non-EU27 countries (from 2020) nor EFTA countries,Year,Males,Croatia,:,57.6 b,:
Annual,Non-EU27 countries (from 2020) nor EFTA countries,Year,Males,Hungary,:,36.2,:
Annual,Non-EU27 countries (from 2020) nor EFTA countries,Year,Males,Ireland,:,39.2,:
Annual,Non-EU27 countries (from 2020) nor EFTA countries,Year,Males,Iceland,:,34.8,:
Annual,Non-EU27 countries (from 2020) nor EFTA countries,Year,Males,Italy,:,40.1,:
Annual,Non-EU27 countries (from 2020) nor EFTA countries,Year,Males,Liechtenstein,:,41.9,:
Annual,Non-EU27 countries (from 2020) nor EFTA countries,Year,Males,Lithuania,:,56.0,:
Annual,Non-EU27 countries (from 2020) nor EFTA countries,Year,Males,Luxembourg,:,38.4,:
Annual,Non-EU27 countries (from 2020) nor EFTA countries,Year,Males,Latvia,:,62.1,:
Annual,Non-EU27 countries (from 2020) nor EFTA countries,Year,Males,Malta,:,36.7 p,:
Annual,Non-EU27 countries (from 2020) nor EFTA countries,Year,Males,Netherlands,:,44.2,:
Annual,Non-EU27 countries (from 2020) nor EFTA countries,Year,Males,Norway,:,38.0,:
Annual,Non-EU27 countries (from 2020) nor EFTA countries,Year,Males,Poland,:,34.5 ep,34.8 ep
Annual,Non-EU27 countries (from 2020) nor EFTA countries,Year,Males,Portugal,:,41.8 bp,:
Annual,Non-EU27 countries (from 2020) nor EFTA countries,Year,Males,Romania,:,28.0 e,:
Annual,Non-EU27 countries (from 2020) nor EFTA countries,Year,Males,Sweden,:,37.7,:
Annual,Non-EU27 countries (from 2020) nor EFTA countries,Year,Males,Slovenia,:,43.9,:
Annual,Non-EU27 countries (from 2020) nor EFTA countries,Year,Males,Slovakia,:,34.5,:
Annual,Non-EU27 countries (from 2020) nor EFTA countries,Year,Total,Austria,:,42.1,:
Annual,Non-EU27 countries (from 2020) nor EFTA countries,Year,Total,Belgium,:,41.7,:
Annual,Non-EU27 countries (from 2020) nor EFTA countries,Year,Total,Bulgaria,:,38.2,:
Annual,Non-EU27 countries (from 2020) nor EFTA countries,Year,Total,Switzerland,:,42.4,:
Annual,Non-EU27 countries (from 2020) nor EFTA countries,Year,Total,Cyprus,:,33.9,:
Annual,Non-EU27 countries (from 2020) nor EFTA countries,Year,Total,Czechia,:,37.4 b,:
Annual,Non-EU27 countries (from 2020) nor EFTA countries,Year,Total,Germany,:,41.7 e,:
Annual,Non-EU27 countries (from 2020) nor EFTA countries,Year,Total,Denmark,:,40.6,:
Annual,Non-EU27 countries (from 2020) nor EFTA countries,Year,Total,Estonia,:,62.9,:
Annual,Non-EU27 countries (from 2020) nor EFTA countries,Year,Total,Greece,:,45.8,:
Annual,Non-EU27 countries (from 2020) nor EFTA countries,Year,Total,Spain,:,40.4,:
Annual,Non-EU27 countries (from 2020) nor EFTA countries,Year,Total,European Union - 27 countries (from 2020),:,42.3 bep,:
Annual,Non-EU27 countries (from 2020) nor EFTA countries,Year,Total,Finland,:,36.8,:
Annual,Non-EU27 countries (from 2020) nor EFTA countries,Year,Total,France,46.4,45.8 p,:
Annual,Non-EU27 countries (from 2020) nor EFTA countries,Year,Total,Croatia,:,58.7 b,:
Annual,Non-EU27 countries (from 2020) nor EFTA countries,Year,Total,Hungary,:,37.0,:
Annual,Non-EU27 countries (from 2020) nor EFTA countries,Year,Total,Ireland,:,39.3,:
Annual,Non-EU27 countries (from 2020) nor EFTA countries,Year,Total,Iceland,:,35.7,:
Annual,Non-EU27 countries (from 2020) nor EFTA countries,Year,Total,Italy,:,41.8,:
Annual,Non-EU27 countries (from 2020) nor EFTA countries,Year,Total,Liechtenstein,:,43.0,:
Annual,Non-EU27 countries (from 2020) nor EFTA countries,Year,Total,Lithuania,:,60.5,:
Annual,Non-EU27 countries (from 2020) nor EFTA countries,Year,Total,Luxembourg,:,38.5,:
Annual,Non-EU27 countries (from 2020) nor EFTA countries,Year,Total,Latvia,:,65.5,:
Annual,Non-EU27 countries (from 2020) nor EFTA countries,Year,Total,Malta,:,37.3 p,:
Annual,Non-EU27 countries (from 2020) nor EFTA countries,Year,Total,Netherlands,:,44.5,:
Annual,Non-EU27 countries (from 2020) nor EFTA countries,Year,Total,Norway,:,38.6,:
Annual,Non-EU27 countries (from 2020) nor EFTA countries,Year,Total,Poland,:,37.1 ep,37.6 ep
Annual,Non-EU27 countries (from 2020) nor EFTA countries,Year,Total,Portugal,:,43.7 bp,:
Annual,Non-EU27 countries (from 2020) nor EFTA countries,Year,Total,Romania,:,28.3 e,:
Annual,Non-EU27 countries (from 2020) nor EFTA countries,Year,Total,Sweden,:,38.4,:
Annual,Non-EU27 countries (from 2020) nor EFTA countries,Year,Total,Slovenia,:,44.6,:
Annual,Non-EU27 countries (from 2020) nor EFTA countries,Year,Total,Slovakia,:,33.9,:
