Time frequency,Country/region of birth,Unit of measure,Sex,Geopolitical entity (reporting)\Time,2021.0,2022.0,2023.0
Annual,EU27 countries (from 2020) except reporting country,Year,Females,Cyprus,:,36.9,:
Annual,EU27 countries (from 2020) except reporting country,Year,Females,Czechia,:,39.7 b,:
Annual,EU27 countries (from 2020) except reporting country,Year,Females,Germany,:,54.4 e,:
Annual,EU27 countries (from 2020) except reporting country,Year,Females,Denmark,:,36.4,:
Annual,EU27 countries (from 2020) except reporting country,Year,Females,Estonia,:,34.1,:
Annual,EU27 countries (from 2020) except reporting country,Year,Females,Greece,:,49.1,:
Annual,EU27 countries (from 2020) except reporting country,Year,Females,Spain,:,44.6,:
Annual,EU27 countries (from 2020) except reporting country,Year,Females,European Union - 27 countries (from 2020),:,48.0 bep,:
Annual,EU27 countries (from 2020) except reporting country,Year,Females,Finland,:,40.3,:
Annual,EU27 countries (from 2020) except reporting country,Year,Females,France,55.7,55.7 p,:
Annual,EU27 countries (from 2020) except reporting country,Year,Females,Croatia,:,47.3 b,:
Annual,EU27 countries (from 2020) except reporting country,Year,Females,Hungary,:,46.2,:
Annual,EU27 countries (from 2020) except reporting country,Year,Females,Ireland,:,37.2,:
Annual,EU27 countries (from 2020) except reporting country,Year,Females,Iceland,:,33.0,:
Annual,EU27 countries (from 2020) except reporting country,Year,Females,Italy,:,46.7,:
Annual,EU27 countries (from 2020) except reporting country,Year,Females,Liechtenstein,:,54.3,:
Annual,EU27 countries (from 2020) except reporting country,Year,Females,Lithuania,:,45.5,:
Annual,EU27 countries (from 2020) except reporting country,Year,Females,Luxembourg,:,45.0,:
Annual,EU27 countries (from 2020) except reporting country,Year,Females,Latvia,:,64.5,:
Annual,EU27 countries (from 2020) except reporting country,Year,Females,Malta,:,34.2 p,:
Annual,EU27 countries (from 2020) except reporting country,Year,Females,Netherlands,:,37.3,:
Annual,EU27 countries (from 2020) except reporting country,Year,Females,Norway,:,39.0,:
Annual,EU27 countries (from 2020) except reporting country,Year,Females,Poland,:,41.0 ep,46.7 ep
Annual,EU27 countries (from 2020) except reporting country,Year,Females,Portugal,:,43.6 bp,:
Annual,EU27 countries (from 2020) except reporting country,Year,Females,Romania,:,10.7 e,:
Annual,EU27 countries (from 2020) except reporting country,Year,Females,Sweden,:,53.1,:
Annual,EU27 countries (from 2020) except reporting country,Year,Females,Slovenia,:,60.9,:
Annual,EU27 countries (from 2020) except reporting country,Year,Females,Slovakia,:,56.2,:
Annual,EU27 countries (from 2020) except reporting country,Year,Males,Austria,:,41.6,:
Annual,EU27 countries (from 2020) except reporting country,Year,Males,Belgium,:,43.1,:
Annual,EU27 countries (from 2020) except reporting country,Year,Males,Bulgaria,:,10.3,:
Annual,EU27 countries (from 2020) except reporting country,Year,Males,Switzerland,:,45.9,:
Annual,EU27 countries (from 2020) except reporting country,Year,Males,Cyprus,:,35.3,:
Annual,EU27 countries (from 2020) except reporting country,Year,Males,Czechia,:,41.3 b,:
Annual,EU27 countries (from 2020) except reporting country,Year,Males,Germany,:,50.3 e,:
