Time frequency,Unit of measure,Specific physical activity,International Standard Classification of Education (ISCED 2011),Sex,Age class,Geopolitical entity (reporting)\Time,2014.0,2019.0
Annual,Percentage,Cycling to get to and from place,All ISCED 2011 levels,Total,Total,Croatia,30.2,22.0
Annual,Percentage,Cycling to get to and from place,All ISCED 2011 levels,Total,Total,Hungary,40.4,35.9
Annual,Percentage,Cycling to get to and from place,All ISCED 2011 levels,Total,Total,Ireland,13.6,12.8
Annual,Percentage,Cycling to get to and from place,All ISCED 2011 levels,Total,Total,Iceland,13.1,13.9
Annual,Percentage,Cycling to get to and from place,All ISCED 2011 levels,Total,Total,Italy,16.5,16.0
Annual,Percentage,Cycling to get to and from place,All ISCED 2011 levels,Total,Total,Lithuania,19.2,18.4
Annual,Percentage,Cycling to get to and from place,All ISCED 2011 levels,Total,Total,Luxembourg,17.4,17.2
Annual,Percentage,Cycling to get to and from place,All ISCED 2011 levels,Total,Total,Latvia,23.0,19.0
Annual,Percentage,Cycling to get to and from place,All ISCED 2011 levels,Total,Total,Malta,3.9,4.6
Annual,Percentage,Cycling to get to and from place,All ISCED 2011 levels,Total,Total,Netherlands,:,61.3
Annual,Percentage,Cycling to get to and from place,All ISCED 2011 levels,Total,Total,Norway,26.6,19.0
Annual,Percentage,Cycling to get to and from place,All ISCED 2011 levels,Total,Total,Poland,26.6,28.4
Annual,Percentage,Cycling to get to and from place,All ISCED 2011 levels,Total,Total,Portugal,5.8,6.1
Annual,Percentage,Cycling to get to and from place,All ISCED 2011 levels,Total,Total,Romania,12.8,12.3
Annual,Percentage,Cycling to get to and from place,All ISCED 2011 levels,Total,Total,Serbia,:,23.2
Annual,Percentage,Cycling to get to and from place,All ISCED 2011 levels,Total,Total,Sweden,32.7,33.8
Annual,Percentage,Cycling to get to and from place,All ISCED 2011 levels,Total,Total,Slovenia,34.2,35.5
Annual,Percentage,Cycling to get to and from place,All ISCED 2011 levels,Total,Total,Slovakia,33.3,34.1
Annual,Percentage,Cycling to get to and from place,All ISCED 2011 levels,Total,Total,Türkiye,5.3,5.4
Annual,Percentage,Cycling to get to and from place,All ISCED 2011 levels,Total,Total,United Kingdom,8.3,:
Annual,Percentage,Muscle-strengthening,All ISCED 2011 levels,Total,Total,Austria,44.3,42.7
Annual,Percentage,Muscle-strengthening,All ISCED 2011 levels,Total,Total,Belgium,:,15.9
Annual,Percentage,Muscle-strengthening,All ISCED 2011 levels,Total,Total,Bulgaria,10.5,10.1
Annual,Percentage,Muscle-strengthening,All ISCED 2011 levels,Total,Total,Cyprus,9.1,10.6
Annual,Percentage,Muscle-strengthening,All ISCED 2011 levels,Total,Total,Czechia,19.3,18.5
Annual,Percentage,Muscle-strengthening,All ISCED 2011 levels,Total,Total,Germany,44.1,47.3
