Time frequency,Unit of measure,Age class,Sex,Geopolitical entity (reporting)\Time,2005.0,2010.0,2015.0
Annual,Percentage,From 15 to 24 years,Females,Austria,9.1,9.7,17.8
Annual,Percentage,From 15 to 24 years,Females,Belgium,3.5,18.1,9.6
Annual,Percentage,From 15 to 24 years,Females,Bulgaria,10.2,0.0,8.1 u
Annual,Percentage,From 15 to 24 years,Females,Cyprus,16.0 u,0.0 u,9.5
Annual,Percentage,From 15 to 24 years,Females,Czechia,18.0,19.6 u,6.1 u
Annual,Percentage,From 15 to 24 years,Females,Germany,14.1,17.2,22.1
Annual,Percentage,From 15 to 24 years,Females,Denmark,17.2,12.2,4.9
Annual,Percentage,From 15 to 24 years,Females,Estonia,13.3 u,8.8 u,5.5
Annual,Percentage,From 15 to 24 years,Females,Greece,13.2,15.9 u,17.0 u
Annual,Percentage,From 15 to 24 years,Females,Spain,3.1,5.3,7.2
Annual,Percentage,From 15 to 24 years,Females,European Union - 27 countries (from 2020),8.3,11.6,13.0
Annual,Percentage,From 15 to 24 years,Females,European Union - 28 countries (2013-2020),9.1,10.7,13.3
Annual,Percentage,From 15 to 24 years,Females,Finland,7.6,15.3,15.6 u
Annual,Percentage,From 15 to 24 years,Females,France,2.3,13.2,18.2
Annual,Percentage,From 15 to 24 years,Females,Croatia,5.5,19.5 u,0.0 u
Annual,Percentage,From 15 to 24 years,Females,Hungary,6.8 u,7.1 u,9.7 u
Annual,Percentage,From 15 to 24 years,Females,Ireland,14.5,10.5,2.7
Annual,Percentage,From 15 to 24 years,Females,Italy,4.2,5.1,0.0 u
Annual,Percentage,From 15 to 24 years,Females,Lithuania,8.7,3.2 u,14.9
Annual,Percentage,From 15 to 24 years,Females,Luxembourg,7.3 u,6.4,24.4 u
Annual,Percentage,From 15 to 24 years,Females,Latvia,5.8,2.7 u,20.6
Annual,Percentage,From 15 to 24 years,Females,Malta,4.5,17.2,6.4
Annual,Percentage,From 15 to 24 years,Females,Netherlands,6.0 u,9.0,3.4
Annual,Percentage,From 15 to 24 years,Females,Poland,12.2,2.7,6.0
Annual,Percentage,From 15 to 24 years,Females,Portugal,0.9,1.4 u,0.0 u
Annual,Percentage,From 15 to 24 years,Females,Romania,10.2,16.5 u,9.8 u
Annual,Percentage,From 15 to 24 years,Females,Sweden,10.1 u,20.0 u,27.3
Annual,Percentage,From 15 to 24 years,Females,Slovenia,13.6 u,8.9,0.0 u
Annual,Percentage,From 15 to 24 years,Females,Slovakia,11.5,17.0 u,3.7 u
Annual,Percentage,From 15 to 24 years,Females,United Kingdom,12.7,7.0,14.4
Annual,Percentage,From 15 to 24 years,Males,Austria,7.3,7.5,25.7
Annual,Percentage,From 15 to 24 years,Males,Belgium,6.2,10.9,19.5
Annual,Percentage,From 15 to 24 years,Males,Bulgaria,1.8,17.1 u,5.0
Annual,Percentage,From 15 to 24 years,Males,Cyprus,24.2 u,16.3 u,12.8
Annual,Percentage,From 15 to 24 years,Males,Czechia,20.0,5.6 u,5.6 u
Annual,Percentage,From 15 to 24 years,Males,Germany,7.2,14.1,13.9
Annual,Percentage,From 15 to 24 years,Males,Denmark,3.8,3.2,7.6
Annual,Percentage,From 15 to 24 years,Males,Estonia,1.4,7.0 u,12.6 u
Annual,Percentage,From 15 to 24 years,Males,Greece,17.0,10.0,8.8 u
Annual,Percentage,From 15 to 24 years,Males,Spain,2.8,3.3,4.1
Annual,Percentage,From 15 to 24 years,Males,European Union - 27 countries (from 2020),6.8,10.6,11.3
Annual,Percentage,From 15 to 24 years,Males,European Union - 28 countries (2013-2020),6.0,10.9,9.7
Annual,Percentage,From 15 to 24 years,Males,Finland,7.6,6.8,11.0 u
Annual,Percentage,From 15 to 24 years,Males,France,9.1,13.7,18.8
Annual,Percentage,From 15 to 24 years,Males,Croatia,1.3,14.1,0.0 u
Annual,Percentage,From 15 to 24 years,Males,Hungary,3.6,6.6 u,10.4 u
Annual,Percentage,From 15 to 24 years,Males,Ireland,24.9,6.9,15.3
Annual,Percentage,From 15 to 24 years,Males,Italy,4.5,13.4,7.1 u
Annual,Percentage,From 15 to 24 years,Males,Lithuania,20.6,6.8,0.0 u
Annual,Percentage,From 15 to 24 years,Males,Luxembourg,27.4 u,10.8,20.5 u
Annual,Percentage,From 15 to 24 years,Males,Latvia,0.0,0.0,11.5
Annual,Percentage,From 15 to 24 years,Males,Malta,10.1,1.7,4.6
Annual,Percentage,From 15 to 24 years,Males,Netherlands,11.1,9.3,12.8
Annual,Percentage,From 15 to 24 years,Males,Poland,5.4,6.2,1.9
Annual,Percentage,From 15 to 24 years,Males,Portugal,2.2,6.8 u,0.0 u
Annual,Percentage,From 15 to 24 years,Males,Romania,5.9,10.2 u,8.0 u
