Time frequency,Labour costs structure,Statistical classification of economic activities in the European Community (NACE Rev. 2),Unit of measure,Geopolitical entity (reporting)\Time,Octobre-Décembre 2021,Janvier-Mars 2022,Avril-Juin 2022,Jullet-Septembre 2022,Octobre-Décembre 2022,Janvier-Mars 2023,Avril-Juin 2023,Jullet-Septembre 2023,Octobre-Décembre 2023,Janvier-Mars 2024,Avril-Juin 2024,Jullet-Septembre 2024
Quarterly,Labour cost for LCI (compensation of employees plus taxes minus subsidies),"Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)",Percentage change q/q-1 (SCA),Austria,3.8,-0.7,1.7,1.7,1.1,1.7,2.9,0.5,2.9,2.7,1.8,2.5 p
Quarterly,Labour cost for LCI (compensation of employees plus taxes minus subsidies),"Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)",Percentage change q/q-1 (SCA),Belgium,0.9,2.4,1.7,1.6,1.3,4.7,0.7,0.9,0.7,0.1,0.9,0.9 p
Quarterly,Labour cost for LCI (compensation of employees plus taxes minus subsidies),"Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)",Percentage change q/q-1 (SCA),Bulgaria,4.4,1.7 p,5.2 p,3.2 p,4.5 p,2.1 p,3.5 p,3.6 p,2.2 p,5.8 p,2.9 p,1.7 p
Quarterly,Labour cost for LCI (compensation of employees plus taxes minus subsidies),"Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)",Percentage change q/q-1 (SCA),Cyprus,2.1,1.6,1.0,0.7,1.2,2.7,1.3,0.5,1.0,1.0 p,1.2 p,1.0 p
Quarterly,Labour cost for LCI (compensation of employees plus taxes minus subsidies),"Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)",Percentage change q/q-1 (SCA),Czechia,1.1,-2.7,1.1,1.2,2.3,1.9 p,1.8 p,1.7 p,1.0 p,1.6 p,1.5 p,1.2 p
Quarterly,Labour cost for LCI (compensation of employees plus taxes minus subsidies),"Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)",Percentage change q/q-1 (SCA),Germany,-0.5,-0.6 b,3.6,0.2,3.7,-1.6,1.2,1.5,1.3,2.4,0.7,-0.3
Quarterly,Labour cost for LCI (compensation of employees plus taxes minus subsidies),"Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)",Percentage change q/q-1 (SCA),Denmark,0.3,1.5,0.9,0.8,1.0,0.4,0.5,0.9,0.3,0.9,2.8,0.1
Quarterly,Labour cost for LCI (compensation of employees plus taxes minus subsidies),"Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)",Percentage change q/q-1 (SCA),"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",0.6,1.0,1.1,0.8,2.3,0.7,0.9,1.3,1.3,1.4,1.1,1.0
Quarterly,Labour cost for LCI (compensation of employees plus taxes minus subsidies),"Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)",Percentage change q/q-1 (SCA),Euro area - 19 countries  (2015-2022),0.6,1.0,1.1,0.8,2.3,0.7,0.8,1.2,1.2,1.3,1.1,1.0
Quarterly,Labour cost for LCI (compensation of employees plus taxes minus subsidies),"Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)",Percentage change q/q-1 (SCA),Euro area – 20 countries (from 2023),0.6,1.0,1.1,0.8,2.3,0.7,0.9,1.3,1.3,1.4,1.1,1.0
