Time frequency,Income and living conditions indicator,Sex,Unit of measure,Age class,Geopolitical entity (reporting)\Time,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,Percentage,From 18 to 64 years,Luxembourg,17.3,16.3 b,10.8 b,9.5 b,12.6
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,Percentage,From 18 to 64 years,Latvia,17.2,15.3,14.4,13.4,15.8
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,Percentage,From 18 to 64 years,North Macedonia,21.2,18.9,:,:,:
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,Percentage,From 18 to 64 years,Malta,13.2,11.7,10.7,7.8,10.0
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,Percentage,From 18 to 64 years,Netherlands,13.5,12.9,10.0,10.2,12.7
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,Percentage,From 18 to 64 years,Norway,13.6,12.6,13.9 b,13.3,13.0 b
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,Percentage,From 18 to 64 years,Poland,15.5,10.8,9.7,8.0,7.9
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,Percentage,From 18 to 64 years,Portugal,16.9,13.2,14.6,12.5,13.4
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,Percentage,From 18 to 64 years,Romania,21.3,18.4,16.0,11.8,12.6
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,Percentage,From 18 to 64 years,Sweden,16.1,14.7,14.0,14.7,15.1
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,Percentage,From 18 to 64 years,Slovenia,10.5,9.6,8.5,7.4,7.7
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,Percentage,From 18 to 64 years,Slovakia,10.7,8.9,11.3,12.2,14.1
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,Percentage,From 18 to 64 years,Türkiye,18.3,19.1,18.8,14.7,12.9
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,Percentage,65 years or over,Austria,13.9,13.5,13.9,14.1,14.0
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,Percentage,65 years or over,Belgium,15.7 b,16.2 b,12.9,13.1,14.0
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,Percentage,65 years or over,Bulgaria,34.6,33.3,22.1,23.6,5.1
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,Percentage,65 years or over,Switzerland,27.1,24.8,24.2,24.6,25.9
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,Percentage,65 years or over,Cyprus,24.6,19.1,16.1,14.7,19.2
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,Percentage,65 years or over,Czechia,16.6,12.5,8.9,9.0,10.6
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,Percentage,65 years or over,Germany,18.0,15.6 b,17.5,18.2,20.5
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,Percentage,65 years or over,Denmark,9.0,11.6 b,9.1,10.1,12.0
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,Percentage,65 years or over,Euro area - 19 countries  (2015-2022),15.2,14.0 b,14.3,:,:
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,Percentage,65 years or over,Euro area – 20 countries (from 2023),15.4,14.1,14.5,14.8,15.8
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,Percentage,65 years or over,Estonia,43.7,38.0,33.0,31.9,42.6
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,Percentage,65 years or over,Greece,12.2,9.6,11.1,9.8,10.7
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,Percentage,65 years or over,Spain,14.5,14.8,14.0,13.9,13.8
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,Percentage,65 years or over,European Union - 27 countries (from 2020),16.1,14.4,13.9,13.7,14.0
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,Percentage,65 years or over,European Union - 28 countries (2013-2020),16.1,:,:,:,:
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,Percentage,65 years or over,Finland,14.4,12.3,12.0,12.5,14.6
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,Percentage,65 years or over,France,9.7,10.8 b,11.4,13.3 b,13.7
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,Percentage,65 years or over,Croatia,30.1,26.6,25.5,22.8,24.4 b
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,Percentage,65 years or over,Hungary,11.1,7.8,5.8,6.3,6.9
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,Percentage,65 years or over,Ireland,10.5 b,11.8 b,9.6,9.9,8.4
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,Percentage,65 years or over,Iceland,4.4,:,:,:,:
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,Percentage,65 years or over,Italy,16.2,14.6,15.0,15.3,15.3
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,Percentage,65 years or over,Lithuania,31.6,27.5,19.1,21.7,22.2
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,Percentage,65 years or over,Luxembourg,9.3,6.7 b,4.9 b,5.8 b,7.2
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,Percentage,65 years or over,Latvia,47.9,37.2,36.3,28.9,32.6
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,Percentage,65 years or over,North Macedonia,14.8,10.9,:,:,:
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,Percentage,65 years or over,Malta,27.7,21.6,18.7,14.7,20.8
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,Percentage,65 years or over,Netherlands,11.8,10.7,9.0,8.7,12.8
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,Percentage,65 years or over,Norway,8.1,7.5,7.8 b,8.0,7.7 b
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,Percentage,65 years or over,Poland,17.4,12.4,10.8,7.2,7.3
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,Percentage,65 years or over,Portugal,17.3,13.6,14.9,12.4,13.2
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,Percentage,65 years or over,Romania,25.1,21.3,16.0,8.4,4.6
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,Percentage,65 years or over,Sweden,15.2,12.8,10.2,13.5,12.8
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,Percentage,65 years or over,Slovenia,18.6,17.1,12.0,10.9,11.9
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,Percentage,65 years or over,Slovakia,8.7,7.6,10.5,7.9,10.3
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,Percentage,65 years or over,Türkiye,14.9,17.5,11.9,10.6,12.4
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,Percentage,Less than 18 years,Austria,14.9,17.3,18.8,18.0,15.9
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,Percentage,Less than 18 years,Belgium,18.9 b,13.6 b,13.9,12.2,12.0
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,Percentage,Less than 18 years,Bulgaria,27.5,25.7,18.5,19.2,16.5
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,Percentage,Less than 18 years,Switzerland,18.1,19.8,16.0,16.2,19.2
