Time frequency,National accounts indicator (ESA 2010),Statistical classification of economic activities in the European Community (NACE Rev. 2),Unit of measure,Geopolitical entity (reporting)\Time,Octobre-Décembre 2021,Janvier-Mars 2022,Avril-Juin 2022,Jullet-Septembre 2022,Octobre-Décembre 2022,Janvier-Mars 2023,Avril-Juin 2023,Jullet-Septembre 2023,Octobre-Décembre 2023,Janvier-Mars 2024,Avril-Juin 2024,Jullet-Septembre 2024
Quarterly,"Value added, gross",Construction,Million euro (NSA),Albania,562.3,381.9,466.1,517.2,733.8,450.2 p,615.2 p,634.3 p,952.8 p,583.8 p,783.8 p,728.3 p
Quarterly,"Value added, gross",Construction,Million euro (NSA),Austria,6933.6,5636.8,6708.9,6957.2,7838.7,6197.9,7071.0,7229.3,7832.2,6112.2,7032.8,7368.2
Quarterly,"Value added, gross",Construction,Million euro (NSA),Bosnia and Herzegovina,220.3,214.5,244.5,273.7,278.4,257.4,291.0,307.5,309.4,279.8,304.2,319.6
Quarterly,"Value added, gross",Construction,Million euro (NSA),Belgium,7208.2,5869.2,7012.5,6307.7,7991.8,6422.1 p,7511.3 p,6725.3 p,8396.9 p,6521.7 p,7714.4 p,6878.3 p
Quarterly,"Value added, gross",Construction,Million euro (NSA),Bulgaria,376.9,529.4,762.5,983.0,628.8,758.2,1009.5,1149.4,749.7,755.1 p,1130.4 p,1363.6 p
Quarterly,"Value added, gross",Construction,Million euro (NSA),Switzerland,8876.6,8526.8,9123.3,9726.0,9873.8,9353.3,9966.3,10251.6,10449.7,10015.9,10252.9,10649.0
Quarterly,"Value added, gross",Construction,Million euro (NSA),Cyprus,348.0,287.2,298.7,325.1,370.8,310.5,323.5,357.8,401.5,360.4,372.9,385.3
Quarterly,"Value added, gross",Construction,Million euro (NSA),Czechia,3726.0,2501.6,3479.3,3994.5,4320.3,2956.1,4028.9,4322.6,4362.7,2799.1,3909.2,4290.7
Quarterly,"Value added, gross",Construction,Million euro (NSA),Germany,48229.0 p,33681.0 p,42911.0 p,45361.0 p,51966.0 p,41870.0 p,51138.0 p,53206.0 p,58803.0 p,43645.0 p,52593.0 p,54380.0 p
Quarterly,"Value added, gross",Construction,Million euro (NSA),Denmark,4623.4,3604.7,4213.1,4104.5,4774.5,3998.0,4343.5,4039.4,4630.2,3843.5,4476.8,4179.8
