Time frequency,Unit of measure,Statistical information,Age class,Geopolitical entity (reporting)\Time,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Percentage,Dispersion at NUTS level 2,From 15 to 74 years,Austria,56.3 u,57.3 u,52.3 u,: u,87.6 u,83.2 u,56.5,67.7,73.7 u,65.0 u,64.5 u,58.8,62.1,67.0 u,58.9,56.0,69.1,68.6,66.3,77.2,79.6 u,73.0,79.7,81.8 u,76.8 u
Annual,Percentage,Dispersion at NUTS level 2,From 15 to 74 years,Belgium,69.1,74.2,81.2 u,72.0,71.4 u,67.4 u,64.5,69.7,78.6,77.8,76.9,72.5,80.3,80.1,81.0,76.7,74.1,71.9,75.7,80.6,86.4,89.3,64.1,94.5,85.3
Annual,Percentage,Dispersion at NUTS level 2,From 15 to 74 years,Bulgaria,:,43.3,28.1,26.4,24.8,25.8,24.6,35.4,43.9,49.0,42.6,30.7,32.2,31.3,25.3,19.6,24.5,33.6,50.0,68.0,91.7,102.7,67.9,48.6,46.5
Annual,Percentage,Dispersion at NUTS level 2,From 15 to 74 years,Cyprus,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Percentage,Dispersion at NUTS level 2,From 15 to 74 years,Czechia,50.3,55.6,54.6,58.3,55.6,58.9,61.7,58.8,55.7,64.6,55.0,51.5,47.6,46.2,40.6,41.1,50.3,50.9,43.8,49.4,61.2 u,57.7 u,52.4,45.9,51.6
Annual,Percentage,Dispersion at NUTS level 2,From 15 to 74 years,Germany,57.9,66.3,74.0,72.6,64.8,61.9,52.8,50.6,54.1,58.9,55.3,48.9,53.5,56.9,55.4,55.1,55.1,49.6,47.0,46.2,44.4,: u,: u,: u,: u
Annual,Percentage,Dispersion at NUTS level 2,From 15 to 74 years,Denmark,: m,: m,: m,: m,: m,: m,: m,: m,18.0 u,: u,26.3 u,17.2,9.3,7.5,17.1,13.5,10.6,18.8,14.1,10.7,9.8,16.1,23.7,16.7 u,17.0 u
Annual,Percentage,Dispersion at NUTS level 2,From 15 to 74 years,Estonia,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Percentage,Dispersion at NUTS level 2,From 15 to 74 years,Greece,27.0,28.6,32.1,25.6,25.0,31.6,30.6,24.7,26.9,35.0,26.2,22.9,21.7,18.6,16.6,15.2,16.2,18.0,18.5,22.3,24.3,22.8,31.3,32.8,28.6
Annual,Percentage,Dispersion at NUTS level 2,From 15 to 74 years,Spain,32.6,38.8,36.7,41.9,33.3,38.5,43.9,43.1,45.5,46.0,32.6,29.0,25.9,24.8,24.6,24.6,24.0,25.0,29.9,33.0,34.7,35.4,39.0,36.2,32.4
