Time frequency,Statistical information,Unit of measure,International Standard Classification of Education (ISCED 2011),Life satisfaction,Sex,Age class,Geopolitical entity (reporting)\Time,2013.0,2018.0,2021.0,2022.0,2023.0
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,16 years or over,Albania,:,5.5,5.7,:,:
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,16 years or over,Austria,7.8,8.0,8.0,7.9,7.7
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,16 years or over,Belgium,7.5,7.6,7.5,7.6,7.7
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,16 years or over,Bulgaria,4.8,5.4,5.7,5.6,5.9
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,16 years or over,Switzerland,8.0,8.0,7.9,8.0,7.8
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,16 years or over,Cyprus,6.2,7.1,6.8,7.2,7.5
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,16 years or over,Czechia,6.9 u,7.4 u,7.3,7.4,7.4
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,16 years or over,Germany,7.3,7.4,: u,6.5 u,7.0 u
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,16 years or over,Denmark,8.0,7.8,7.5,7.6,7.5
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,16 years or over,Euro area – 20 countries (from 2023),:,:,:,7.1 e,7.2 e
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,16 years or over,Estonia,6.5,7.0,7.2,7.2,7.2
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,16 years or over,Greece,6.2,6.4,6.8,6.7,6.9
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,16 years or over,Spain,6.9,7.3,7.2,7.1,7.2
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,16 years or over,European Union - 27 countries (from 2020),7.0 u,7.3,: u,7.1 e,7.3 e
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,16 years or over,Finland,8.0,8.1,8.1,7.9,7.8 b
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,16 years or over,France,7.1 u,7.3 u,6.8 u,7.0 bu,7.1 u
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,16 years or over,Croatia,6.4 u,6.3 u,6.8,6.8,7.1 b
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,16 years or over,Hungary,6.1,6.5,6.5 u,6.9 u,7.2 u
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,16 years or over,Ireland,7.5 u,8.1 u,7.3,7.4,7.6
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,16 years or over,Iceland,8.0,8.1,:,:,:
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,16 years or over,Italy,6.6 u,7.0,7.2,7.2,7.2
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,16 years or over,Lithuania,6.7 u,6.4 u,7.0,7.1,7.2
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,16 years or over,Luxembourg,7.4 u,7.5,7.4,7.2 b,7.3
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,16 years or over,Latvia,6.5,6.7 u,6.7,6.8,6.9
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,16 years or over,Montenegro,5.7,6.5,6.4,5.8 b,:
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,16 years or over,North Macedonia,: u,6.0,:,:,:
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,16 years or over,Malta,7.1 u,7.5,7.1,7.4,7.4
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,16 years or over,Netherlands,7.8,7.7,7.7,7.7,7.6
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,16 years or over,Norway,7.9,8.0,7.5,7.7,7.6
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,16 years or over,Poland,7.3 u,7.7 u,7.5 u,7.7 u,7.6 u
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,16 years or over,Portugal,6.2 u,6.7,: u,7.0 u,7.1 u
