Time frequency,National accounts indicator (ESA 2010),Statistical classification of economic activities in the European Community (NACE Rev. 2),Unit of measure,Geopolitical entity (reporting)\Time,Octobre-Décembre 2021,Janvier-Mars 2022,Avril-Juin 2022,Jullet-Septembre 2022,Octobre-Décembre 2022,Janvier-Mars 2023,Avril-Juin 2023,Jullet-Septembre 2023,Octobre-Décembre 2023,Janvier-Mars 2024,Avril-Juin 2024,Jullet-Septembre 2024
Quarterly,"Value added, gross","Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",Percentage change q/q-1 (SCA),Albania,17.9,-1.4,13.2,13.8,-14.4,18.7 p,-4.0 p,8.9 p,-10.0 p,8.5 p,-1.0 p,7.2 p
Quarterly,"Value added, gross","Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",Percentage change q/q-1 (SCA),Austria,-4.5,7.2,8.8,2.5,-0.6,0.5,1.0,2.0,-1.9,0.1,1.0,-2.4
Quarterly,"Value added, gross","Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",Percentage change q/q-1 (SCA),Belgium,2.4,-3.8,5.3,-0.3,2.2,0.6 p,-0.5 p,-0.1 p,2.3 p,0.9 p,-1.8 p,0.0 p
Quarterly,"Value added, gross","Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",Percentage change q/q-1 (SCA),Bulgaria,-0.9,0.1,-0.3,-0.5,-0.3,-1.5,-0.2,-0.2,0.0,0.8 p,0.0 p,-0.2 p
Quarterly,"Value added, gross","Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",Percentage change q/q-1 (SCA),Switzerland,-9.5,0.4,13.0,3.2,1.4,-21.4,1.1,0.6,0.9,9.7,8.2,8.2
Quarterly,"Value added, gross","Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",Percentage change q/q-1 (SCA),Cyprus,5.5,0.8,1.6,2.4,2.8,-2.3,1.1,0.1,2.3,-1.9,1.3,2.8
Quarterly,"Value added, gross","Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",Percentage change q/q-1 (SCA),Czechia,3.8,-0.8,1.8,2.9,-4.5,1.9,0.0,-1.9,0.9,0.7,0.9,0.1
Quarterly,"Value added, gross","Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",Percentage change q/q-1 (SCA),Germany,-4.0 p,16.7 p,-0.2 p,1.6 p,-2.2 p,3.4 p,-0.6 p,1.1 p,-1.3 p,2.2 p,-0.3 p,0.6 p
Quarterly,"Value added, gross","Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",Percentage change q/q-1 (SCA),Denmark,7.4,-8.8,7.0,2.1,0.1,1.9,0.0,-2.5,-1.8,0.2,1.0,0.7
Quarterly,"Value added, gross","Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",Percentage change q/q-1 (SCA),"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",-0.8,6.1,4.4,2.4,-1.6,2.1,0.6,1.4,-1.6,1.3,0.1,1.3
