Time frequency,Statistical classification of economic activities in the European Community (NACE Rev. 1.1),Training,Unit of measure,Geopolitical entity (reporting)\Time,2005.0
Annual,Industry (except construction),CVT courses - external,Percentage,Austria,54.5
Annual,Industry (except construction),CVT courses - external,Percentage,Belgium,43.7
Annual,Industry (except construction),CVT courses - external,Percentage,Bulgaria,42.4
Annual,Industry (except construction),CVT courses - external,Percentage,Cyprus,60.9
Annual,Industry (except construction),CVT courses - external,Percentage,Czechia,41.7
Annual,Industry (except construction),CVT courses - external,Percentage,Germany,34.8
Annual,Industry (except construction),CVT courses - external,Percentage,Denmark,63.1
Annual,Industry (except construction),CVT courses - external,Percentage,Estonia,67.9
Annual,Industry (except construction),CVT courses - external,Percentage,Greece,64.3
Annual,Industry (except construction),CVT courses - external,Percentage,Spain,43.4
Annual,Industry (except construction),CVT courses - external,Percentage,European Union - 27 countries (from 2020),48.9
Annual,Industry (except construction),CVT courses - external,Percentage,European Union - 28 countries (2013-2020),48.8
Annual,Industry (except construction),CVT courses - external,Percentage,Finland,39.0
Annual,Industry (except construction),CVT courses - external,Percentage,France,67.6
Annual,Industry (except construction),CVT courses - external,Percentage,Hungary,78.2
Annual,Industry (except construction),CVT courses - external,Percentage,Ireland,30.2
Annual,Industry (except construction),CVT courses - external,Percentage,Italy,45.0
Annual,Industry (except construction),CVT courses - external,Percentage,Lithuania,39.6
Annual,Industry (except construction),CVT courses - external,Percentage,Luxembourg,22.7
Annual,Industry (except construction),CVT courses - external,Percentage,Latvia,42.7
Annual,Industry (except construction),CVT courses - external,Percentage,Malta,14.8
Annual,Industry (except construction),CVT courses - external,Percentage,Netherlands,62.6
Annual,Industry (except construction),CVT courses - external,Percentage,Norway,29.6
Annual,Industry (except construction),CVT courses - external,Percentage,Poland,61.7
Annual,Industry (except construction),CVT courses - external,Percentage,Portugal,46.8
Annual,Industry (except construction),CVT courses - external,Percentage,Romania,24.3
Annual,Industry (except construction),CVT courses - external,Percentage,Sweden,49.2
Annual,Industry (except construction),CVT courses - external,Percentage,Slovenia,48.9
Annual,Industry (except construction),CVT courses - external,Percentage,Slovakia,59.4
Annual,Industry (except construction),CVT courses - external,Percentage,United Kingdom,40.8
Annual,Industry (except construction),CVT courses - internal,Percentage,Austria,45.5
Annual,Industry (except construction),CVT courses - internal,Percentage,Belgium,56.3
Annual,Industry (except construction),CVT courses - internal,Percentage,Bulgaria,57.6
Annual,Industry (except construction),CVT courses - internal,Percentage,Cyprus,39.1
Annual,Industry (except construction),CVT courses - internal,Percentage,Czechia,58.3
Annual,Industry (except construction),CVT courses - internal,Percentage,Germany,65.2
Annual,Industry (except construction),CVT courses - internal,Percentage,Denmark,36.9
Annual,Industry (except construction),CVT courses - internal,Percentage,Estonia,32.1
Annual,Industry (except construction),CVT courses - internal,Percentage,Greece,27.2
Annual,Industry (except construction),CVT courses - internal,Percentage,Spain,56.6
Annual,Industry (except construction),CVT courses - internal,Percentage,European Union - 27 countries (from 2020),55.7
Annual,Industry (except construction),CVT courses - internal,Percentage,European Union - 28 countries (2013-2020),56.3
Annual,Industry (except construction),CVT courses - internal,Percentage,Finland,61.0
Annual,Industry (except construction),CVT courses - internal,Percentage,France,32.6
Annual,Industry (except construction),CVT courses - internal,Percentage,Hungary,21.8
Annual,Industry (except construction),CVT courses - internal,Percentage,Ireland,68.0
Annual,Industry (except construction),CVT courses - internal,Percentage,Italy,55.0
Annual,Industry (except construction),CVT courses - internal,Percentage,Lithuania,60.4
Annual,Industry (except construction),CVT courses - internal,Percentage,Luxembourg,77.3
Annual,Industry (except construction),CVT courses - internal,Percentage,Latvia,57.3
Annual,Industry (except construction),CVT courses - internal,Percentage,Malta,85.2
Annual,Industry (except construction),CVT courses - internal,Percentage,Netherlands,37.4
Annual,Industry (except construction),CVT courses - internal,Percentage,Norway,70.4
Annual,Industry (except construction),CVT courses - internal,Percentage,Poland,38.3
Annual,Industry (except construction),CVT courses - internal,Percentage,Portugal,53.2
Annual,Industry (except construction),CVT courses - internal,Percentage,Romania,75.7
Annual,Industry (except construction),CVT courses - internal,Percentage,Sweden,50.8
Annual,Industry (except construction),CVT courses - internal,Percentage,Slovenia,51.1
Annual,Industry (except construction),CVT courses - internal,Percentage,Slovakia,40.6
Annual,Industry (except construction),CVT courses - internal,Percentage,United Kingdom,59.2
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),CVT courses - external,Percentage,Austria,51.3
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),CVT courses - external,Percentage,Belgium,40.4
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),CVT courses - external,Percentage,Bulgaria,37.8
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),CVT courses - external,Percentage,Cyprus,55.1
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),CVT courses - external,Percentage,Czechia,43.8
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),CVT courses - external,Percentage,Germany,36.8
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),CVT courses - external,Percentage,Denmark,59.0
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),CVT courses - external,Percentage,Estonia,67.4
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),CVT courses - external,Percentage,Greece,58.5
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),CVT courses - external,Percentage,Spain,40.7
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),CVT courses - external,Percentage,European Union - 27 countries (from 2020),48.9
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),CVT courses - external,Percentage,European Union - 28 countries (2013-2020),49.1
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),CVT courses - external,Percentage,Finland,46.9
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),CVT courses - external,Percentage,France,63.6
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),CVT courses - external,Percentage,Hungary,68.0
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),CVT courses - external,Percentage,Ireland,27.3
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),CVT courses - external,Percentage,Italy,39.3
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),CVT courses - external,Percentage,Lithuania,54.9
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),CVT courses - external,Percentage,Luxembourg,43.3
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),CVT courses - external,Percentage,Latvia,53.5
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),CVT courses - external,Percentage,Malta,32.0
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),CVT courses - external,Percentage,Netherlands,57.9
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),CVT courses - external,Percentage,Norway,34.1
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),CVT courses - external,Percentage,Poland,54.8
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),CVT courses - external,Percentage,Portugal,51.6
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),CVT courses - external,Percentage,Romania,26.8
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),CVT courses - external,Percentage,Sweden,48.6
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),CVT courses - external,Percentage,Slovenia,52.3
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),CVT courses - external,Percentage,Slovakia,55.6
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),CVT courses - external,Percentage,United Kingdom,43.7
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),CVT courses - internal,Percentage,Austria,48.7
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),CVT courses - internal,Percentage,Belgium,59.6
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),CVT courses - internal,Percentage,Bulgaria,62.2
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),CVT courses - internal,Percentage,Cyprus,44.3
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),CVT courses - internal,Percentage,Czechia,56.2
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),CVT courses - internal,Percentage,Germany,63.2
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),CVT courses - internal,Percentage,Denmark,41.0
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),CVT courses - internal,Percentage,Estonia,32.6
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),CVT courses - internal,Percentage,Greece,32.7
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),CVT courses - internal,Percentage,Spain,59.3
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),CVT courses - internal,Percentage,European Union - 27 countries (from 2020),56.8
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),CVT courses - internal,Percentage,European Union - 28 countries (2013-2020),57.7
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),CVT courses - internal,Percentage,Finland,53.1
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),CVT courses - internal,Percentage,France,36.8
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),CVT courses - internal,Percentage,Hungary,32.0
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),CVT courses - internal,Percentage,Ireland,71.4
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),CVT courses - internal,Percentage,Italy,60.7
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),CVT courses - internal,Percentage,Lithuania,45.1
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),CVT courses - internal,Percentage,Luxembourg,56.7
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),CVT courses - internal,Percentage,Latvia,46.5
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),CVT courses - internal,Percentage,Malta,68.0
