Time frequency,Energy consumption,product,unit,geo\TIME_PERIOD,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Consumption from 20 GJ to 199 GJ - band D2,4100.0,PC,AT,83.0,82.1,83.3,82.8,82.3,82.3,80.0
Annual,Consumption from 20 GJ to 199 GJ - band D2,4100.0,PC,BA,52.2447,52.2447,83.9623,85.803,85.803,85.5,85.5
Annual,Consumption from 20 GJ to 199 GJ - band D2,4100.0,PC,BE,91.6355,93.2189,92.7877,92.0725,91.8145,91.6195,90.2427
Annual,Consumption from 20 GJ to 199 GJ - band D2,4100.0,PC,BG,86.96,84.14,81.097,83.5285,87.5655,81.739,75.3919
Annual,Consumption from 20 GJ to 199 GJ - band D2,4100.0,PC,CZ,90.0,83.0,92.0,91.0,91.0,91.3,91.3
Annual,Consumption from 20 GJ to 199 GJ - band D2,4100.0,PC,DE,73.0,73.0,76.26,78.25,76.35,77.96,77.3
Annual,Consumption from 20 GJ to 199 GJ - band D2,4100.0,PC,DK,95.0,95.0,95.0,96.0,96.0,93.0,92.0
Annual,Consumption from 20 GJ to 199 GJ - band D2,4100.0,PC,EA,: @C,: @C,: e,:,:,: @C,:
Annual,Consumption from 20 GJ to 199 GJ - band D2,4100.0,PC,EE,47.1638,54.4496,56.5024,53.3263,59.6143,63.3177,63.3177
Annual,Consumption from 20 GJ to 199 GJ - band D2,4100.0,PC,EL,: @C,73.35,72.47,70.17,74.4119,75.3,70.3908
Annual,Consumption from 20 GJ to 199 GJ - band D2,4100.0,PC,ES,:,:,57.3700 e,58.9,57.67,51.2315,47.095
Annual,Consumption from 20 GJ to 199 GJ - band D2,4100.0,PC,EU27_2020,: @C,: @C,78.3643 e,78.0812,77.9395,76.2172,:
Annual,Consumption from 20 GJ to 199 GJ - band D2,4100.0,PC,FR,91.6944,91.3664,90.6371,90.808,90.9424,90.5216,88.7001
Annual,Consumption from 20 GJ to 199 GJ - band D2,4100.0,PC,GE,:,75.6,78.0,81.0,82.4999,82.5,81.0
Annual,Consumption from 20 GJ to 199 GJ - band D2,4100.0,PC,HR,86.05,81.86,81.04,81.1319,79.23,80.15,85.39
Annual,Consumption from 20 GJ to 199 GJ - band D2,4100.0,PC,HU,76.5206,73.5012,81.5156,83.145,83.06,83.9996,81.7238
Annual,Consumption from 20 GJ to 199 GJ - band D2,4100.0,PC,IE,91.773,92.1518,88.4951,92.7441,92.85,92.2,90.0298
Annual,Consumption from 20 GJ to 199 GJ - band D2,4100.0,PC,IT,:,: @C,72.081,71.0465,71.8235,72.4201,69.2631
Annual,Consumption from 20 GJ to 199 GJ - band D2,4100.0,PC,LI,57.7118,61.794,59.7512,59.5218,57.1549,62.1576,64.0982
Annual,Consumption from 20 GJ to 199 GJ - band D2,4100.0,PC,LT,83.7641,84.3823,81.6379,69.8969,77.2957,79.1343,80.9953
Annual,Consumption from 20 GJ to 199 GJ - band D2,4100.0,PC,LU,63.1,64.75,64.07,65.79,66.73,66.0,67.9
Annual,Consumption from 20 GJ to 199 GJ - band D2,4100.0,PC,LV,71.87,72.5,72.34,73.22,73.28,74.4403,72.92
Annual,Consumption from 20 GJ to 199 GJ - band D2,4100.0,PC,MD,64.9292,68.9884,68.1616,74.4342,98.3645,99.7491,99.6705
Annual,Consumption from 20 GJ to 199 GJ - band D2,4100.0,PC,MK,84.3271,66.2,64.7,46.0,73.31,48.06,31.7
Annual,Consumption from 20 GJ to 199 GJ - band D2,4100.0,PC,NL,94.0,94.0,92.0,92.0,93.0,89.0,86.0
Annual,Consumption from 20 GJ to 199 GJ - band D2,4100.0,PC,PL,61.8811,61.7361,53.4279,52.865,54.5892,57.6056,55.6712
Annual,Consumption from 20 GJ to 199 GJ - band D2,4100.0,PC,PT,26.0,29.61,27.987,23.3369,24.712,22.143,15.679
Annual,Consumption from 20 GJ to 199 GJ - band D2,4100.0,PC,RO,79.2111 e,80.1210 e,72.281,58.8222,60.9816,71.3494,71.5288
Annual,Consumption from 20 GJ to 199 GJ - band D2,4100.0,PC,RS,85.9454,85.9623,86.8037,86.9625,90.2889,:,90.3935
Annual,Consumption from 20 GJ to 199 GJ - band D2,4100.0,PC,SE,86.0,86.0,93.0,76.99,79.63,83.91,60.83
Annual,Consumption from 20 GJ to 199 GJ - band D2,4100.0,PC,SI,76.5997,77.4788,80.0014,78.7,78.7383,77.6995,74.6097
Annual,Consumption from 20 GJ to 199 GJ - band D2,4100.0,PC,SK,92.4,92.6,92.7,93.0,93.0,92.8,92.6
Annual,Consumption from 20 GJ to 199 GJ - band D2,4100.0,PC,TR,60.1787,58.4225,50.094,64.1656,64.5602,69.7255,17.1761
Annual,Consumption from 20 GJ to 199 GJ - band D2,4100.0,PC,UA,:,82.2391,81.47,74.9579,:,:,:
Annual,Consumption 200 GJ or over - band D3,4100.0,PC,AT,12.2,13.0,11.6,12.1,12.7,12.7,15.0
Annual,Consumption 200 GJ or over - band D3,4100.0,PC,BA,0.207,0.207,0.7837,0.4331,0.4331,0.5,0.5
Annual,Consumption 200 GJ or over - band D3,4100.0,PC,BE,3.3434,3.4251,3.128,2.9382,3.6541,4.5055,2.5439
Annual,Consumption 200 GJ or over - band D3,4100.0,PC,BG,3.85,2.93,2.6718,3.0532,3.1677,1.9311,1.7065
Annual,Consumption 200 GJ or over - band D3,4100.0,PC,CZ,2.0,3.0,1.0,2.0,2.0,2.0,2.0
Annual,Consumption 200 GJ or over - band D3,4100.0,PC,DE,24.0,25.0,19.96,17.0,19.36,18.82,18.5
Annual,Consumption 200 GJ or over - band D3,4100.0,PC,DK,4.0,4.0,4.0,3.0,3.0,3.0,3.0
Annual,Consumption 200 GJ or over - band D3,4100.0,PC,EA,: @C,: @C,: e,:,:,: @C,:
Annual,Consumption 200 GJ or over - band D3,4100.0,PC,EE,46.0264,42.0358,40.1337,37.02,36.7639,33.7683,33.7683
Annual,Consumption 200 GJ or over - band D3,4100.0,PC,EL,: @C,16.06,17.76,20.91,18.3671,13.92,9.1911
Annual,Consumption 200 GJ or over - band D3,4100.0,PC,ES,:,:,18.2100 e,17.22,16.26,29.2854,31.6082
Annual,Consumption 200 GJ or over - band D3,4100.0,PC,EU27_2020,: @C,: @C,12.3587 e,11.6223,12.0244,12.2642,:
Annual,Consumption 200 GJ or over - band D3,4100.0,PC,FR,3.0994,2.9421,2.9191,2.0045,2.2298,2.0366,2.3958
Annual,Consumption 200 GJ or over - band D3,4100.0,PC,GE,:,3.25,4.0,4.0,4.6362,8.3,8.0
Annual,Consumption 200 GJ or over - band D3,4100.0,PC,HR,2.09,7.97,8.66,7.6139,5.89,6.31,3.89
Annual,Consumption 200 GJ or over - band D3,4100.0,PC,HU,6.3612,6.0823,5.969,5.9471,6.34,5.8879,6.208
Annual,Consumption 200 GJ or over - band D3,4100.0,PC,IE,1.6114,1.5671,5.1333,1.8058,2.1,2.5,1.8048
Annual,Consumption 200 GJ or over - band D3,4100.0,PC,IT,:,: @C,16.3308,16.306,15.9897,14.9248,15.1644
Annual,Consumption 200 GJ or over - band D3,4100.0,PC,LI,42.2374,38.1205,40.1692,40.3867,42.7924,37.7032,35.5404
Annual,Consumption 200 GJ or over - band D3,4100.0,PC,LT,1.8505,1.8841,2.9598,1.6108,2.8996,6.0912,4.4529
Annual,Consumption 200 GJ or over - band D3,4100.0,PC,LU,36.69,35.06,35.75,34.01,33.06,33.8,31.8
Annual,Consumption 200 GJ or over - band D3,4100.0,PC,LV,13.3,12.94,13.11,14.17,15.5,13.9022,14.44
Annual,Consumption 200 GJ or over - band D3,4100.0,PC,MK,:,:,0.0,:,:,0.0,:
Annual,Consumption 200 GJ or over - band D3,4100.0,PC,NL,: u,: u,5.0,5.0,4.0,6.0,5.0
Annual,Consumption 200 GJ or over - band D3,4100.0,PC,PL,12.7205,12.8104,11.6062,10.8519,10.2612,11.1873,11.6533
Annual,Consumption 200 GJ or over - band D3,4100.0,PC,PT,2.0,2.11,1.696,0.4763,0.513,0.437,0.441
Annual,Consumption 200 GJ or over - band D3,4100.0,PC,RO,3.2886 e,3.0898 e,8.1399,16.71,13.7161,13.2871,12.4731
Annual,Consumption 200 GJ or over - band D3,4100.0,PC,RS,3.5463,3.108,3.1922,2.5813,3.0535,:,2.4878
Annual,Consumption 200 GJ or over - band D3,4100.0,PC,SE,7.0,7.0,1.6,1.85,10.04,1.48,11.81
Annual,Consumption 200 GJ or over - band D3,4100.0,PC,SI,15.3688,13.9046,12.2049,12.1,11.7718,11.9528,11.5541
Annual,Consumption 200 GJ or over - band D3,4100.0,PC,SK,5.1,4.7,4.6,4.4,4.7,4.6,4.6
Annual,Consumption 200 GJ or over - band D3,4100.0,PC,TR,16.6216,15.4162,13.9507,15.9832,18.3169,19.4335,68.4263
