Time frequency,Unit of measure,Territorial typology,Geopolitical entity (reporting)\Time,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0
Annual,Number,Border regions,Austria,:,:,:,:,:,:,:,:,:,:,:,448.0,:,:
Annual,Number,Border regions,Cyprus,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Number,Border regions,Czechia,:,:,:,103.0,99.0,:,120.0,:,181.0,:,163.0,182.0,147.0,:
Annual,Number,Border regions,Denmark,164.0,145.0,169.0,188.0,212.0,219.0,200.0,182.0,211.0,215.0,183.0,233.0,256.0,190 p
Annual,Number,Border regions,Estonia,:,:,:,:,:,:,:,:,:,:,:,:,:,23 p
Annual,Number,Border regions,Finland,:,:,:,:,:,:,:,:,:,:,:,:,:,16 p
Annual,Number,Border regions,Ireland,14.0,12.0,:,:,:,28.0,19.0,28.0,:,23.0,:,17.0,:,:
Annual,Number,Border regions,Iceland,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Number,Border regions,Italy,:,631.0,720.0,:,:,697.0,650.0,:,712.0,:,:,:,:,:
Annual,Number,Border regions,Liechtenstein,15.0,23.0,33.0,23.0,34.0,33.0,25.0,26.0,23.0,20.0,24.0,19.0,23.0,14 p
Annual,Number,Border regions,Luxembourg,20.0,20.0,24.0,47.0,51.0,50.0,58.0,56.0,62.0,75.0,104.0,104.0,109.0,73 p
Annual,Number,Border regions,Latvia,:,:,:,:,:,:,:,8.0,13.0,:,:,:,19.0,:
Annual,Number,Border regions,Malta,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Number,Border regions,Netherlands,:,:,:,:,:,:,490.0,:,:,:,:,:,:,:
Annual,Number,Border regions,Poland,:,:,:,:,:,:,:,:,:,:,:,311.0,:,:
Annual,Number,Border regions,Slovenia,:,:,:,:,:,:,:,:,:,:,86.0,98.0,:,:
Annual,Number,Border regions,Slovakia,:,:,:,35.0,:,:,42.0,32.0,56.0,43.0,64.0,59.0,48.0,:
Annual,Number,Border regions,United Kingdom,:,:,28.0,:,19.0,18.0,26.0,:,36.0,25.0,:,35.0,:,:
Annual,Number,Coastal regions,Austria,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Number,Coastal regions,Belgium,:,:,:,:,123.0,:,:,:,:,:,:,:,:,:
Annual,Number,Coastal regions,Bulgaria,:,:,:,:,:,:,:,:,:,:,:,:,11.0,11 p
Annual,Number,Coastal regions,Switzerland,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
