Time frequency,Survey answer - Yes/No,Sex,Geopolitical entity (reporting)\Time,2002.0
Annual,No,Females,Austria,57.7
Annual,No,Females,Belgium,52.9
Annual,No,Females,Cyprus,78.1
Annual,No,Females,Czechia,81.5
Annual,No,Females,Germany,61.2
Annual,No,Females,Denmark,62.0
Annual,No,Females,Estonia,90.0
Annual,No,Females,Greece,50.0
Annual,No,Females,Spain,28.9
Annual,No,Females,European Union - 15 countries (1995-2004),47.0
Annual,No,Females,European Union - 25 countries (2004-2006),50.3
Annual,No,Females,Finland,: u
Annual,No,Females,France,45.5
Annual,No,Females,Ireland,: u
Annual,No,Females,Italy,58.9
Annual,No,Females,Lithuania,29.3
Annual,No,Females,Luxembourg,43.3 u
Annual,No,Females,Malta,48.4 u
Annual,No,Females,Netherlands,52.7
Annual,No,Females,Portugal,77.7
Annual,No,Females,Romania,70.1
Annual,No,Females,Sweden,10.2
Annual,No,Females,Slovenia,35.1
Annual,No,Females,Slovakia,10.2
Annual,No,Females,United Kingdom,46.8
Annual,No,Males,Austria,54.2
Annual,No,Males,Belgium,49.2
Annual,No,Males,Cyprus,69.7
Annual,No,Males,Czechia,75.4
Annual,No,Males,Germany,59.1
Annual,No,Males,Denmark,62.4
Annual,No,Males,Estonia,84.0
Annual,No,Males,Greece,42.4
Annual,No,Males,Spain,24.9
Annual,No,Males,European Union - 15 countries (1995-2004),41.7
Annual,No,Males,European Union - 25 countries (2004-2006),46.1
Annual,No,Males,Finland,: u
Annual,No,Males,France,42.4
Annual,No,Males,Ireland,4.0 u
Annual,No,Males,Italy,57.2
Annual,No,Males,Lithuania,23.8
Annual,No,Males,Luxembourg,53.5
Annual,No,Males,Malta,56.9
Annual,No,Males,Netherlands,58.7
Annual,No,Males,Portugal,67.5
Annual,No,Males,Romania,66.3
Annual,No,Males,Sweden,12.2
Annual,No,Males,Slovenia,35.2
Annual,No,Males,Slovakia,8.9
Annual,No,Males,United Kingdom,39.4
Annual,No,Total,Austria,56.0
Annual,No,Total,Belgium,51.3
Annual,No,Total,Cyprus,74.3
Annual,No,Total,Czechia,78.9
Annual,No,Total,Germany,60.1
Annual,No,Total,Denmark,62.2
Annual,No,Total,Estonia,87.2
Annual,No,Total,Greece,46.5
Annual,No,Total,Spain,26.8
Annual,No,Total,European Union - 15 countries (1995-2004),44.5
Annual,No,Total,European Union - 25 countries (2004-2006),48.3
Annual,No,Total,Finland,: u
Annual,No,Total,France,44.2
Annual,No,Total,Ireland,3.1 u
Annual,No,Total,Italy,58.2
Annual,No,Total,Lithuania,26.7
Annual,No,Total,Luxembourg,48.9
Annual,No,Total,Malta,52.8
Annual,No,Total,Netherlands,55.0
Annual,No,Total,Portugal,73.7
Annual,No,Total,Romania,68.6
Annual,No,Total,Sweden,11.1
Annual,No,Total,Slovenia,35.1
Annual,No,Total,Slovakia,9.6
Annual,No,Total,United Kingdom,43.1
Annual,No response,Females,Czechia,: u
Annual,No response,Females,Greece,17.6
Annual,No response,Females,European Union - 15 countries (1995-2004),5.4
Annual,No response,Females,European Union - 25 countries (2004-2006),4.1
Annual,No response,Females,France,3.1
Annual,No response,Females,Ireland,95.7
Annual,No response,Females,Luxembourg,: u
Annual,No response,Females,Norway,: u
Annual,No response,Females,Sweden,87.3
Annual,No response,Females,United Kingdom,6.4
Annual,No response,Males,Greece,18.2
Annual,No response,Males,Spain,: u
Annual,No response,Males,European Union - 15 countries (1995-2004),6.2
Annual,No response,Males,European Union - 25 countries (2004-2006),4.5
Annual,No response,Males,France,4.7
Annual,No response,Males,Ireland,92.9
Annual,No response,Males,Luxembourg,: u
Annual,No response,Males,Norway,: u
Annual,No response,Males,Portugal,: u
Annual,No response,Males,Sweden,86.2
Annual,No response,Males,United Kingdom,7.1
Annual,No response,Total,Czechia,: u
Annual,No response,Total,Greece,17.9
Annual,No response,Total,Spain,: u
Annual,No response,Total,European Union - 15 countries (1995-2004),5.8
Annual,No response,Total,European Union - 25 countries (2004-2006),4.3
Annual,No response,Total,France,3.8
Annual,No response,Total,Ireland,94.2
Annual,No response,Total,Luxembourg,: u
Annual,No response,Total,Norway,: u
Annual,No response,Total,Portugal,: u
Annual,No response,Total,Sweden,86.8
Annual,No response,Total,United Kingdom,6.7
Annual,Unknown,Females,Austria,14.9
Annual,Unknown,Females,Cyprus,4.1 u
Annual,Unknown,Females,Czechia,1.1
Annual,Unknown,Females,Germany,23.8
Annual,Unknown,Females,Denmark,10.6
Annual,Unknown,Females,Estonia,: u
Annual,Unknown,Females,Spain,43.9
Annual,Unknown,Females,European Union - 15 countries (1995-2004),8.9
Annual,Unknown,Females,European Union - 25 countries (2004-2006),11.8
Annual,Unknown,Females,Finland,: u
Annual,Unknown,Females,France,2.0
Annual,Unknown,Females,Ireland,: u
Annual,Unknown,Females,Italy,21.7
Annual,Unknown,Females,Lithuania,49.8
Annual,Unknown,Females,Luxembourg,31.3 u
Annual,Unknown,Females,Malta,: u
Annual,Unknown,Females,Netherlands,6.0
Annual,Unknown,Females,Portugal,: u
Annual,Unknown,Females,Sweden,: u
Annual,Unknown,Females,Slovakia,37.1
Annual,Unknown,Males,Austria,15.2
Annual,Unknown,Males,Cyprus,6.0 u
Annual,Unknown,Males,Czechia,2.1
Annual,Unknown,Males,Germany,22.9
Annual,Unknown,Males,Denmark,12.8
Annual,Unknown,Males,Estonia,: u
Annual,Unknown,Males,Spain,42.6
Annual,Unknown,Males,European Union - 15 countries (1995-2004),9.8
Annual,Unknown,Males,European Union - 25 countries (2004-2006),12.9
Annual,Unknown,Males,Finland,: u
Annual,Unknown,Males,France,1.1
Annual,Unknown,Males,Ireland,: u
Annual,Unknown,Males,Italy,23.0
Annual,Unknown,Males,Lithuania,54.7
Annual,Unknown,Males,Luxembourg,31.2 u
Annual,Unknown,Males,Malta,: u
Annual,Unknown,Males,Netherlands,3.4 u
Annual,Unknown,Males,Portugal,: u
Annual,Unknown,Males,Sweden,: u
