Time frequency,Reason,Unit of measure,Geopolitical entity (reporting)\Time,2003.0
Annual,Mainly job related reasons,Percentage,Austria,73.4
Annual,Mainly job related reasons,Percentage,Belgium,82.5
Annual,Mainly job related reasons,Percentage,Bulgaria,77.2
Annual,Mainly job related reasons,Percentage,Switzerland,62.8
Annual,Mainly job related reasons,Percentage,Cyprus,78.7
Annual,Mainly job related reasons,Percentage,Czechia,84.5
Annual,Mainly job related reasons,Percentage,Germany,90.8
Annual,Mainly job related reasons,Percentage,Denmark,83.1
Annual,Mainly job related reasons,Percentage,Estonia,83.1
Annual,Mainly job related reasons,Percentage,Greece,72.7
Annual,Mainly job related reasons,Percentage,Spain,61.7
Annual,Mainly job related reasons,Percentage,European Union - 25 countries (2004-2006),83.9
Annual,Mainly job related reasons,Percentage,Finland,87.4
Annual,Mainly job related reasons,Percentage,France,93.3
Annual,Mainly job related reasons,Percentage,Hungary,86.3
Annual,Mainly job related reasons,Percentage,Ireland,76.5
Annual,Mainly job related reasons,Percentage,Italy,83.5
Annual,Mainly job related reasons,Percentage,Lithuania,93.7
Annual,Mainly job related reasons,Percentage,Luxembourg,72.9
Annual,Mainly job related reasons,Percentage,Latvia,81.3
Annual,Mainly job related reasons,Percentage,Malta,82.0
Annual,Mainly job related reasons,Percentage,Netherlands,86.1
Annual,Mainly job related reasons,Percentage,Norway,77.0
Annual,Mainly job related reasons,Percentage,Poland,91.3
Annual,Mainly job related reasons,Percentage,Portugal,79.2
Annual,Mainly job related reasons,Percentage,Romania,80.3
Annual,Mainly job related reasons,Percentage,Sweden,84.2
Annual,Mainly job related reasons,Percentage,Slovenia,80.8
Annual,Mainly job related reasons,Percentage,Slovakia,93.0
Annual,Mainly job related reasons,Percentage,United Kingdom,79.2
Annual,Mainly job related reasons,Thousand,Austria,827.0
Annual,Mainly job related reasons,Thousand,Belgium,892.0
Annual,Mainly job related reasons,Thousand,Bulgaria,54.0
Annual,Mainly job related reasons,Thousand,Switzerland,1189.0
Annual,Mainly job related reasons,Thousand,Cyprus,60.0
Annual,Mainly job related reasons,Thousand,Czechia,631.0
Annual,Mainly job related reasons,Thousand,Germany,5258.0
Annual,Mainly job related reasons,Thousand,Denmark,1161.0
