Time frequency,Frequency,Type of violence,Unit of measure,Geopolitical entity (reporting)\Time,2021.0
Annual,Repeated,Physical,Percentage,Austria,10.1
Annual,Repeated,Physical,Percentage,Belgium,12.4
Annual,Repeated,Physical,Percentage,Bulgaria,4.5
Annual,Repeated,Physical,Percentage,Cyprus,19.7
Annual,Repeated,Physical,Percentage,Czechia,7.4
Annual,Repeated,Physical,Percentage,Germany,13.3
Annual,Repeated,Physical,Percentage,Denmark,12.2
Annual,Repeated,Physical,Percentage,Estonia,13.5
Annual,Repeated,Physical,Percentage,Greece,14.9
Annual,Repeated,Physical,Percentage,Spain,8.6
Annual,Repeated,Physical,Percentage,European Union (aggregate changing according to the context),12.8 e
Annual,Repeated,Physical,Percentage,Finland,18.6
Annual,Repeated,Physical,Percentage,France,11.3
Annual,Repeated,Physical,Percentage,Croatia,7.3
Annual,Repeated,Physical,Percentage,Hungary,28.7
Annual,Repeated,Physical,Percentage,Ireland,18.7
Annual,Repeated,Physical,Percentage,Lithuania,11.2
Annual,Repeated,Physical,Percentage,Luxembourg,14.7
Annual,Repeated,Physical,Percentage,Latvia,12.5
Annual,Repeated,Physical,Percentage,Montenegro,4.3
Annual,Repeated,Physical,Percentage,Malta,11.4
Annual,Repeated,Physical,Percentage,Netherlands,9.6
Annual,Repeated,Physical,Percentage,Poland,: u
Annual,Repeated,Physical,Percentage,Portugal,7.4
Annual,Repeated,Physical,Percentage,Romania,25.9
Annual,Repeated,Physical,Percentage,Serbia,7.7
Annual,Repeated,Physical,Percentage,Sweden,15.5
Annual,Repeated,Physical,Percentage,Slovenia,7.5
Annual,Repeated,Physical,Percentage,Slovakia,: u
Annual,Repeated,Physical,Percentage,Kosovo*,2.9
Annual,Repeated,Physical or sexual,Percentage,Austria,13.2
Annual,Repeated,Physical or sexual,Percentage,Belgium,14.8
Annual,Repeated,Physical or sexual,Percentage,Bulgaria,4.7
Annual,Repeated,Physical or sexual,Percentage,Cyprus,23.0
Annual,Repeated,Physical or sexual,Percentage,Czechia,10.5
Annual,Repeated,Physical or sexual,Percentage,Germany,16.5
Annual,Repeated,Physical or sexual,Percentage,Denmark,16.4
Annual,Repeated,Physical or sexual,Percentage,Estonia,15.8
Annual,Repeated,Physical or sexual,Percentage,Greece,16.9
Annual,Repeated,Physical or sexual,Percentage,Spain,11.4
Annual,Repeated,Physical or sexual,Percentage,European Union (aggregate changing according to the context),16.0 e
Annual,Repeated,Physical or sexual,Percentage,Finland,21.6
Annual,Repeated,Physical or sexual,Percentage,France,15.4
Annual,Repeated,Physical or sexual,Percentage,Croatia,9.5
Annual,Repeated,Physical or sexual,Percentage,Hungary,31.4
Annual,Repeated,Physical or sexual,Percentage,Ireland,22.9
Annual,Repeated,Physical or sexual,Percentage,Lithuania,12.5
Annual,Repeated,Physical or sexual,Percentage,Luxembourg,20.9
Annual,Repeated,Physical or sexual,Percentage,Latvia,13.4
Annual,Repeated,Physical or sexual,Percentage,Montenegro,4.4
Annual,Repeated,Physical or sexual,Percentage,Malta,14.0
Annual,Repeated,Physical or sexual,Percentage,Netherlands,13.3
Annual,Repeated,Physical or sexual,Percentage,Poland,: u
Annual,Repeated,Physical or sexual,Percentage,Portugal,8.5
Annual,Repeated,Physical or sexual,Percentage,Romania,28.5
Annual,Repeated,Physical or sexual,Percentage,Serbia,8.0
