Time frequency,Unit of measure,Information society indicator,Age class,Geopolitical entity (reporting)\Time,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0
Annual,Percentage,Frequency of internet access: daily,From 16 to 74 years,Azerbaijan,53.3,41.2,47.0,64.6,56.5,46.9,60.5,76.2,76.7,80.9,81.3,81.6,81.7,81.8,82.0,87.3,88.4,90.1
Annual,Percentage,Frequency of internet access: daily,From 16 to 74 years,Belarus,:,:,:,:,:,:,50.3 d,60.2 d,63.6 d,64.4 d,66.9 d,68.2 d,73.0 d,79.7 d,83.6 d,84.1 d,:,:
Annual,Percentage,Frequency of internet access: daily,From 16 to 74 years,Georgia,:,:,:,:,:,:,:,:,:,:,:,53.3,54.4,61.1,65.9,69.7,74.4,78.0
Annual,Percentage,Frequency of internet access: daily,From 16 to 74 years,Ukraine,:,:,27.6,39.6,46.9,54.9,51.7,56.5,60.3,61.0,65.7,68.0,70.7,75.1,78.2,85.5 d,87.2 d,:
Annual,Percentage,Frequency of internet access: once a week (including every day),From 16 to 74 years,Azerbaijan,88.8,91.6,90.9,94.5,94.5,74.8,88.2,97.2,97.4,97.5,97.7,97.7,97.6,97.4,97.3,98.8,97.9,97.9
Annual,Percentage,Frequency of internet access: once a week (including every day),From 16 to 74 years,Belarus,:,:,:,:,:,:,72.0 d,76.9 d,82.6 d,83.8 d,83.5 d,84.3 d,86.4 d,90.3 d,92.2 d,92.5 d,:,:
Annual,Percentage,Frequency of internet access: once a week (including every day),From 16 to 74 years,Georgia,:,:,:,:,:,:,:,:,:,:,:,59.8,61.5,66.8,72.7,76.9,80.1,83.3
Annual,Percentage,Frequency of internet access: once a week (including every day),From 16 to 74 years,Ukraine,:,:,69.0 d,78.0 d,85.9 d,88.1 d,88.0 d,89.5 d,91.0 d,92.1 d,93.4 d,94.2 d,95.0 d,96.4 d,96.5 d,98.4 d,99.0 d,:
Annual,Percentage,Frequency of internet access: at least once a week (but not every day),From 16 to 74 years,Azerbaijan,35.5,50.4,43.9,29.9,38.0,27.9,27.7,21.0,20.7,16.6,16.4,16.1,15.9,15.6,15.3,11.5,9.5,7.8
Annual,Percentage,Frequency of internet access: at least once a week (but not every day),From 16 to 74 years,Belarus,:,:,:,:,:,:,21.7 d,16.7 d,19.0 d,19.4 d,16.6 d,16.1 d,13.4 d,10.6 d,8.6 d,8.4 d,:,:
Annual,Percentage,Frequency of internet access: at least once a week (but not every day),From 16 to 74 years,Georgia,:,:,:,:,:,:,:,:,:,:,:,6.5,7.1,5.6,6.8,7.1,5.7,5.2
Annual,Percentage,Frequency of internet access: at least once a week (but not every day),From 16 to 74 years,Ukraine,:,:,41.4 d,38.4 d,39.0 d,33.2 d,36.3 d,33.0 d,30.7 d,31.1 d,27.7 d,26.2 d,24.3 d,21.3 d,18.3 d,12.9 d,11.8 d,:
