Time frequency,Unit of measure,Quantile,Geopolitical entity (reporting)\Time,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0
Annual,Percentage,First quintile,Albania,:,:,:,:,:,:,:,:,:,:,:,:,:,:,34.7,39.9,32.1,26.6
Annual,Percentage,First quintile,Austria,4.0,8.9,8.3,7.9,8.3,10.7 b,9.3,9.0,7.8,9.2,9.4,9.3,9.7,10.7,9.7,9.1,5.8,6.4
Annual,Percentage,First quintile,Belgium,5.6,2.8,6.5,4.2,4.1,4.5,4.6,4.7,3.8,2.1,3.7,3.3,3.1,5.1 b,7.4,7.7,4.7 b,5.0
Annual,Percentage,First quintile,Bulgaria,:,:,:,43.1,45.0,42.9,37.4,35.3,36.7,33.6,36.7,36.2 b,28.2,31.4 b,30.0,27.1,25.5,22.8
Annual,Percentage,First quintile,Switzerland,:,:,:,:,4.5,2.3,2.8,3.5,2.8,3.7,4.9,3.9 b,3.5,5.5,5.6,5.5,2.1,3.8
Annual,Percentage,First quintile,Cyprus,:,:,3.8,4.1,2.1,3.3,0.6,3.9,4.2,2.9,3.0,4.3,1.2,3.0,3.0,2.5,3.1,2.2
Annual,Percentage,First quintile,Czechia,:,:,20.3,22.7,18.6,13.0,12.6,8.8,9.8,9.4,9.5,8.0,7.6,6.8,3.2,3.8,4.2,3.8
Annual,Percentage,First quintile,Germany,:,:,4.2,4.5,4.5,5.1,6.7,5.8,6.7,5.8,5.0,5.8,5.1,5.5,5.5,5.6,5.4,2.5 b
Annual,Percentage,First quintile,Denmark,6.5,4.4,2.6,3.0,4.6,3.2,3.2,3.5,7.6 b,6.7,6.1,6.6,8.3,3.5,7.6,9.6,8.5,8.1
Annual,Percentage,First quintile,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",:,:,:,:,:,7.6 e,8.2 e,7.8 e,8.2 e,8.0 e,7.8 e,8.4 e,8.3 e,8.3 e,6.4 e,6.9 e,6.2,7.4
Annual,Percentage,First quintile,Euro area - 18 countries (2014),:,:,8.3,7.8,8.1,7.9,8.4,8.1,8.4,8.2,7.9,8.4,8.2,8.2,6.3,6.9,6.1,7.4
Annual,Percentage,First quintile,Euro area - 19 countries  (2015-2022),:,:,8.7,8.2,8.4,8.1,8.6,8.2,8.4,8.2,8.0,8.5,8.3,8.3,6.4,6.9,6.2,7.4
Annual,Percentage,First quintile,Estonia,:,31.0,28.4,25.4,23.6,16.6,20.6,20.2,11.1,8.6,7.5,6.8 b,4.7,4.9,4.0,3.0,4.3,3.8
Annual,Percentage,First quintile,Greece,15.8,11.5,14.6,14.9,14.6,13.6,12.9,13.8,14.6,12.0,11.1,12.0,12.1,12.3,12.0,12.1,11.7,13.1
Annual,Percentage,First quintile,Spain,:,6.8,6.4,5.6,6.0,3.4 b,4.7,3.4,5.1,3.6,4.1,5.5,3.5,5.0,2.9,4.8,4.5,9.6
Annual,Percentage,First quintile,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",:,:,:,:,:,12.7 e,12.5 e,12.2 e,11.6 e,11.4 e,11.2 e,11.5 e,11.1 e,10.8 e,8.5 e,9.0 e,8.2 e,:
Annual,Percentage,First quintile,European Union - 27 countries (2007-2013),:,:,15.0 e,14.3 e,13.9,12.7,12.5,12.1,11.5,11.4,11.1,11.5,11.1,10.8,8.5,9.0,8.2 e,:
Annual,Percentage,First quintile,European Union - 27 countries (from 2020),:,:,:,:,:,:,:,13.0 e,12.8 e,12.4 e,12.2 e,12.4 e,12.0 e,11.8 e,9.5 e,9.7 e,8.8 e,9.5 e
Annual,Percentage,First quintile,European Union - 28 countries (2013-2020),:,:,:,:,:,:,:,12.2,11.6,11.4,11.2,11.5,11.1,10.8,8.5,9.0,8.2 e,:
Annual,Percentage,First quintile,Finland,:,2.1,2.8,2.4,1.7,1.5,2.3,1.9,1.6,2.3,2.2,1.9,1.5,2.7,1.9,2.3,2.1,2.7
