Time frequency,Education indicator,Unit of measure,Geopolitical entity (reporting)\Time,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0
Annual,"Financial aid to pupils and students as % of total public expenditure on education, for all levels of education combined",Percentage,Austria,:,:,:,3.7,3.8 d,4.0 d,3.9 d,4.4 d,4.3 d,5.4 d,5.1 d,5.2,5.1,5.3,5.0,5.0,4.5
Annual,"Financial aid to pupils and students as % of total public expenditure on education, for all levels of education combined",Percentage,Belgium,:,:,:,:,4.6 d,4.2 d,3.5 d,4.8 d,4.7 d,4.7 d,4.6 d,4.3 d,4.4 d,4.1 d,4.5 d,4.4 d,4.8 d
Annual,"Financial aid to pupils and students as % of total public expenditure on education, for all levels of education combined",Percentage,French Community in Belgium including small German-speaking Community,:,:,:,:,:,:,: u,: u,: u,: u,: u,:,:,:,:,:,:
Annual,"Financial aid to pupils and students as % of total public expenditure on education, for all levels of education combined",Percentage,Flemish Community in Belgium,:,:,:,:,:,:,:,:,: u,: u,: u,:,:,:,:,:,:
Annual,"Financial aid to pupils and students as % of total public expenditure on education, for all levels of education combined",Percentage,Bulgaria,:,:,:,:,3.4 d,4.7 d,5.4 d,4.7 d,7.8 d,15.0 d,15.2 d,14.2,14.6 d,13.6 d,15.3,18.1,17.0
Annual,"Financial aid to pupils and students as % of total public expenditure on education, for all levels of education combined",Percentage,Switzerland,:,:,:,:,:,:,:,:,:,:,:,:,:,1.0,0.9,1.0,1.5
Annual,"Financial aid to pupils and students as % of total public expenditure on education, for all levels of education combined",Percentage,Cyprus,:,:,:,:,9.2 d,9.6 d,9.9 d,11.1 d,11.9 d,12.5 d,13.2 d,13.0 d,13.8 d,12.7 d,14.3 d,15.0 d,15.2 d
Annual,"Financial aid to pupils and students as % of total public expenditure on education, for all levels of education combined",Percentage,Czechia,:,:,:,:,5.1 d,5.6 d,5.6 d,5.0,4.6,4.4,4.3,3.8,3.8,4.1,4.1,3.3,2.9
Annual,"Financial aid to pupils and students as % of total public expenditure on education, for all levels of education combined",Percentage,Germany,:,:,:,:,5.6,6.1,6.6,7.4,7.5,7.7,7.9,7.9,11.0,10.3,10.9,11.3,11.3
Annual,"Financial aid to pupils and students as % of total public expenditure on education, for all levels of education combined",Percentage,Denmark,:,:,:,:,20.6 d,23.1 d,19.8 d,19.8 d,19.6 d,18.6 d,17.5 d,16.5 d,16.1,16.0,14.2,14.7,14.8
Annual,"Financial aid to pupils and students as % of total public expenditure on education, for all levels of education combined",Percentage,Estonia,:,:,:,:,2.5 d,5.7 d,5.4 d,5.9 d,3.9 d,2.5 d,4.5 d,4.3,3.6,3.8 d,4.3,4.9,4.2
