Time frequency,Household composition,Unit of measure,Geopolitical entity (reporting)\Time,2010.0,2015.0,2020.0
Annual,One adult,Percentage of households,Austria,36.1,37.2,37.7 i
Annual,One adult,Percentage of households,Belgium,33.6,34.0,34.9 i
Annual,One adult,Percentage of households,Bulgaria,:,30.3,34.7 i
Annual,One adult,Percentage of households,Cyprus,19.6,20.6,20.8 i
Annual,One adult,Percentage of households,Czechia,24.0,28.3,29.1 i
Annual,One adult,Percentage of households,Germany,38.5,39.8 i,41.7 i
Annual,One adult,Percentage of households,Denmark,45.0,43.9,44.4 i
Annual,One adult,Percentage of households,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",:,34.2 i,36.4 i
Annual,One adult,Percentage of households,Euro area – 20 countries (from 2023),:,34.1 i,36.2 i
Annual,One adult,Percentage of households,Estonia,34.6,35.6 i,42.7 i
Annual,One adult,Percentage of households,Greece,20.7,25.5,25.4 i
Annual,One adult,Percentage of households,Spain,22.6,24.8,26.3 i
Annual,One adult,Percentage of households,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",:,33.2 i,34.6 i
Annual,One adult,Percentage of households,European Union - 27 countries (from 2020),:,32.8 i,34.6 i
Annual,One adult,Percentage of households,Finland,38.8,39.7,:
Annual,One adult,Percentage of households,France,34.0,35.6,37.8 i
Annual,One adult,Percentage of households,Croatia,25.2,24.6,23.9 i
Annual,One adult,Percentage of households,Hungary,29.4,33.7,31.7 i
Annual,One adult,Percentage of households,Ireland,21.4,23.1,:
Annual,One adult,Percentage of households,Italy,31.0,:,:
Annual,One adult,Percentage of households,Lithuania,29.2,37.9,45.3 i
Annual,One adult,Percentage of households,Luxembourg,28.9,26.7,39.7 i
Annual,One adult,Percentage of households,Latvia,31.5,31.1,34.6 i
Annual,One adult,Percentage of households,Malta,20.9,25.8,27.9 i
Annual,One adult,Percentage of households,Netherlands,:,37.7,38.6 i
Annual,One adult,Percentage of households,Poland,24.8,24.2,24 i
Annual,One adult,Percentage of households,Portugal,18.5,21.6,:
Annual,One adult,Percentage of households,Romania,24.1,28.2,31.5 i
Annual,One adult,Percentage of households,Sweden,39.5,41.7,:
Annual,One adult,Percentage of households,Slovenia,27.7,29.5,30.1 i
Annual,One adult,Percentage of households,Slovakia,24.1,21.9,15.7 i
Annual,One adult,Percentage of households,United Kingdom,32.0,30.5,:
Annual,One adult with dependent children,Percentage of households,Austria,3.0,3.2,2.4 i
Annual,One adult with dependent children,Percentage of households,Belgium,6.3,6.5,6.6 i
Annual,One adult with dependent children,Percentage of households,Bulgaria,:,3.0,2.7 i
Annual,One adult with dependent children,Percentage of households,Cyprus,3.3,3.8,3 i
Annual,One adult with dependent children,Percentage of households,Czechia,4.3,3.8,4.4 i
Annual,One adult with dependent children,Percentage of households,Germany,4.6,4.9 i,4.3 i
Annual,One adult with dependent children,Percentage of households,Denmark,5.7,5.2,5 i
Annual,One adult with dependent children,Percentage of households,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",:,4.8 i,4.4 i
Annual,One adult with dependent children,Percentage of households,Euro area – 20 countries (from 2023),:,4.7 i,4.3 i
Annual,One adult with dependent children,Percentage of households,Estonia,5.1,4.2 i,4.3 i
Annual,One adult with dependent children,Percentage of households,Greece,1.3,1.8,1.4 i
Annual,One adult with dependent children,Percentage of households,Spain,2.7,3.8,3.3 i
Annual,One adult with dependent children,Percentage of households,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",:,4.3 i,4 i
Annual,One adult with dependent children,Percentage of households,European Union - 27 countries (from 2020),:,4.7 i,4 i
Annual,One adult with dependent children,Percentage of households,Finland,4.1,4.0,:
Annual,One adult with dependent children,Percentage of households,France,5.4,5.7,5.7 i
Annual,One adult with dependent children,Percentage of households,Croatia,1.8,1.8,2.2 i
Annual,One adult with dependent children,Percentage of households,Hungary,4.7,4.2,3.9 i
Annual,One adult with dependent children,Percentage of households,Ireland,8.7,7.2,:
Annual,One adult with dependent children,Percentage of households,Italy,3.2,:,:
Annual,One adult with dependent children,Percentage of households,Lithuania,5.7,6.2,6.7 i
Annual,One adult with dependent children,Percentage of households,Luxembourg,3.6,4.4,5.7 i
Annual,One adult with dependent children,Percentage of households,Latvia,6.4,5.0,5.7 i
Annual,One adult with dependent children,Percentage of households,Malta,2.6,3.9,3.5 i
Annual,One adult with dependent children,Percentage of households,Netherlands,:,4.6,3.4 i
Annual,One adult with dependent children,Percentage of households,Poland,2.4,2.1,1.6 i
Annual,One adult with dependent children,Percentage of households,Portugal,4.0,4.7,:
Annual,One adult with dependent children,Percentage of households,Romania,1.8,1.9,2.2 i
Annual,One adult with dependent children,Percentage of households,Sweden,5.7,5.4,:
Annual,One adult with dependent children,Percentage of households,Slovenia,4.3,3.8,3.7 i
Annual,One adult with dependent children,Percentage of households,Slovakia,3.0,2.4,1.9 i
Annual,One adult with dependent children,Percentage of households,United Kingdom,6.2,6.5,:
Annual,Two adults,Percentage of households,Austria,26.6,27.9,28.9 i
Annual,Two adults,Percentage of households,Belgium,27.2,27.9,28.5 i
Annual,Two adults,Percentage of households,Bulgaria,:,26.5,24.6 i
Annual,Two adults,Percentage of households,Cyprus,27.3,30.5,35.1 i
Annual,Two adults,Percentage of households,Czechia,31.7,31.1,29.2 i
Annual,Two adults,Percentage of households,Germany,30.9,31.1 i,30.3 i
Annual,Two adults,Percentage of households,Denmark,27.1,27.8,29.2 i
Annual,Two adults,Percentage of households,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",:,29.5 i,29.4 i
Annual,Two adults,Percentage of households,Euro area – 20 countries (from 2023),:,29.4 i,29.3 i
Annual,Two adults,Percentage of households,Estonia,25.9,25.4 i,25 i
Annual,Two adults,Percentage of households,Greece,27.4,28.5,28.6 i
Annual,Two adults,Percentage of households,Spain,27.8,27.7,28.4 i
Annual,Two adults,Percentage of households,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",:,28.7 i,28.6 i
Annual,Two adults,Percentage of households,European Union - 27 countries (from 2020),:,29.2 i,28.6 i
Annual,Two adults,Percentage of households,Finland,33.8,32.4,:
Annual,Two adults,Percentage of households,France,30.7,29.9,29.3 i
Annual,Two adults,Percentage of households,Croatia,25.0,24.5,25.2 i
Annual,Two adults,Percentage of households,Hungary,27.3,27.6,30 i
Annual,Two adults,Percentage of households,Ireland,25.5,25.2,:
Annual,Two adults,Percentage of households,Italy,26.1,:,:
Annual,Two adults,Percentage of households,Lithuania,22.4,24.9,22.9 i
Annual,Two adults,Percentage of households,Luxembourg,25.5,25.2,24 i
Annual,Two adults,Percentage of households,Latvia,25.2,27.4,26.4 i
Annual,Two adults,Percentage of households,Malta,25.5,27.9,29.2 i
Annual,Two adults,Percentage of households,Netherlands,:,29.5,30.9 i
Annual,Two adults,Percentage of households,Poland,21.6,24.4,24.7 i
Annual,Two adults,Percentage of households,Portugal,27.6,29.3,:
Annual,Two adults,Percentage of households,Romania,25.9,24.0,25 i
Annual,Two adults,Percentage of households,Sweden,30.0,29.1,:
Annual,Two adults,Percentage of households,Slovenia,23.9,24.2,25.7 i
Annual,Two adults,Percentage of households,Slovakia,20.4,23.7,27.6 i
Annual,Two adults,Percentage of households,United Kingdom,29.5,32.0,:
Annual,Two adults with dependent children,Percentage of households,Austria,19.2,19.2,19.5 i
Annual,Two adults with dependent children,Percentage of households,Belgium,23.3,23.4,22.4 i
Annual,Two adults with dependent children,Percentage of households,Bulgaria,:,19.3,19 i
Annual,Two adults with dependent children,Percentage of households,Cyprus,28.0,28.1,25.7 i
Annual,Two adults with dependent children,Percentage of households,Czechia,24.8,23.2,25.6 i
Annual,Two adults with dependent children,Percentage of households,Germany,18.3,18.1 i,17.5 i
Annual,Two adults with dependent children,Percentage of households,Denmark,19.9,19.9,17.2 i
Annual,Two adults with dependent children,Percentage of households,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",:,22.1 i,20.6 i
Annual,Two adults with dependent children,Percentage of households,Euro area – 20 countries (from 2023),:,22.1 i,20.6 i
Annual,Two adults with dependent children,Percentage of households,Estonia,22.8,23.1 i,20.2 i
Annual,Two adults with dependent children,Percentage of households,Greece,28.5,24.3,23.9 i
Annual,Two adults with dependent children,Percentage of households,Spain,26.2,26.3,24.1 i
Annual,Two adults with dependent children,Percentage of households,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",:,22 i,20.8 i
Annual,Two adults with dependent children,Percentage of households,European Union - 27 countries (from 2020),:,21.7 i,20.8 i
Annual,Two adults with dependent children,Percentage of households,Finland,20.2,20.6,:
Annual,Two adults with dependent children,Percentage of households,France,24.3,23.4,21.4 i
Annual,Two adults with dependent children,Percentage of households,Croatia,21.1,20.8,21.1 i
Annual,Two adults with dependent children,Percentage of households,Hungary,22.5,19.9,21.2 i
Annual,Two adults with dependent children,Percentage of households,Ireland,30.5,31.0,:
Annual,Two adults with dependent children,Percentage of households,Italy,23.3,:,:
Annual,Two adults with dependent children,Percentage of households,Lithuania,26.7,19.5,17.2 i
Annual,Two adults with dependent children,Percentage of households,Luxembourg,28.7,30.2,22.9 i
Annual,Two adults with dependent children,Percentage of households,Latvia,19.5,19.3,19.9 i
Annual,Two adults with dependent children,Percentage of households,Malta,23.6,22.2,21 i
Annual,Two adults with dependent children,Percentage of households,Netherlands,:,22.3,21.6 i
Annual,Two adults with dependent children,Percentage of households,Poland,24.8,22.8,20.8 i
Annual,Two adults with dependent children,Percentage of households,Portugal,27.6,26.2,:
