tree_id,parent_tree_id,split_from_path,root_path,n_measures
0,,,number,161
1,0.0,number > of,number > of > eea > branches,1
2,0.0,number > of,number > of > accidents > at > work > by,16
3,0.0,number > of,number > of > accounts > linked > to > cpa > categories,1
4,0.0,number > of,number > of > airports,1
5,0.0,number > of,number > of > bed > places,4
6,0.0,number > of,number > of > bovine > animals,1
7,0.0,number > of,number > of > branches > in > non > eea > countries,1
8,0.0,number > of,number > of > combined > heat > and > power > chp > units > by > type > of > plant > generation > technologies > and > primary > energy > savings > levels,1
9,0.0,number > of,number > of > compulsory > schooling > years,1
10,0.0,number > of,number > of > dairy > cows,1
11,0.0,number > of,number > of > establishments > and > bed > places,2
12,0.0,number > of,number > of > fatal > accidents > at > work > by > member > state > and > age > excluding > road > traffic > accidents > and > accidents > on > board > of > any > mean > of > transport > in > the > course > of > work,1
13,0.0,number > of,number > of > foreign > languages > known > self > reported > by,6
14,0.0,number > of,number > of > innovating > enterprises,16
15,0.0,number > of,number > of > known > species,1
16,0.0,number > of,number > of > loans > and > advances > to > customers > linked > to > cpa > categories,1
17,0.0,number > of,number > of > local > units > persons > employed > and > wages > and > salaries > by > nuts > 2 > regions,1
18,0.0,number > of,number > of > pigs,1
19,0.0,number > of,number > of > principal > ports,1
20,0.0,number > of,number > of > railway > vehicles > per > type,1
21,0.0,number > of,number > of > retail > stores > nace > rev > 2 > g47,1
22,0.0,number > of,number > of > sheep,1
23,0.0,number > of,number > of > ships > of,2
24,0.0,number > of,number > of > statistical > units,4
25,0.0,number > of,number > of > work > related > health > problems > by > diagnosis > group,2
26,0.0,number > and,number > and > average > size > of > enterprises > in > the > cultural > sectors > by > nace > rev > 2 > activity,1
27,0.0,number > and,number > and > capacity > of > recovery > and > disposal > facilities > by > nuts > 2 > regions,1
28,0.0,number > and,number > and > length > of > district > networks > by > type > of > network > and > efficiency > of > network,1
29,,,3,4
30,,,3d,2
31,,,ability,1
32,,,abortion,1
33,,,absence,4
34,,,access,1
35,,,accidental,3
36,,,accidents,23
37,36.0,accidents,accidents > at > work > by,21
38,36.0,accidents,accidents > in > inland > waterway > transport,1
39,36.0,accidents,accidents > involving > the > transport > of > dangerous > goods > annual > data,1
40,,,accommodation,1
41,,,accrued,1
42,,,acquisition,3
43,,,active,9
44,,,activities,1
45,,,activity,18
46,,,additional,1
47,,,adjusted,2
48,,,admitted,1
49,,,adult,1
50,,,age,1
51,,,aggregate,9
52,51.0,aggregate,aggregate > propensity > to > consume > by,6
53,51.0,aggregate,aggregate > replacement > ratio,3
54,,,agricultural,21
55,54.0,agricultural,agricultural > land,4
56,54.0,agricultural,agricultural > real > factor > income > per > annual > work > unit > awu,1
57,,,air,71
58,57.0,air,air > accident > victims > in,4
59,57.0,air,air > emission,2
60,57.0,air,air > emissions,7
61,57.0,air,air > pollutants,3
62,,,aircraft,1
63,,,airport,2
64,,,all,4
65,64.0,all,all > causes > of > death > by > nuts > 2 > regions,1
66,64.0,all,all > valid > permits > by,3
67,,,ammonia,2
68,,,animal,5
69,68.0,animal,animal > output > basic > and > producer > prices,1
70,,,annual,39
71,70.0,annual,annual > aquaculture > production > live > weight > in > tonnes,1
72,70.0,annual,annual > captures > of > fish > live > weight > in > tonnes > by > fishing > areas,1
73,70.0,annual,annual > data > on > employment > in > knowledge > intensive > activities > at > the > national > level > by > sex,2
74,70.0,annual,annual > expenditure > on > educational > institutions > per > pupil > student > based > on > fte > by > education > level > and > programme > orientation,1
75,70.0,annual,annual > financial > accounts > for > general > government,1
76,70.0,annual,annual > freshwater > abstraction > by > source,2
77,70.0,annual,annual > net > earnings,2
78,70.0,annual,annual > population > by > sex > age > degree > of > urbanisation > and > labour > status > 1 > 000,1
79,70.0,annual,annual > production > and > utilisation > of > milk > on > the > farm,1
80,70.0,annual,annual > work > units > in > forestry > and > logging,1
81,,,apparent,1
82,,,apple,3
83,,,applicants,1
84,,,aquaculture,4
85,,,arable,3
86,,,area,26
87,86.0,area,area > at > risk > of > severe > soil > erosion > by > water,1
88,86.0,area,area > by > nuts > 3 > region,1
89,86.0,area,area > of,4
90,89.0,area > of,area > of > the > regions > by,2
91,89.0,area > of,area > of > wooded > land,2
92,86.0,area,area > under,20
93,92.0,area > under,area > under > organic > farming,1
94,92.0,area > under,area > under > wine > grape > vine > varieties,19
95,,,arrears,9
96,,,arrivals,10
97,,,artificial,3
98,,,assumptions,9
99,,,asylum,16
100,,,at,62
101,100.0,at,at > least > upper > secondary > educational > attainment > age > group,2
102,100.0,at,at > most > lower > secondary > educational > attainment > by > age,1
103,100.0,at,at > risk > of > poverty,59
104,,,authorisations,4
105,,,autonomous,5
106,,,available,3
107,106.0,available,available > beds > in > hospitals > by > nuts > 2,2
108,106.0,available,available > energy > energy > supply > and > final > energy > consumption > per > capita,1
109,,,average,69
110,109.0,average,average > co2 > emissions > per > km > from > new > passenger > cars > source > eea > dg > clima > hidden > dat,1
111,109.0,average,average > age,5
112,109.0,average > annual,average > annual > gross > earnings > by > sex > and,3
113,109.0,average > annual,average > annual > population > to > calculate > regional > gdp > data,3
114,109.0,average,average > expenditure > per,2
115,109.0,average,average > full > time > adjusted > salary > per > employee,1
116,109.0,average,average > nominal > monthly > wages > and > salaries,1
117,109.0,average,average > remaining > maturity > of > general > government > gross > debt,1
118,109.0,average,average > remuneration > of > national > civil > servants > in > central > public > administration,1
119,109.0,average,average > rent > per > month > in > cities > by > type > of > dwelling,1
120,109.0,average,average > seniority > of > work > with > the > same > employer > and > nace > rev > 2 > activity,2
121,109.0,average,average > size > of > dwelling > by,3
122,109.0,average,average > time > between > leaving > formal > education > and > starting > the > first > job > by > age > sex > and > educational > attainment > level > for > persons > who > left > within > the > last > 3 > or > 5 > years > months,1
123,,,aviation,1
124,,,berd,9
125,124.0,berd > by,berd > by > concentration > of > personnel > ranking,1
126,124.0,berd > by,berd > by > size > class > and > source > of > funds,1
127,,,balance,19
128,127.0,balance,balance > of,18
129,128.0,balance > of,balance > of > payments,16
130,128.0,balance > of,balance > of > trade,2
131,127.0,balance,balance > sheets > for > non > financial > assets,1
132,,,balancing,1
133,,,barley,3
134,,,barriers,1
135,,,basic,2
136,,,bathing,1
137,,,batteries,1
138,,,beds,1
