tree_id,node_id,parent_id,depth,edge_label,full_path,n_children,n_terminal_here,n_measures_subtree,is_branch_point,examples
0,0,-1,0,3,3,1,0,3,False,3-month rates for euro area countries - annual data | 3-month rates for euro area countries - quarterly data | 3-month-interest rate
0,1,0,1,month,3 > month,2,0,3,True,3-month rates for euro area countries - annual data | 3-month rates for euro area countries - quarterly data | 3-month-interest rate
1,0,-1,0,rates for euro area countries,3 > month > rates > for > euro > area > countries,2,0,2,True,3-month rates for euro area countries - annual data | 3-month rates for euro area countries - quarterly data
1,1,0,1,annual data,3 > month > rates > for > euro > area > countries > annual > data,0,1,1,False,3-month rates for euro area countries - annual data
1,2,0,1,quarterly data,3 > month > rates > for > euro > area > countries > quarterly > data,0,1,1,False,3-month rates for euro area countries - quarterly data
2,0,-1,0,interest rate,3 > month > interest > rate,0,1,1,False,3-month-interest rate
3,0,-1,0,abortion,abortion,1,0,1,False,Abortion indicators
3,1,0,1,indicators,abortion > indicators,0,1,1,False,Abortion indicators
4,0,-1,0,access,access,1,0,1,False,Access to basic services and housing
4,1,0,1,to basic services and housing,access > to > basic > services > and > housing,0,1,1,False,Access to basic services and housing
5,0,-1,0,accidental,accidental,1,0,1,False,Accidental injuries at work in by sex
5,1,0,1,injuries at work in by sex,accidental > injuries > at > work > in > by > sex,0,1,1,False,Accidental injuries at work in by sex
6,0,-1,0,accidents,accidents,2,0,2,True,Accidents in inland waterway transport | Accidents involving the transport of dangerous goods - annual data
7,0,-1,0,in inland waterway transport,accidents > in > inland > waterway > transport,0,1,1,False,Accidents in inland waterway transport
8,0,-1,0,involving the transport of dangerous goods annual data,accidents > involving > the > transport > of > dangerous > goods > annual > data,0,1,1,False,Accidents involving the transport of dangerous goods - annual data
9,0,-1,0,accommodation,accommodation,1,0,1,False,Accommodation establishments
9,1,0,1,establishments,accommodation > establishments,0,1,1,False,Accommodation establishments
10,0,-1,0,acquisition,acquisition,1,0,1,False,Acquisition of citizenship
10,1,0,1,of citizenship,acquisition > of > citizenship,0,1,1,False,Acquisition of citizenship
11,0,-1,0,activity,activity,2,0,3,True,Activity rate by sex | Activity rates 15-64 years old by sex | Activity rates by sex and age
11,1,0,1,rate by sex,activity > rate > by > sex,0,1,1,False,Activity rate by sex
11,2,0,1,rates,activity > rates,2,0,2,True,Activity rates 15-64 years old by sex | Activity rates by sex and age
11,3,2,2,15 64 years old by sex,activity > rates > 15 > 64 > years > old > by > sex,0,1,1,False,Activity rates 15-64 years old by sex
11,4,2,2,by sex and age,activity > rates > by > sex > and > age,0,1,1,False,Activity rates by sex and age
12,0,-1,0,additional,additional,1,0,1,False,Additional indicators
12,1,0,1,indicators,additional > indicators,0,1,1,False,Additional indicators
13,0,-1,0,adjusted,adjusted,1,0,2,False,Adjusted gross disposable income of households per capita | Adjusted gross disposable income of households per capita in PPS
13,1,0,1,gross disposable income of households per capita,adjusted > gross > disposable > income > of > households > per > capita,1,1,2,False,Adjusted gross disposable income of households per capita | Adjusted gross disposable income of households per capita in PPS
13,2,1,2,in pps,adjusted > gross > disposable > income > of > households > per > capita > in > pps,0,1,1,False,Adjusted gross disposable income of households per capita in PPS
14,0,-1,0,adult,adult,1,0,1,False,Adult participation in learning in the past four weeks by sex
14,1,0,1,participation in learning in the past four weeks by sex,adult > participation > in > learning > in > the > past > four > weeks > by > sex,0,1,1,False,Adult participation in learning in the past four weeks by sex
15,0,-1,0,age,age,1,0,1,False,Age at which the person first received an old-age pension (years)
15,1,0,1,at which the person first received an old age pension years,age > at > which > the > person > first > received > an > old > age > pension > years,0,1,1,False,Age at which the person first received an old-age pension (years)
16,0,-1,0,aggregate,aggregate,2,0,7,True,Aggregate propensity to consume by activity status of the reference person - experimental statistics | Aggregate propensity to consume by degree of urbanisation - experimental statistics | Aggregate propensity to consume by household type - experimental statistics
17,0,-1,0,propensity to consume by,aggregate > propensity > to > consume > by,4,0,4,True,Aggregate propensity to consume by activity status of the reference person - experimental statistics | Aggregate propensity to consume by degree of urbanisation - experimental statistics | Aggregate propensity to consume by household type - experimental statistics
17,1,0,1,activity status of the reference person experimental statistics,aggregate > propensity > to > consume > by > activity > status > of > the > reference > person > experimental > statistics,0,1,1,False,Aggregate propensity to consume by activity status of the reference person - experimental statistics
17,2,0,1,degree of urbanisation experimental statistics,aggregate > propensity > to > consume > by > degree > of > urbanisation > experimental > statistics,0,1,1,False,Aggregate propensity to consume by degree of urbanisation - experimental statistics
17,3,0,1,household type experimental statistics,aggregate > propensity > to > consume > by > household > type > experimental > statistics,0,1,1,False,Aggregate propensity to consume by household type - experimental statistics
17,4,0,1,income quintile experimental statistics,aggregate > propensity > to > consume > by > income > quintile > experimental > statistics,0,1,1,False,Aggregate propensity to consume by income quintile - experimental statistics
18,0,-1,0,replacement ratio,aggregate > replacement > ratio,1,1,3,False,Aggregate replacement ratio | Aggregate replacement ratio for pensions (excluding other social benefits) by sex | Aggregate replacement ratio for pensions (excluding other social benefits) by sex - EU-SILC survey
18,1,0,1,for pensions excluding other social benefits by sex,aggregate > replacement > ratio > for > pensions > excluding > other > social > benefits > by > sex,1,1,2,False,Aggregate replacement ratio for pensions (excluding other social benefits) by sex | Aggregate replacement ratio for pensions (excluding other social benefits) by sex - EU-SILC survey
18,2,1,2,eu silc survey,aggregate > replacement > ratio > for > pensions > excluding > other > social > benefits > by > sex > eu > silc > survey,0,1,1,False,Aggregate replacement ratio for pensions (excluding other social benefits) by sex - EU-SILC survey
19,0,-1,0,agricultural,agricultural,3,0,9,True,Agricultural holdings by age of holder | Agricultural holdings by age of manager | Agricultural holdings by agricultural area
20,0,-1,0,holdings,agricultural > holdings,2,0,6,True,Agricultural holdings by age of holder | Agricultural holdings by age of manager | Agricultural holdings by agricultural area
20,1,0,1,by,agricultural > holdings > by,4,0,5,True,Agricultural holdings by age of holder | Agricultural holdings by age of manager | Agricultural holdings by agricultural area
20,2,1,2,age of,agricultural > holdings > by > age > of,2,0,2,True,Agricultural holdings by age of holder | Agricultural holdings by age of manager
20,3,2,3,holder,agricultural > holdings > by > age > of > holder,0,1,1,False,Agricultural holdings by age of holder
20,4,2,3,manager,agricultural > holdings > by > age > of > manager,0,1,1,False,Agricultural holdings by age of manager
20,5,1,2,agricultural area,agricultural > holdings > by > agricultural > area,0,1,1,False,Agricultural holdings by agricultural area
20,6,1,2,crops,agricultural > holdings > by > crops,0,1,1,False,Agricultural holdings by crops
20,7,0,1,with livestock,agricultural > holdings > with > livestock,0,1,1,False,Agricultural holdings with livestock
