code,measure
aei_pestsal_rsk,Pesticide sales by categorisation of active substances
apri_lprc_h,Agricultural land prices by region - historical data (until
apri_lrnt_h,Agricultural land renting prices for one year by region - historical data (until
apri_pi95_vwia,Weights of purchase prices of the means of agricultural production - survey
apri_pi95_vwpa,Weights of producer prices of agricultural products - survey
apro_ec_egghen,Production of eggs for consumption and number of laying hens
apro_ec_lshen,Laying hens population - annual data
apro_mk_fatprot,Fat contents and protein contents (cow's milk) - annual data
apro_mt_lsequi,Equidae - annual data
apro_mt_ppighq,Production forecasts for pigs – thousand heads – quarterly data
avia_ec_emp_arp,Persons employed in main airports by sex
avia_ec_emp_ent,Persons employed in aviation and airport enterprises by sex
avia_ec_enterp,Aviation and airport enterprises
avia_eq_arc_age,Commercial aircraft fleet by age of aircraft and country of operator
avia_eq_arc_agereg,Commercial aircraft fleet by age of aircraft and country of registration
avia_if_arp,Commercial airports by type
avia_tpgo,Freight and mail air transport over national territory (including territorial sea) - million tonne-km
avia_tppa,Passenger air transport over national territory (including territorial sea) - million passenger-km
bd_size$dv_1502,Business demography by size class and NACE Rev. 2 activity
bop_its_str,International trade in services - market integration indicators - historical data
bs_bs10_00,Turnover by client specialisation and employment size class
bs_bs11_00,Turnover by client specialisation and product specialisation
bs_bs13_04,Turnover by type of media for advertising services
bs_bs14_04,Income from intellectual property rights for computer services
bs_bs16_04,Purchases of advertising space or time for resale
bs_bs1_00,Turnover by product specialisation for div. 72
bs_bs2_00,Turnover by product specialisation and employment size class for group 72.2
bs_bs4_06,Turnover by residence of client and economic activity
bs_bs5_00,Turnover by type of client and NACE Rev.1 at 3-digit level
bs_bs5_04,Number of enterprises carrying out cross border trade by employment size class
bs_bs6_00,Turnover by type of client and employment size class
bs_bs6_04,Number of enterprises carrying out cross border trade by type of cross border trade and employment size class
bs_bs7_00,Turnover by nationality of client and NACE Rev.1 at 3-digit level
bs_bs7_04,Number of enterprises carrying out cross border trade by reasons for cross border trade and employment size class
bs_bs8_00,Turnover by nationality of client and employment size class
bs_bs9_00,Turnover by client specialisation and NACE Rev.1 at 3-digit level
cei_cie011,Persons employed in circular economy sectors
