tree_id,n_measures,n_domains,majority_domain,purity
957,12,1,"People, Work & Living Conditions",1.0
96,5,1,Living Well,1.0
965,1,1,Learning & Education,1.0
966,1,1,"People, Work & Living Conditions",1.0
967,1,1,"People, Work & Living Conditions",1.0
969,2,1,Learning & Education,1.0
971,12,1,Learning & Education,1.0
973,1,1,Living Well,1.0
976,10,1,Transports,1.0
977,1,1,Transports,1.0
978,5,1,Transports,1.0
979,1,1,Transports,1.0
981,1,1,Transports,1.0
982,1,1,Tech & Innovation,1.0
985,1,1,Environment & Natural Resources and Production,1.0
989,9,2,"People, Work & Living Conditions",0.8888888888888888
99,9,1,"People, Work & Living Conditions",1.0
993,1,1,Health & Safety,1.0
994,9,3,"People, Work & Living Conditions",0.5555555555555556
996,1,1,Living Well,1.0
997,1,1,Tech & Innovation,1.0
998,1,1,Tech & Innovation,1.0
999,1,1,Environment & Natural Resources and Production,1.0
