domain,code,measure
Environment & Natural Resources and Production,aei_pestsal_rsk,Pesticide sales by categorisation of active substances
Environment & Natural Resources and Production,apri_lprc_h,Agricultural land prices by region - historical data (until
Environment & Natural Resources and Production,apri_lrnt_h,Agricultural land renting prices for one year by region - historical data (until
Environment & Natural Resources and Production,apri_pi95_vwia,Weights of purchase prices of the means of agricultural production - survey
Environment & Natural Resources and Production,apri_pi95_vwpa,Weights of producer prices of agricultural products - survey
Environment & Natural Resources and Production,apro_ec_egghen,Production of eggs for consumption and number of laying hens
Environment & Natural Resources and Production,apro_ec_lshen,Laying hens population - annual data
Environment & Natural Resources and Production,apro_mk_fatprot,Fat contents and protein contents (cow's milk) - annual data
Environment & Natural Resources and Production,apro_mt_lsequi,Equidae - annual data
Environment & Natural Resources and Production,apro_mt_ppighq,Production forecasts for pigs – thousand heads – quarterly data
Environment & Natural Resources and Production,cei_gsr011,Greenhouse gases emissions from production activities
Environment & Natural Resources and Production,cei_gsr020,self-sufficiency for raw materials
Environment & Natural Resources and Production,cei_pc020,Material footprint
Environment & Natural Resources and Production,cei_pc030,Resource productivity
Environment & Natural Resources and Production,cei_pc031,Generation of municipal waste per capita
Environment & Natural Resources and Production,cei_pc032,Generation of waste excluding major mineral wastes per GDP unit
Environment & Natural Resources and Production,cei_pc034,Waste generation per capita
Environment & Natural Resources and Production,cei_pc035,Food waste
Environment & Natural Resources and Production,cei_pc040,Generation of packaging waste per capita
Environment & Natural Resources and Production,cei_pc050,Generation of plastic packaging waste per capita
Environment & Natural Resources and Production,cei_srm010,Contribution of recycled materials to raw materials demand - end-of-life recycling input rates (EOL-RIR)
Environment & Natural Resources and Production,cei_wm010,Recycling rate of all waste excluding major mineral waste
Environment & Natural Resources and Production,cei_wm011,Recycling rate of municipal waste
Environment & Natural Resources and Production,cei_wm020,Recycling rate of packaging waste by type of packaging
Environment & Natural Resources and Production,cei_wm060,Recycling rate of waste of electrical and electronic equipment (WEEE) separately collected
Environment & Natural Resources and Production,egi_co2_1,CO2 emissions from the production and consumption (footprint) perspectives (FIGARO application)
Environment & Natural Resources and Production,enpe_apro_cpnh1,Crop production
Environment & Natural Resources and Production,enpe_apro_mt_ls,Livestock
Environment & Natural Resources and Production,enpe_apro_mt_p,Meat production
Environment & Natural Resources and Production,enpe_ef_lus_main,Main farm land use
Environment & Natural Resources and Production,enpe_fish_ca_main,Fish catches
Environment & Natural Resources and Production,enpe_reg_area3,area
Environment & Natural Resources and Production,enps_apro_cpnh1,Crop production
Environment & Natural Resources and Production,enps_apro_mt_ls,Livestock
Environment & Natural Resources and Production,enps_apro_mt_p,Meat production
Environment & Natural Resources and Production,enps_ef_lus_main,Main farm land use
Environment & Natural Resources and Production,enps_env_air_emis,Air pollutants
Environment & Natural Resources and Production,enps_env_wasacc,Population served by municipal waste
Environment & Natural Resources and Production,enps_env_wasgenh,Generation of waste by households
Environment & Natural Resources and Production,enps_env_wasgenm,Municipal waste generated
Environment & Natural Resources and Production,enps_env_wasgenp,Municipal waste per inhabitant
Environment & Natural Resources and Production,enps_env_wastrt,Treatment of municipal waste
Environment & Natural Resources and Production,enps_env_wat_abs,Annual freshwater abstraction by source
