measure,domain
3-month rates for euro area countries - annual data,Money & Markets
3-month rates for euro area countries - quarterly data,Money & Markets
3-month-interest rate,Money & Markets
Abortion indicators,Health & Safety
Access to basic services and housing,"People, Work & Living Conditions"
Accidental injuries at work in by sex,Health & Safety
Accidents in inland waterway transport,Transports
Accidents involving the transport of dangerous goods - annual data,Transports
Accommodation establishments,Living Well
Acquisition of citizenship,"People, Work & Living Conditions"
Activity rate by sex,"People, Work & Living Conditions"
Activity rates 15-64 years old by sex,"People, Work & Living Conditions"
Activity rates by sex and age,"People, Work & Living Conditions"
Additional indicators,"People, Work & Living Conditions"
Adjusted gross disposable income of households per capita,"People, Work & Living Conditions"
Adjusted gross disposable income of households per capita in PPS,"People, Work & Living Conditions"
Adult participation in learning in the past four weeks by sex,Learning & Education
Age at which the person first received an old-age pension (years),"People, Work & Living Conditions"
Aggregate propensity to consume by activity status of the reference person - experimental statistics,"People, Work & Living Conditions"
Aggregate propensity to consume by degree of urbanisation - experimental statistics,"People, Work & Living Conditions"
Aggregate propensity to consume by household type - experimental statistics,"People, Work & Living Conditions"
Aggregate propensity to consume by income quintile - experimental statistics,"People, Work & Living Conditions"
Aggregate replacement ratio,"People, Work & Living Conditions"
Aggregate replacement ratio for pensions (excluding other social benefits) by sex,"People, Work & Living Conditions"
Aggregate replacement ratio for pensions (excluding other social benefits) by sex - EU-SILC survey,"People, Work & Living Conditions"
Agricultural holdings by age of holder,Environment & Natural Resources and Production
Agricultural holdings by age of manager,Environment & Natural Resources and Production
Agricultural holdings by agricultural area,Environment & Natural Resources and Production
Agricultural holdings by crops,Environment & Natural Resources and Production
Agricultural holdings with livestock,Environment & Natural Resources and Production
Agricultural holdings by economic size of the farm (Standard Output in Euro),Environment & Natural Resources and Production
Agricultural land prices by region - historical data (until,Environment & Natural Resources and Production
Agricultural land renting prices for one year by region - historical data (until,Environment & Natural Resources and Production
Agricultural real factor income per annual work unit (AWU),Money & Markets
Air passenger transport,Transports
Air transport equipment: number of aircrafts,Transports
Air transport infrastructure: airports,Transports
Air transport infrastructure: length of paved runways,Transports
Air transport of goods by country (yearly data),Transports
Air transport traffic: freight and passengers,Transports
Air transport traffic: number of aircraft movements,Transports
Air emission intensity from industry,Environment & Natural Resources and Production
Air emissions per sector and per gas,Environment & Natural Resources and Production
Air pollutants,Environment & Natural Resources and Production
Air transport of freight by NUTS 2 regions,Transports
Air transport of passengers by NUTS 2 regions,Transports
Air transport of passengers by country (yearly data),Transports
Air transport of passengers by country and type of transport (monthly data),Transports
All valid permits by reason on 31 December of each year,Environment & Natural Resources and Production
Ammonia emissions from agriculture,Environment & Natural Resources and Production
Ammonia emissions from agriculture - % of total emissions,Environment & Natural Resources and Production
Animal output - basic and producer prices,Money & Markets
Annual aquaculture production - live weight in tonnes,Environment & Natural Resources and Production
Annual captures of fish - live weight in tonnes - by fishing areas,Environment & Natural Resources and Production
"Annual earnings by economic control (enterprises with 10 employed persons or more) - NACE Rev. 1.1, C-O excluding L","People, Work & Living Conditions"
"Annual earnings by economic control (enterprises with 10 employed persons or more) - NACE Rev. 2, B-S excluding O","People, Work & Living Conditions"
"Annual earnings by quantiles and contractual working time (enterprises with 10 employed persons or more) - NACE Rev. 1.1, C-O excluding L","People, Work & Living Conditions"
"Annual earnings by quantiles and contractual working time (enterprises with 10 employed persons or more) - NACE Rev. 2, B-S excluding O","People, Work & Living Conditions"
Annual freshwater abstraction by source,Environment & Natural Resources and Production
Annual net earnings of a full-time single worker without children earning an average wage,"People, Work & Living Conditions"
Annual production and utilisation of milk on the farm,Environment & Natural Resources and Production
Annual work units in forestry and logging,Environment & Natural Resources and Production
Apparent cost of general government gross debt,Money & Markets
Applicants having benefited from material reception conditions at the end of the reference year - annual data,"People, Work & Living Conditions"
Aquaculture production by aquatic environment,Environment & Natural Resources and Production
Aquaculture production in tonnes and value,Environment & Natural Resources and Production
Area at risk of severe soil erosion by water,Environment & Natural Resources and Production
Area of wooded land FE),Environment & Natural Resources and Production
Area under organic farming,Environment & Natural Resources and Production
Area under wine-grape vine varieties broken down by vine variety and by age of the vines -,Environment & Natural Resources and Production
area by species (area in ha),Environment & Natural Resources and Production
"Arrears (mortgage or rent, utility bills or hire purchase) by NUTS regions",Money & Markets
Arrears on non-housing bills by income quintile,"People, Work & Living Conditions"
Arrears on non-housing bills by risk of poverty threshold,"People, Work & Living Conditions"
Arrivals at tourism accommodation establishments by type of accommodation,Living Well
Arrivals by type of accommodation,Living Well
Arrivals of non-residents at hotels and similar accomodation establishments,Living Well
Arrivals of residents/non-residents at tourist accommodation establishments,Living Well
Arrivals of tourists at the border,Living Well
Asylum applicants by type - annual aggregated data,"People, Work & Living Conditions"
Asylum applicants by type - monthly data,"People, Work & Living Conditions"
"Asylum applicants by type, citizenship, age and sex - annual aggregated data","People, Work & Living Conditions"
Asylum applicants considered to be unaccompanied minors - annual data,"People, Work & Living Conditions"
"Asylum applicants having had their applications processed under the accelerated procedure, by age, sex and citizenship - monthly data","People, Work & Living Conditions"
Asylum applications by state of procedure,"People, Work & Living Conditions"
"Asylum applications withdrawn by citizenship, age, sex and type of withdrawal - annual aggregated data","People, Work & Living Conditions"
Asylum decisions at final instance by type of decision - % of total decisions at final instance,"People, Work & Living Conditions"
Asylum decisions at first instance by type of decision - % of total decisions at first instance,"People, Work & Living Conditions"
"At least upper secondary educational attainment, age group 20-24 by sex",Learning & Education
"At least upper secondary educational attainment, age group 25-64 by sex",Learning & Education
At most lower secondary educational attainment by age,Learning & Education
At risk of poverty or social exclusion rate for elderly (65+),"People, Work & Living Conditions"
At risk-of-poverty rate for the population living in (quasi-)jobless households,"People, Work & Living Conditions"
