domain,code,title
General and regional statistics,teibs020,Confidence indicators by sector
General and regional statistics,teibs010,Economic sentiment indicator
General and regional statistics,teibs040,Employment expectations by sectors
General and regional statistics,teibs030,Employment expectations indicator
General and regional statistics,ei_bsci_m_r2,Euro area business climate indicator - monthly data
General and regional statistics,tec00115,Real GDP growth rate - volume
General and regional statistics,tec00001,Gross domestic product at market prices
General and regional statistics,tec00013,Compensation of employees
General and regional statistics,tec00010,Final consumption expenditure of general government
General and regional statistics,tet00004,Imports of goods and services in % of GDP
General and regional statistics,tet00003,Exports of goods and services in % of GDP
General and regional statistics,tec00011,Gross fixed capital formation (investments)
General and regional statistics,tec00110,"Goods and services, imports and exports"
General and regional statistics,tec00009,Final consumption expenditure of households and non-profit institutions serving households
General and regional statistics,tai10,Estimated soil loss by water erosion by land cover type
General and regional statistics,tai11,Share of landcover types affected by severe erosion
General and regional statistics,tps00003,Population density
General and regional statistics,educ_uoe_enrt05,Ratio of the proportion of tertiary students over the proportion of the population by NUTS 1 and NUTS 2 region
General and regional statistics,educ_uoe_enra17,Pupils from age 4 to the starting age of compulsory education at primary level by NUTS 2 region - % of the population of the corresponding age
General and regional statistics,educ_uoe_enra22,Pupils from age 3 to the starting age of compulsory education at primary level by NUTS 2 region - % of the population of the corresponding age
General and regional statistics,tps00202,Suicide death rate by age group
General and regional statistics,tps00134,"Death due to diseases of the nervous system, by sex"
General and regional statistics,tps00165,"Death due to transport accidents, by sex"
General and regional statistics,tps00149,"Death due to drugs dependence, by sex"
General and regional statistics,tps00146,"Death due to homicide, assault, by sex"
General and regional statistics,tps00122,"Death due to suicide, by sex"
General and regional statistics,tps00152,"Causes of death, by sex"
General and regional statistics,tps00131,"Death due to chronic liver disease, by sex"
General and regional statistics,tps00143,"Death due to AIDS (HIV-disease), by sex"
General and regional statistics,tps00140,"Death due to alcoholic abuse, by sex"
General and regional statistics,tps00125,"Death due to accidents, by sex"
General and regional statistics,tps00137,"Death due to diabetes mellitus, by sex"
General and regional statistics,tps00119,"Death due to other ischaemic heart diseases, by sex"
General and regional statistics,sdg_03_41,"Standardised death rate due to tuberculosis, HIV and hepatitis by type of disease"
