"title"	"code"	"type"	"last update of data"	"last table structure change"	"data start"	"data end"	"values"
"                Service producer prices index - quarterly data"	"ei_isppi_q"	"table"	"08.08.2026"	"18.07.2026"	"1996-Q1"	"2026-Q2"	19874
"                Service producer prices growth rates - quarterly data"	"ei_isppe_q"	"table"	"08.08.2026"	"18.07.2026"	"1996-Q1"	"2026-Q2"	27211
"                Energy - monthly data"	"ei_isen_m"	"table"	"14.08.2026"	"06.08.2026"	"2008-01"	"2026-07"	96476
"                Production in services growth rates by NACE Rev. 2 activity - monthly data"	"ei_isspr_m"	"table"	"14.08.2026"	"14.08.2026"	"2000-02"	"2026-06"	52360
"                Production in services index by NACE Rev. 2 activity - monthly data"	"ei_issp_m"	"table"	"14.08.2026"	"14.08.2026"	"2000-01"	"2026-06"	79183
"                Production in services index by NACE Rev. 2 activity - quarterly data"	"ei_issp_q"	"table"	"14.08.2026"	"14.08.2026"	"2000-Q1"	"2026-Q2"	17050
"            International trade"	"ei_et"	"folder"	" "	" "	" "	" "	
"                EU27 (from 2020) international trade - monthly data"	"ei_eteu27_2020_m"	"table"	"14.08.2026"	"14.08.2026"	"2002-01"	"2026-06"	3259648
"                Euro area international trade - monthly data"	"ei_etea_m"	"table"	"14.08.2026"	"14.08.2026"	"2002-01"	"2026-06"	1099562
"            Labour market"	"ei_lm"	"folder"	" "	" "	" "	" "	
"                Unemployment (1 000) - monthly data"	"ei_lmhu_m"	"table"	"12.08.2026"	"12.08.2026"	"1983-01"	"2026-07"	260613
"                Unemployment rate (%) - monthly data"	"ei_lmhr_m"	"table"	"12.08.2026"	"12.08.2026"	"1983-01"	"2026-07"	257175
"                Labour cost index, nominal value - quarterly data"	"ei_lmlc_q"	"table"	"16.06.2026"	"21.05.2026"	"1996-Q1"	"2026-Q1"	2264933
"                Job vacancy rate - quarterly data"	"ei_lmjv_q_r2"	"table"	"20.03.2026"	"19.02.2026"	"2001-Q1"	"2025-Q4"	103909
"            Monetary and financial indicators"	"ei_mf"	"folder"	" "	" "	" "	" "	
"                Interest rates - monthly data"	"ei_mfir_m"	"table"	"13.08.2026"	"13.08.2026"	"1980-01"	"2026-07"	22272
"                Euro/Ecu exchange rates - monthly data"	"ei_mfrt_m"	"table"	"12.08.2026"	"01.08.2026"	"1999-01"	"2026-07"	11464
"                Effective exchange rates indices - monthly data"	"ei_mfef_m"	"table"	"08.08.2026"	"08.08.2026"	"1999-01"	"2026-06"	59400
"            National accounts"	"ei_qna"	"folder"	" "	" "	" "	" "	
"                Main GDP aggregates"	"ei_namq_10_ma"	"folder"	" "	" "	" "	" "	
"                    Gross domestic product (GDP) and main components (output, expenditure and income) - quarterly data"	"namq_10_gdp"	"dataset"	"14.08.2026"	"29.07.2026"	"1978-Q1"	"2026-Q2"	8242708
"                    Household final consumption expenditure by durability - quarterly data"	"namq_10_fcs"	"dataset"	"14.08.2026"	"30.07.2026"	"1978-Q1"	"2026-Q2"	1105997
"                    Exports and imports by counterpart area - quarterly data"	"namq_10_exi"	"dataset"	"14.08.2026"	"30.07.2026"	"1978-Q1"	"2026-Q2"	691704
"                Basic breakdowns of main GDP aggregates and employment (by industry and assets)"	"ei_namq_10_bbr"	"folder"	" "	" "	" "	" "	
"                    Gross value added and income by main industry (NACE Rev.2 ) - quarterly data"	"namq_10_a10"	"dataset"	"14.08.2026"	"30.07.2026"	"1978-Q1"	"2026-Q2"	5999992
