"title"	"code"	"type"	"last update of data"	"last table structure change"	"data start"	"data end"	"values"
"                            Share of people living in under-occupied dwellings by household type and income quintile - total population"	"ilc_lvho50b"	"dataset"	"08.06.2026"	"17.07.2026"	"2003"	"2025"	44466
"                            Share of people living in under-occupied dwellings by tenure status - total population"	"ilc_lvho50c"	"dataset"	"06.05.2026"	"30.04.2026"	"2003"	"2025"	2481
"                            Share of people living in under-occupied dwellings by degree of urbanisation - total population"	"ilc_lvho50d"	"dataset"	"06.07.2026"	"30.04.2026"	"2003"	"2025"	2334
"                        Housing cost burden"	"ilc_lvho_hc"	"folder"	" "	" "	" "	" "	
"                            Housing cost overburden rate by age, sex and poverty status"	"ilc_lvho07a"	"dataset"	"08.06.2026"	"21.05.2026"	"2003"	"2025"	126094
"                            Housing cost overburden rate by income quintile"	"ilc_lvho07b"	"dataset"	"08.06.2026"	"27.07.2026"	"2003"	"2025"	4936
"                            Housing cost overburden rate by tenure status"	"ilc_lvho07c"	"dataset"	"08.06.2026"	"30.04.2026"	"2003"	"2025"	3906
"                            Housing cost overburden rate by degree of urbanisation"	"ilc_lvho07d"	"dataset"	"06.07.2026"	"30.04.2026"	"2003"	"2025"	2311
"                            Housing cost overburden rate by household type"	"ilc_lvho07e"	"dataset"	"06.07.2026"	"18.05.2026"	"2003"	"2025"	14653
"                            Housing cost overburden rate by NUTS 2 region"	"ilc_lvho07_r"	"dataset"	"08.07.2026"	"08.07.2026"	"2021"	"2025"	1612
"                            Median of the housing cost burden distribution by age, sex and poverty status"	"ilc_lvho08a"	"dataset"	"08.06.2026"	"21.05.2026"	"2003"	"2025"	29144
"                            Median of the housing cost burden distribution by degree of urbanisation"	"ilc_lvho08b"	"dataset"	"06.07.2026"	"30.04.2026"	"2003"	"2025"	2286
"                            Housing cost overburden rate by age, sex and group of citizenship (total population aged 18 and over)"	"ilc_lvho25"	"dataset"	"08.06.2026"	"30.04.2026"	"2003"	"2025"	115948
"                            Housing cost overburden rate by age, sex and group of country of birth (total population aged 18 and over)"	"ilc_lvho26"	"dataset"	"08.06.2026"	"30.04.2026"	"2003"	"2025"	139576
"                            Distribution of population by housing cost burden and sex"	"ilc_lvho27"	"dataset"	"08.06.2026"	"21.05.2026"	"2003"	"2025"	12195
"                            Distribution of population by housing cost burden and tenure status"	"ilc_lvho28"	"dataset"	"08.06.2026"	"22.05.2026"	"2003"	"2025"	15580
"                            Distribution of population by housing cost burden and degree of urbanisation"	"ilc_lvho29"	"dataset"	"06.07.2026"	"22.05.2026"	"2003"	"2025"	11475
"                            Distribution of population by housing cost burden and household type"	"ilc_lvho30"	"dataset"	"08.06.2026"	"22.05.2026"	"2003"	"2025"	16200
"                        Distribution of population by degree of urbanisation, dwelling type and income group"	"ilc_lvho01"	"dataset"	"06.07.2026"	"21.05.2026"	"2003"	"2025"	74984
"                        Distribution of population by tenure status, type of household and income group"	"ilc_lvho02"	"dataset"	"08.06.2026"	"11.06.2026"	"2003"	"2025"	285600
"                        Average number of rooms per person by tenure status and dwelling type from 2003 onwards"	"ilc_lvho03"	"dataset"	"06.05.2026"	"30.04.2026"	"2003"	"2025"	8884
"                        Average number of rooms per person by tenure status and dwelling type until 2001"	"ilc_lvho03h"	"dataset"	"04.11.2009"	"21.12.2023"	"1994"	"2001"	1691
"                        Average number of rooms per person by type of household and income group from 2003"	"ilc_lvho04"	"dataset"	"08.06.2026"	"21.05.2026"	"2003"	"2025"	41890
"                        Average number of rooms per person by degree of urbanization"	"ilc_lvho04d"	"dataset"	"06.07.2026"	"30.04.2026"	"2003"	"2025"	3104
"                        Average number of rooms per person by type of household and income group until 2001"	"ilc_lvho04h"	"dataset"	"04.11.2009"	"13.08.2026"	"1994"	"2001"	6667
"                        Average number of rooms per person by NUTS 2 region"	"ilc_lvho04n"	"dataset"	"08.07.2026"	"08.07.2026"	"2003"	"2025"	4637
"                        Average size of dwelling by household composition and degree of urbanisation"	"ilc_lvho31"	"dataset"	"13.05.2026"	"13.05.2026"	"2023"	"2023"	1278
"                        Average size of dwelling by income quintile and tenure status"	"ilc_lvho32"	"dataset"	"13.05.2026"	"13.05.2026"	"2023"	"2023"	1013
"                    Childcare arrangements"	"ilc_ca"	"folder"	" "	" "	" "	" "	
"                        Children in formal childcare or education by age group and duration - % over the population of each age group"	"ilc_caindformal"	"dataset"	"08.07.2026"	"30.04.2026"	"2005"	"2025"	6453
"                            Formal child care by duration and age group"	"tps00185"	"table"	"08.07.2026"	"30.04.2026"	"2014"	"2025"	2592
"                        Children in formal childcare or education by age group, duration and risk of poverty or social exclusion"	"ilc_caindform25"	"dataset"	"08.06.2026"	"30.04.2026"	"2015"	"2025"	11908
"                        Children in formal childcare or education by age group, duration and risk of poverty or social exclusion - % of children in the respective at risk of poverty or social exclusion situation"	"ilc_caindform25b"	"dataset"	"08.06.2026"	"30.04.2026"	"2015"	"2025"	14169
"                        Children in formal childcare or education by age group, duration and income quintile"	"ilc_caindform25q"	"dataset"	"08.06.2026"	"30.04.2026"	"2015"	"2025"	22768
"                        Average number of weekly hours of formal care by age group - children with or without formal care"	"ilc_camnforall"	"dataset"	"06.05.2026"	"30.04.2026"	"2005"	"2025"	2342
"                        Average number of weekly hours of formal care by age group - children with at least 1 hour of formal care"	"ilc_camnforg0"	"dataset"	"06.05.2026"	"30.04.2026"	"2005"	"2025"	2339
"                        Median number of weekly hours of formal care by age group - children with at least 1 hour of formal care"	"ilc_camdforg0"	"dataset"	"06.05.2026"	"30.04.2026"	"2005"	"2025"	2341
"                        Other types of childcare by age group and duration - % over the population of each age group"	"ilc_caindother"	"dataset"	"06.05.2026"	"30.04.2026"	"2005"	"2025"	6956
"                        Average number of weekly hours of other types of care by age group - children with or without other types of care"	"ilc_camnothall"	"dataset"	"06.05.2026"	"30.04.2026"	"2005"	"2025"	2342
"                        Average number of weekly hours of other types of care by age group - children with at least one hour of other types of care"	"ilc_camnothg0"	"dataset"	"06.05.2026"	"30.04.2026"	"2005"	"2025"	2296
"                        Median number of weekly hours of other types of care by age group - children with at least one hour of other types of care"	"ilc_camdothg0"	"dataset"	"06.05.2026"	"30.04.2026"	"2005"	"2025"	2296
"                        Children cared only by their parents by age group - % over the population of each age group"	"ilc_caparents"	"dataset"	"06.05.2026"	"30.04.2026"	"2005"	"2025"	2052
"                    Children's living conditions"	"ilc_chg"	"folder"	" "	" "	" "	" "	
"                        Children with at least one parent born outside the EU by at risk of poverty or social exclusion situation (population aged 0-17)"	"ilc_chg01"	"dataset"	"08.06.2026"	"30.04.2026"	"2015"	"2025"	1131
"                        Children living in single-parent households by at risk of poverty or social exclusion situation (population aged 0-17)"	"ilc_chg02"	"dataset"	"08.06.2026"	"30.04.2026"	"2015"	"2025"	1134
"                        Children with at least one parent with disability by at risk of poverty or social exclusion situation (population aged 0-17)"	"ilc_chg03"	"dataset"	"22.07.2026"	"30.04.2026"	"2015"	"2025"	1116
"                        Children living in households facing housing cost overburden by at risk of poverty or social exclusion situation (population aged 0-17)"	"ilc_chg04"	"dataset"	"08.06.2026"	"30.04.2026"	"2015"	"2025"	1131
"                        Children living in overcrowded households by at risk of poverty or social exclusion situation (population aged 0-17)"	"ilc_chg05"	"dataset"	"08.06.2026"	"30.04.2026"	"2015"	"2025"	1134
"                        Children living in households unable to keep home adequately warm by at risk of poverty or social exclusion situation (population aged 0-17)"	"ilc_chg06"	"dataset"	"08.06.2026"	"30.04.2026"	"2015"	"2025"	1134
"                    Children's health"	"ilc_hchc"	"folder"	" "	" "	" "	" "	
"                        Children by level of general health, household composition, quantile and age"	"ilc_hch12"	"dataset"	"30.04.2026"	"28.04.2025"	"2017"	"2024"	73550
"                        Children by level of general health and risk of poverty or social exclusion situation"	"ilc_hch12a"	"dataset"	"30.04.2026"	"27.11.2025"	"2017"	"2024"	1620
"                        Children with limitation in activities due to health problems, by income group, household composition and age"	"ilc_hch13"	"dataset"	"30.04.2026"	"28.04.2025"	"2017"	"2024"	24672
"                        Children with unmet needs for medical examination or treatment by income group, household composition and degree of urbanization"	"ilc_hch14"	"dataset"	"30.04.2026"	"12.03.2026"	"2017"	"2024"	13661
"                        Children with unmet needs for medical examination or treatment by type of health care and risk of poverty or social exclusion"	"ilc_hch14a"	"dataset"	"30.04.2026"	"12.03.2026"	"2017"	"2024"	1275
"                        Children with unmet needs for medical examination or treatment by specific reason"	"ilc_hch15"	"dataset"	"24.04.2026"	"21.05.2026"	"2017"	"2024"	790
"                    Subjective poverty"	"ilc_sbjp"	"folder"	" "	" "	" "	" "	
"                        Subjective poverty by sex and age"	"ilc_sbjp01"	"dataset"	"08.06.2026"	"08.06.2026"	"2010"	"2025"	6932
"                        Subjective poverty by educational attainment level (population aged 18 and over)"	"ilc_sbjp02"	"dataset"	"08.06.2026"	"08.06.2026"	"2010"	"2025"	2320
"                        Subjective poverty by most frequent activity status (population aged 18 and over)"	"ilc_sbjp03"	"dataset"	"08.06.2026"	"08.06.2026"	"2010"	"2025"	4630
"                        Subjective poverty by tenure status"	"ilc_sbjp04"	"dataset"	"08.06.2026"	"08.06.2026"	"2010"	"2025"	2876
"                        Subjective poverty by degree of urbanization"	"ilc_sbjp05"	"dataset"	"06.07.2026"	"08.06.2026"	"2010"	"2025"	1622
"                    Life satisfaction and trust"	"ilc_lst"	"folder"	" "	" "	" "	" "	
"                        Overall life satisfaction by sex, age and educational attainment"	"ilc_pw01"	"dataset"	"08.06.2026"	"08.06.2026"	"2013"	"2025"	36471
"                        Overall life satisfaction by income quintile, household composition and degree of urbanisation"	"ilc_pw02"	"dataset"	"06.07.2026"	"22.05.2026"	"2013"	"2025"	32162
"                        Trust in others by sex, age and educational attainment"	"ilc_pw03"	"dataset"	"08.06.2026"	"08.06.2026"	"2013"	"2025"	33650
"                        Trust in others by income quintile, household composition and degree of urbanisation"	"ilc_pw04"	"dataset"	"06.07.2026"	"08.06.2026"	"2013"	"2025"	30779
"                        Overall life satisfaction by level of satisfaction, age and educational attainment"	"ilc_pw05"	"dataset"	"08.06.2026"	"08.06.2026"	"2013"	"2025"	102288
"                        Satisfaction with the job by risk of poverty threshold and level of disability (activity limitation)"	"ilc_pw14"	"dataset"	"24.04.2026"	"24.04.2026"	"2023"	"2023"	487
"                        Satisfaction with the job by sex, age and educational attainment"	"ilc_pw15"	"dataset"	"13.05.2026"	"13.05.2026"	"2023"	"2023"	7182
"                        Satisfaction with the dwelling by level of satisfaction, risk of poverty threshold and level of disability (activity limitation)"	"ilc_pw16"	"dataset"	"23.01.2026"	"23.01.2026"	"2023"	"2023"	1980
"                        Satisfaction with the dwelling by level of satisfaction, sex, age and educational attainment"	"ilc_pw17"	"dataset"	"24.04.2026"	"24.04.2026"	"2023"	"2023"	28396
"                Material deprivation"	"ilc_md"	"folder"	" "	" "	" "	" "	
"                    Material and social deprivation"	"ilc_mdsd"	"folder"	" "	" "	" "	" "	
"                        Material and social deprivation rate by age, sex and most frequent activity status"	"ilc_mdsd01"	"dataset"	"06.05.2026"	"30.04.2026"	"2014"	"2025"	220614
"                        Material and social deprivation rate by income quintile and household type"	"ilc_mdsd02"	"dataset"	"08.06.2026"	"17.07.2026"	"2014"	"2025"	53686
"                        Material and social deprivation rate by age, sex and educational attainment level"	"ilc_mdsd03"	"dataset"	"08.06.2026"	"30.04.2026"	"2014"	"2025"	150137
"                        Material and social deprivation rate by age, sex and group of citizenship"	"ilc_mdsd04"	"dataset"	"06.05.2026"	"30.04.2026"	"2014"	"2025"	137319
"                        Material and social deprivation rate by age, sex and group of country of birth"	"ilc_mdsd05"	"dataset"	"06.05.2026"	"30.04.2026"	"2014"	"2025"	174495
"                        Material and social deprivation rate by tenure status"	"ilc_mdsd06"	"dataset"	"08.06.2026"	"30.04.2026"	"2014"	"2025"	2325
"                        Material and social deprivation rate by age and sex"	"ilc_mdsd07"	"dataset"	"06.05.2026"	"30.04.2026"	"2014"	"2025"	56745
"                        Material and social deprivation rate by NUTS 2 region"	"ilc_mdsd08"	"dataset"	"08.07.2026"	"08.07.2026"	"2014"	"2025"	2809
"                        Material and social deprivation rate by degree of urbanisation"	"ilc_mdsd09"	"dataset"	"06.07.2026"	"30.04.2026"	"2014"	"2025"	1796
"                        Material and social deprivation rate for children by age and educational attainment level of their parents"	"ilc_mdsd10"	"dataset"	"06.05.2026"	"30.04.2026"	"2014"	"2025"	12006
"                        Severe material and social deprivation rate by age and sex"	"ilc_mdsd11"	"dataset"	"06.05.2026"	"30.04.2026"	"2015"	"2025"	88734
"                            Severe material and social deprivation rate"	"tespm030"	"table"	"06.05.2026"	"30.04.2026"	"2015"	"2025"	422
"                        Severe material and social deprivation by age, sex and most frequent activity status"	"ilc_mdsd12"	"dataset"	"16.06.2026"	"30.04.2026"	"2015"	"2025"	364920
"                        Severe material and social deprivation by income quantile and household composition"	"ilc_mdsd13"	"dataset"	"08.06.2026"	"30.04.2026"	"2019"	"2025"	57186
"                        Severe material and social deprivation by age, sex and educational attainment level"	"ilc_mdsd14"	"dataset"	"08.06.2026"	"30.04.2026"	"2015"	"2025"	122717
"                        Severe material and social deprivation by age, sex and group of citizenship"	"ilc_mdsd15"	"dataset"	"30.04.2026"	"30.04.2026"	"2014"	"2025"	85982
"                        Severe material and social deprivation by age, sex and group of country of birth"	"ilc_mdsd16"	"dataset"	"30.04.2026"	"30.04.2026"	"2014"	"2025"	100428
"                        Severe material and social deprivation by tenure status"	"ilc_mdsd17"	"dataset"	"08.06.2026"	"30.04.2026"	"2015"	"2025"	1899
"                        Severe material and social deprivation by NUTS 2 region"	"ilc_mdsd18"	"dataset"	"08.07.2026"	"08.07.2026"	"2014"	"2025"	3274
"                        Severe material and social deprivation by degree of urbanization"	"ilc_mdsd19"	"dataset"	"06.07.2026"	"30.04.2026"	"2015"	"2025"	1476
"                        Severe material and social deprivation of children by educational attainment level of their parents"	"ilc_mdsd20"	"dataset"	"30.04.2026"	"30.04.2026"	"2015"	"2025"	9733
"                        Severe material and social deprivation by age, sex and work intensity of the household"	"ilc_mdsd21"	"dataset"	"11.05.2026"	"30.04.2026"	"2015"	"2025"	10679
"                        Material and social deprivation rate by number of items of deprivation"	"ilc_sip8"	"dataset"	"08.06.2026"	"30.04.2026"	"2010"	"2025"	341166
"                        Mean number of deprivation items among the deprived"	"ilc_sis4"	"dataset"	"06.05.2026"	"30.04.2026"	"2010"	"2025"	4092
"                    Material deprivation by dimension"	"ilc_mddd"	"folder"	" "	" "	" "	" "	
"                        Material deprivation for the 'Economic strain' dimension, by number of item of deprivation"	"ilc_mddd01"	"dataset"	"08.06.2026"	"21.05.2026"	"2003"	"2025"	250734
"                        Material deprivation for the 'Durables' dimension, by number of item of deprivation"	"ilc_mddd02"	"dataset"	"28.10.2025"	"13.08.2026"	"2003"	"2021"	196044
"                        Material deprivation for the 'Economic strain' and 'Durables' dimensions, by number of item of deprivation"	"ilc_mddd03"	"dataset"	"28.10.2025"	"13.08.2026"	"2003"	"2021"	195432
"                        Material deprivation for the 'Housing' dimension, by household type, poverty status and by number of items of deprivation"	"ilc_mddd04a"	"dataset"	"24.04.2026"	"13.08.2026"	"2003"	"2023"	171265
"                        Material deprivation for the 'Housing' dimension, by age, sex and by number of item of deprivation"	"ilc_mddd04b"	"dataset"	"24.04.2026"	"10.10.2025"	"2003"	"2023"	40380
"                        Material deprivation for the 'Environment' dimension, by number of item of deprivation"	"ilc_mddd05"	"dataset"	"28.10.2025"	"13.08.2026"	"2003"	"2023"	136400
"                        Severe material deprivation rate by age and sex"	"ilc_mddd11"	"dataset"	"28.10.2025"	"03.01.2024"	"2003"	"2020"	132858
"                        Severe material deprivation rate by most frequent activity status (population aged 18 and over)"	"ilc_mddd12"	"dataset"	"28.10.2025"	"10.10.2025"	"2003"	"2020"	194384
"                        Severe material deprivation rate by income quintile and household type"	"ilc_mddd13"	"dataset"	"28.10.2025"	"13.08.2026"	"2003"	"2020"	73715
"                        Severe material deprivation rate by educational attainment level (population aged 18 and over)"	"ilc_mddd14"	"dataset"	"28.10.2025"	"10.10.2025"	"2003"	"2020"	115943
"                        Severe material deprivation rate by group of citizenship (population aged 18 and over)"	"ilc_mddd15"	"dataset"	"28.10.2025"	"21.10.2025"	"2003"	"2020"	94124
"                        Severe material deprivation rate by group of country of birth (population aged 18 and over)"	"ilc_mddd16"	"dataset"	"28.10.2025"	"21.10.2025"	"2003"	"2020"	143829
"                        Severe material deprivation rate by tenure status"	"ilc_mddd17"	"dataset"	"28.10.2025"	"03.01.2024"	"2003"	"2020"	3071
"                        Severe material deprivation rate by NUTS 2 region"	"ilc_mddd21"	"dataset"	"09.07.2026"	"09.07.2026"	"2003"	"2020"	3443
"                            Severe material deprivation rate by NUTS 2 region"	"tgs00104"	"table"	"09.07.2026"	"09.07.2026"	"2009"	"2020"	1611
"                        Severe material deprivation rate by degree of urbanisation"	"ilc_mddd23"	"dataset"	"06.07.2026"	"30.04.2026"	"2003"	"2025"	4640
"                        Severe material deprivation rate for children by educational attainment level of their parents (population aged 0 to 17 years)"	"ilc_mddd60"	"dataset"	"28.10.2025"	"14.11.2024"	"2003"	"2020"	7776
"                    Child specific material deprivation"	"ilc_chmd"	"folder"	" "	" "	" "	" "	
"                        Child specific material deprivation rate by age (children aged less than 16 years)"	"ilc_chmd01"	"dataset"	"30.04.2026"	"24.04.2026"	"2021"	"2024"	641
"                        Child specific material deprivation rate by household composition (children aged less than 16 years)"	"ilc_chmd02"	"dataset"	"30.04.2026"	"24.04.2026"	"2021"	"2024"	487
"                        Child specific material deprivation rate by educational attainment level of their parents (children aged less than 16 years)"	"ilc_chmd03"	"dataset"	"30.04.2026"	"24.04.2026"	"2021"	"2024"	310
"                        Mean number of deprivation items among the children deprived (children aged less than 16 years)"	"ilc_chmd04"	"dataset"	"30.04.2026"	"24.04.2026"	"2021"	"2024"	68
"                        Children (aged less than 16) unable to participate in school trips and school events due to financial reasons by risk of poverty or social exclusion"	"ilc_chmd05"	"dataset"	"30.04.2026"	"27.11.2025"	"2021"	"2024"	210
"                        Children (aged less than 16) unable to participate in regular leisure activities due to financial reasons by risk of poverty or social exclusion"	"ilc_chmd06"	"dataset"	"30.04.2026"	"27.11.2025"	"2021"	"2024"	210
"                        Children (aged less than 16) unable to have fresh fruits and vegetables once a day due to financial reasons by risk of poverty or social exclusion"	"ilc_chmd07"	"dataset"	"30.04.2026"	"27.11.2025"	"2021"	"2024"	210
"                        Children (aged less than 16) unable to have a meal with meat, chicken, fish (or vegetarian equivalent) at least once a day due to financial reasons by risk of poverty or social exclusion"	"ilc_chmd08"	"dataset"	"30.04.2026"	"27.11.2025"	"2021"	"2024"	210
"                    Economic strain"	"ilc_mdes"	"folder"	" "	" "	" "	" "	
"                        Inability to keep home adequately warm"	"ilc_mdes01"	"dataset"	"08.06.2026"	"11.06.2026"	"2003"	"2025"	41838
"                        Inability to keep home adequately warm by NUTS 2 region"	"ilc_mdes01_r"	"dataset"	"08.07.2026"	"08.07.2026"	"2021"	"2025"	1753
"                        Inability to afford paying for one week annual holiday away from home"	"ilc_mdes02"	"dataset"	"08.06.2026"	"11.06.2026"	"2003"	"2025"	41871
"                        Inability to afford a meal with meat, chicken, fish (or vegetarian equivalent) every second day"	"ilc_mdes03"	"dataset"	"08.06.2026"	"11.06.2026"	"2003"	"2025"	41871
"                        Inability to afford a meal with meat, chicken, fish (or vegetarian equivalent) every second day by NUTS 2 region"	"ilc_mdes03_r"	"dataset"	"08.07.2026"	"08.07.2026"	"2021"	"2025"	1773
"                        Inability to face unexpected financial expenses"	"ilc_mdes04"	"dataset"	"08.06.2026"	"11.06.2026"	"2003"	"2025"	41870
"                        Inability to face unexpected financial expenses by NUTS 2 region"	"ilc_mdes04_r"	"dataset"	"08.07.2026"	"08.07.2026"	"2021"	"2025"	1833
"                        Arrears (mortgage or rent, utility bills or hire purchase) from 2003 onwards"	"ilc_mdes05"	"dataset"	"08.06.2026"	"11.06.2026"	"2003"	"2025"	41710
"                        Arrears (mortgage or rent, utility bills or hire purchase) by NUTS 2 region"	"ilc_mdes05_r"	"dataset"	"08.07.2026"	"08.07.2026"	"2021"	"2025"	1773
"                        Arrears (mortgage or rent, utility bills or hire purchase) until 2001"	"ilc_mdes05h"	"dataset"	"10.06.2009"	"13.08.2026"	"1994"	"2001"	14564
"                        Arrears on mortgage or rent payments"	"ilc_mdes06"	"dataset"	"08.06.2026"	"11.06.2026"	"2003"	"2025"	42393
"                        Arrears on utility bills"	"ilc_mdes07"	"dataset"	"08.06.2026"	"21.05.2026"	"2003"	"2025"	41782
"                        Arrears on hire purchase instalments or other loan payments"	"ilc_mdes08"	"dataset"	"08.06.2026"	"21.05.2026"	"2003"	"2025"	41685
"                        Inability to make ends meet"	"ilc_mdes09"	"dataset"	"08.06.2026"	"21.05.2026"	"2003"	"2025"	250914
"                        Persons who cannot afford to get-together with friends or family (relatives) for a drink or meal at least once a month by age, sex and income group"	"ilc_mdes10a"	"dataset"	"08.06.2026"	"21.05.2026"	"2014"	"2025"	78072
"                        Persons who cannot afford to get-together with friends or family (relatives) for a drink or meal at least once a month by employment status and income quintile"	"ilc_mdes10b"	"dataset"	"08.06.2026"	"17.07.2026"	"2014"	"2025"	22261
"                        Persons who cannot afford to regularly participate in a leisure activity by age, sex and income group"	"ilc_mdes11a"	"dataset"	"08.06.2026"	"21.05.2026"	"2014"	"2025"	78071
"                        Persons who cannot afford to regularly participate in a leisure activity by employment status and income quintile"	"ilc_mdes11b"	"dataset"	"08.06.2026"	"17.07.2026"	"2014"	"2025"	22165
"                        Persons who cannot afford to spend a small amount of money each week on themselves by age, sex and income group"	"ilc_mdes12a"	"dataset"	"08.06.2026"	"21.05.2026"	"2014"	"2025"	72081
"                        Persons who cannot afford to spend a small amount of money each week on themselves by employment status and income quintile"	"ilc_mdes12b"	"dataset"	"08.06.2026"	"17.07.2026"	"2014"	"2025"	22261
"                        Persons who cannot afford a regular use of public transport by age, sex and income group"	"ilc_mdes13a"	"dataset"	"12.07.2024"	"18.05.2026"	"2014"	"2016"	6490
"                        Persons who cannot afford a regular use of public transport by employment status and income quintile"	"ilc_mdes13b"	"dataset"	"27.06.2023"	"17.07.2026"	"2014"	"2016"	2041
"                    Economic strain linked to dwelling"	"ilc_mded"	"folder"	" "	" "	" "	" "	
"                        Share of housing costs in disposable household income, by type of household and income group"	"ilc_mded01"	"dataset"	"08.06.2026"	"11.06.2026"	"2003"	"2025"	41416
"                        Share of rent related to occupied dwelling in disposable household income, by type of household and income group"	"ilc_mded02"	"dataset"	"08.06.2026"	"21.05.2026"	"2003"	"2025"	37132
"                        Total housing costs in pps"	"ilc_mded03"	"dataset"	"08.06.2026"	"21.05.2026"	"2003"	"2025"	124335
"                        Financial burden of the total housing cost"	"ilc_mded04"	"dataset"	"24.04.2026"	"13.08.2026"	"2003"	"2023"	102891
"                        Financial burden of the repayment of debts from hire purchases or loans"	"ilc_mded05"	"dataset"	"08.06.2026"	"21.05.2026"	"2003"	"2025"	110808
"                    Durables"	"ilc_mddu"	"folder"	" "	" "	" "	" "	
"                        Persons who cannot afford a telephone"	"ilc_mddu01"	"dataset"	"28.10.2025"	"13.08.2026"	"2003"	"2021"	31100
"                        Persons who cannot afford a colour TV"	"ilc_mddu02"	"dataset"	"28.10.2025"	"13.08.2026"	"2003"	"2021"	31051
"                        Persons who cannot afford a computer"	"ilc_mddu03"	"dataset"	"08.06.2026"	"21.05.2026"	"2003"	"2025"	41803
"                        Persons who cannot afford a computer by sex, age, degree of urbanisation and educational attainment"	"ilc_mddu03a"	"dataset"	"06.07.2026"	"30.04.2026"	"2015"	"2025"	334834
"                        Persons who cannot afford a computer by sex, age and a risk of poverty or social exclusion situation"	"ilc_mddu03b"	"dataset"	"08.06.2026"	"30.04.2026"	"2015"	"2025"	71978
"                        Persons not having a computer for other reasons than affordability by sex, age and at risk of poverty threshold"	"ilc_mddu03c"	"dataset"	"08.06.2026"	"30.04.2026"	"2015"	"2025"	71831
"                        Persons not having a computer for other reasons than affordability by sex, age, degree of urbanisation and educational attainment"	"ilc_mddu03d"	"dataset"	"06.07.2026"	"30.04.2026"	"2015"	"2025"	334834
"                        Persons not having a computer for other reasons than affordability by sex, age and a risk of poverty or social exclusion situation"	"ilc_mddu03e"	"dataset"	"08.06.2026"	"30.04.2026"	"2015"	"2025"	71978
"                        Persons who cannot afford a computer by sex, age, and risk of poverty threshold"	"ilc_mddu03f"	"dataset"	"08.06.2026"	"30.04.2026"	"2015"	"2025"	71489
"                        Persons who cannot afford a washing machine"	"ilc_mddu04"	"dataset"	"28.10.2025"	"13.08.2026"	"2003"	"2021"	31102
"                        Persons who cannot afford a personal car"	"ilc_mddu05"	"dataset"	"08.06.2026"	"11.06.2026"	"2003"	"2025"	41787
"                        Persons who cannot afford a personal car by sex, age and degree of urbanisation"	"ilc_mddu05a"	"dataset"	"06.07.2026"	"30.04.2026"	"2015"	"2025"	89833
"                        Persons who cannot afford a personal car by sex, age and risk of poverty threshold"	"ilc_mddu05b"	"dataset"	"08.06.2026"	"30.04.2026"	"2015"	"2025"	71490
"                        Persons who cannot afford a personal car by household composition"	"ilc_mddu05c"	"dataset"	"08.06.2026"	"02.05.2026"	"2015"	"2025"	7600
"                        Persons who cannot afford to replace worn-out clothes by some new (not second-hand) ones by age, sex and income group"	"ilc_mddu06a"	"dataset"	"08.06.2026"	"21.05.2026"	"2014"	"2025"	82055
"                        Persons who cannot afford to replace worn-out clothes by some new (not second-hand) ones by employment status and income quintile"	"ilc_mddu06b"	"dataset"	"08.06.2026"	"17.07.2026"	"2014"	"2025"	22262
"                        Persons who cannot afford internet connection for personal use at home by age, sex and income group"	"ilc_mddu07a"	"dataset"	"08.06.2026"	"21.05.2026"	"2014"	"2025"	82387
"                        Persons who cannot afford internet connection for personal use at home by employment status and income quintile"	"ilc_mddu07b"	"dataset"	"08.06.2026"	"17.07.2026"	"2014"	"2025"	22262
"                        Persons who cannot afford internet connection for personal use at home by sex, age, degree of urbanisation and educational attainment"	"ilc_mddu07c"	"dataset"	"06.07.2026"	"30.04.2026"	"2015"	"2025"	329525
"                        Persons who cannot afford internet connection for personal use at home by sex, age and a risk of poverty or social exclusion situation"	"ilc_mddu07d"	"dataset"	"08.06.2026"	"30.04.2026"	"2015"	"2025"	70618
"                        Persons not having internet connection for personal use at home for other reasons than affordability by sex, age and at risk of poverty threshold"	"ilc_mddu07e"	"dataset"	"08.06.2026"	"30.04.2026"	"2015"	"2025"	70343
"                        Persons not having internet connection for personal use at home for other reasons than affordability by sex, age, degree of urbanisation and educational attainment"	"ilc_mddu07f"	"dataset"	"06.07.2026"	"30.04.2026"	"2015"	"2025"	329525
"                        Persons not having internet connection for personal use at home for other reasons than affordability by sex, age and a risk of poverty or social exclusion situation"	"ilc_mddu07g"	"dataset"	"08.06.2026"	"30.04.2026"	"2015"	"2025"	70618
"                        Persons who cannot afford two pairs of properly fitting shoes by age, sex and risk of poverty threshold"	"ilc_mddu08a"	"dataset"	"18.06.2026"	"18.06.2026"	"2015"	"2025"	60244
"                        Persons who cannot afford two pairs of properly fitting shoes by most frequent activity status and income quantile"	"ilc_mddu08b"	"dataset"	"18.06.2026"	"17.07.2026"	"2015"	"2025"	18763
"                    Housing deprivation"	"ilc_mdho"	"folder"	" "	" "	" "	" "	
"                        Persons who cannot afford to replace worn-out furniture by income group and type of household"	"ilc_mdho07"	"dataset"	"08.06.2026"	"21.05.2026"	"2014"	"2025"	24284
"                        Severe housing deprivation rate by age, sex and poverty status"	"ilc_mdho06a"	"dataset"	"24.04.2026"	"21.05.2026"	"2003"	"2023"	92816
"                        Severe housing deprivation rate by household type"	"ilc_mdho06b"	"dataset"	"24.04.2026"	"13.08.2026"	"2003"	"2023"	12240
