code,type,breadcrumb
tus_00work$dv_671,dataset,Database by themes > Population and social conditions > Living conditions and welfare > Time use survey > Time use survey – 2000 and 2010 > Time spent in total work (paid and unpaid work as main or secondary activity) by sex and form of work (2000 and 2010)
pipe_if_capac,dataset,"Database by themes > Transport > Oil pipeline transport > Oil pipeline transport - Infrastructure, investment and maintenance > Carrying capacity of pipelines operated"
prc_rem_idx,dataset,Database by themes > Economy and finance > Prices > Remuneration of civil servants - key indicators (Art. 65) > Joint Index
gbv_npv_rp,dataset,"Database by themes > Population and social conditions > Living conditions and welfare > Gender based violence against women > Violence by non-partner since the age of 15 > Women who have experienced violence by a non-partner, by person/support service to whom violence was reported"
sbs_part_wtstck,dataset,"Database by themes > Industry, trade and services > Business structure and dynamics > Structural business statistics > Enterprise statistics on particular activities > Enterprises in wholesale trade, repair of vehicles and motorcycles (NACE Rev.2, G) - changes in stocks"
gbv_any_lim,dataset,"Database by themes > Population and social conditions > Disability > Income and living conditions > Gender based violence against women > Women who have experienced violence by any perpetrator, by level of disability (activity limitation)"
crim_hom_ocit,dataset,Database by themes > Population and social conditions > Crime and criminal justice > Recorded intentional homicide and sexual offences > Intentional homicide offences in largest cities
cei_cie011,dataset,Cross cutting topics > Tables on EU policy > Circular economy indicators > Competitiveness and innovation > Persons employed in circular economy sectors
env_chmhaz,dataset,Database by themes > Environment and energy > Environment > Chemicals > Production and consumption of chemicals by hazard class
ilc_scp19$dv_312,dataset,"Database by themes > Population and social conditions > Living conditions and welfare > Income and living conditions > EU-SILC modules > Social and cultural participation (2015 and 2022) > Persons participating in formal/informal voluntary activities or active citizenship by sex, age and educational attainment"
teiis240,table,"Cross cutting topics > Tables on EU policy > Euro indicators / PEEIs > Industry, trade and services > Trade and services > Retail trade volume of sales - total"
ttr00006,table,Database by themes > Transport > Railway transport > Railway transport measurement - goods > Goods transported > Goods transport by rail
tag00044,table,"Database by themes > Agriculture, forestry and fisheries > Agriculture > Animal production > Livestock and meat > Meat production > Slaughtering in slaughterhouses - annual data > Production of bovine meat in slaughterhouses"
teiis016,table,"Cross cutting topics > Tables on EU policy > Euro indicators / PEEIs > Industry, trade and services > Industry - import prices > Import prices - consumer non-durables"
for_secwpp,dataset,"Database by themes > Agriculture, forestry and fisheries > Forestry > Timber removals, wood products and trade > Production and trade in secondary processed products > Secondary wood products, production"
rail_tf_ns15_no,dataset,Database by themes > Transport > Railway transport > Railway traffic > Train traffic on the rail network (2015) > Train traffic on the rail network - Norway (2015)
bs_bs9_00,dataset,"Database by themes > Industry, trade and services > Business structure and dynamics > Structural business statistics > Structural business statistics - historical data > SBS - services - historical data > Business services statistics > Business services (2001-2003) > Turnover by client specialisation and NACE Rev.1 at 3-digit level (2000)"
rail_go_quartal,dataset,Database by themes > Transport > Railway transport > Railway transport measurement - goods > Goods transported (detailed reporting only ) - quarterly data
egr_emp,dataset,"Database by themes > Industry, trade and services > Globalisation in business statistics > Multinational enterprise groups in EuroGroups Register (EGR) - experimental statistics > Persons employed in multinational enterprise groups by size class - experimental statistics"
nrg_pc_205_v,dataset,Database by themes > Environment and energy > Energy > Energy statistics - prices of natural gas and electricity > Energy statistics - natural gas and electricity prices (from 2007 onwards) > Non-household consumption volumes of electricity by consumption bands
irt_lt_mcby_a,dataset,Database by themes > Economy and finance > Interest rates > Long-term interest rates > Maastricht criterion interest rates > EMU convergence criterion series - annual data
demo_popmdctb,dataset,"Database by themes > Population and social conditions > Migration > International migration, citizenship > Migrant population indicators > Median age of residents by sex and country of birth"
sdg_08_30,table,Cross cutting topics > Tables on EU policy > Sustainable development indicators > Goal 8 - Decent work and economic growth > Employment rate by sex
teicp260,table,"Database by themes > Economy and finance > Prices > Harmonised index of consumer prices (HICP) > Harmonised index of consumer prices (HICP) - ECOICOP ver.2 > Harmonised index of consumer prices (HICP) - ECOICOP ver.2 - indices and rates of change, monthly data > HICP - food, alcohol and tobacco"
enps_lfsa_pganws,dataset,Database by themes > General and regional statistics > Non EU countries > Southern European Neighbourhood Policy countries (ENP-South) > Population and social conditions > Labour market > Employment > Total employment by age group - ENP-South countries
cens_91dper,dataset,Database by themes > Population and social conditions > Population and housing censuses > Census 1990/91 round > Dwellings > Occupied conventional dwellings by tenure status and period of construction
ilc_mddd11$dv_655,dataset,Database by themes > Population and social conditions > Living conditions and welfare > Income and living conditions > Material deprivation > Material deprivation by dimension > Severe material deprivation rate by age and sex
tran_sf_marves,dataset,"Database by themes > Transport > Transport safety > Maritime transport safety > Maritime accident victims by sea basin of occurrence, country of registration of vessels and type of vessels"
tin00095,table,"Database by themes > Science, technology, digital society > Digital economy and society > ICT usage in households and by individuals > Internet use > Individuals - internet activities > Individuals using the internet for finding information about goods and services"
educ_fiexpc,dataset,Database by themes > Population and social conditions > Education and training > Education and training - historical data > Education-administrative data (ISCED1997) - historical data > Indicators on education finance > Expenditure on education in constant prices (1999-2011)
hlth_co_dischnr,dataset,"Database by themes > Population and social conditions > Health > Health care > Health care activities > Health care activities - historical data > Non-residents among all hospital discharges, % - historical data (2003-2019)"
migr_eiord$dv_1261,dataset,Database by themes > Population and social conditions > Migration > Managed migration > Enforcement of Immigration Legislation > Third country nationals ordered to leave - annual data (rounded)
sdg_10_50,table,Cross cutting topics > Tables on EU policy > Sustainable development indicators > Goal 10 - Reduced inequalities > Income share of the bottom 40 % of the population
ttr00015,table,Database by themes > Transport > Railway transport > Railway transport measurement - passengers > Passenger transport by type of transport (detailed reporting only) > Rail transport of passengers
ilc_lvhd04,dataset,Database by themes > Population and social conditions > Living conditions and welfare > Income and living conditions > EU-SILC modules > Housing difficulties (2023) > Persons having experienced housing difficulties in their lifetime by sex and group of current country of citizenship
educ_uoe_fina01,dataset,Database by themes > Population and social conditions > Education and training > Education finance > Education finance > Financial aid to students by education level - as % of total public expenditure
prc_rem_nr,dataset,Database by themes > Economy and finance > Prices > Remuneration of civil servants - key indicators (Art. 65) > National civil servants in central public administration
rail_tf_ns20_hu,dataset,Database by themes > Transport > Railway transport > Railway traffic > Train traffic on the rail network (2020) > Train traffic on the rail network - Hungary (2020)
urt_10r_3gdp$dv_1584,dataset,Database by themes > General and regional statistics > Regional statistics by typology > Other typologies > Economic accounts by other typologies (ESA 2010) > Gross domestic product (GDP) at current market prices by other typologies
ten00006,table,Database by themes > Environment and energy > Environment > Water > Water statistics on national level > Annual freshwater abstraction by source and sector > Water abstracted by sector of use
